time,x,y,z,speed,branchStation,activeBranch,misses,recoveries
0.003610611,1017.966,160.9804,85.88097,0.3618976,0,False,0,0
0.02360916,1017.958,160.9879,85.89014,0.7172853,0,False,0,0
0.04360962,1017.946,160.9958,85.9044,1.069597,0,False,0,0
0.06361008,1017.929,161.0039,85.92382,1.418438,0,False,0,0
0.08361053,1017.908,161.0121,85.9484,1.763523,0,False,0,0
0.1036091,1017.882,161.0204,85.97815,2.104679,0,False,0,0
0.1236095,1017.852,161.0287,86.01304,2.441839,0,False,0,0
0.14361,1017.818,161.0372,86.05305,2.775026,0,False,0,0
0.1636105,1017.779,161.0459,86.09815,3.104327,0,False,0,0
0.183609,1017.736,161.0549,86.1483,3.429884,0,False,0,0
0.2036095,1017.688,161.0643,86.20344,3.751863,0,False,0,0
0.2236099,1017.637,161.0741,86.26352,4.070446,0,False,0,0
0.2436104,1017.581,161.0845,86.32849,4.385818,0,False,0,0
0.2636089,1017.521,161.0954,86.39828,4.698159,0,False,0,0
0.2836094,1017.456,161.1071,86.47285,5.007638,0,False,0,0
0.3036098,1017.388,161.1196,86.55213,5.314404,0,False,0,0
0.3236103,1017.316,161.1329,86.63605,5.618606,0,False,0,0
0.3436089,1017.239,161.147,86.72458,5.920365,0,False,0,0
0.3636093,1017.159,161.162,86.81766,6.219787,0,False,0,0
0.3836098,1017.075,161.1779,86.91525,6.516969,0,False,0,0
0.4036102,1016.986,161.1947,87.01729,6.811995,0,False,0,0
0.4236088,1016.894,161.2124,87.12375,7.104939,0,False,0,0
0.4436092,1016.798,161.231,87.2346,7.395864,0,False,0,0
0.4636097,1016.699,161.2503,87.34979,7.684836,0,False,0,0
0.4836102,1016.595,161.2703,87.4693,7.971912,0,False,0,0
0.5036087,1016.488,161.2912,87.59307,8.257138,0,False,0,0
0.5236092,1016.377,161.3127,87.72108,8.540557,0,False,0,0
0.5436096,1016.262,161.3348,87.85329,8.822206,0,False,0,0
0.5636101,1016.143,161.3577,87.98965,9.102108,0,False,0,0
0.5836086,1016.021,161.3811,88.13015,9.380285,0,False,0,0
0.6036091,1015.895,161.4052,88.27474,9.656757,0,False,0,0
0.6236095,1015.766,161.4299,88.42341,9.931539,0,False,0,0
0.64361,1015.633,161.4551,88.57611,10.20465,0,False,0,0
0.6636105,1015.496,161.4808,88.73283,10.47611,0,False,0,0
0.683609,1015.355,161.507,88.89353,10.74594,0,False,0,0
0.7036095,1015.211,161.5337,89.05818,11.01415,0,False,0,0
0.7236099,1015.064,161.5609,89.22675,11.28076,0,False,0,0
0.7436104,1014.912,161.5886,89.39919,11.54575,0,False,0,0
0.7636089,1014.758,161.6168,89.57546,11.80914,0,False,0,0
0.7836094,1014.599,161.6454,89.75558,12.07095,0,False,0,0
0.8036098,1014.438,161.6745,89.93948,12.33117,0,False,0,0
0.8236103,1014.272,161.7041,90.12716,12.58983,0,False,0,0
0.8436089,1014.103,161.734,90.31855,12.84694,0,False,0,0
0.8636093,1013.931,161.7645,90.51364,13.1025,0,False,0,0
0.8836098,1013.755,161.7955,90.7124,13.35651,0,False,0,0
0.9036102,1013.575,161.8269,90.91479,13.60899,0,False,0,0
0.9236088,1013.393,161.8587,91.1208,13.85994,0,False,0,0
0.9436092,1013.206,161.891,91.33038,14.10939,0,False,0,0
0.9636097,1013.016,161.9238,91.54351,14.35733,0,False,0,0
0.9836102,1012.823,161.957,91.76015,14.60379,0,False,0,0
1.003609,1012.627,161.9907,91.98026,14.84875,0,False,0,0
1.023609,1012.426,162.0248,92.20383,15.09224,0,False,0,0
1.04361,1012.223,162.0594,92.43082,15.33426,0,False,0,0
1.06361,1012.016,162.0943,92.66121,15.57484,0,False,0,0
1.083609,1011.806,162.1297,92.89496,15.81397,0,False,0,0
1.103609,1011.592,162.1655,93.13203,16.05167,0,False,0,0
1.12361,1011.375,162.2017,93.37242,16.28794,0,False,0,0
1.14361,1011.155,162.2383,93.61609,16.5228,0,False,0,0
1.163609,1010.931,162.2753,93.863,16.75627,0,False,0,0
1.183609,1010.704,162.3126,94.11313,16.98834,0,False,0,0
1.203609,1010.473,162.3503,94.36643,17.21903,0,False,0,0
1.22361,1010.24,162.3883,94.62291,17.44835,0,False,0,0
1.243608,1010.003,162.4267,94.88251,17.67632,0,False,0,0
1.263609,1009.762,162.4653,95.14523,17.90294,0,False,0,0
1.283609,1009.518,162.5043,95.41101,18.12821,0,False,0,0
1.30361,1009.271,162.5435,95.67983,18.35216,0,False,0,0
1.323608,1009.021,162.583,95.95168,18.57479,0,False,0,0
1.343609,1008.768,162.6228,96.22652,18.79612,0,False,0,0
1.363609,1008.511,162.6628,96.50433,19.01615,0,False,0,0
1.38361,1008.25,162.703,96.78507,19.23489,0,False,0,0
