seconds,travel,recoveries,x,y,z,safeStation,speed
0.02,-0.05,0,607.63,78.81,-126.18,99.95,0.00
0.07,-0.05,0,607.63,78.81,-126.19,99.95,0.00
0.10,-0.04,0,607.63,78.81,-126.19,99.95,0.01
0.12,-0.04,0,607.63,78.81,-126.19,99.95,0.01
0.13,-0.04,0,607.63,78.81,-126.20,99.95,0.02
0.15,-0.04,0,607.63,78.81,-126.20,99.95,0.03
0.17,-0.03,0,607.63,78.81,-126.20,99.95,0.03
0.18,-0.03,0,607.63,78.81,-126.20,99.95,0.04
0.21,-0.03,0,607.63,78.81,-126.21,99.95,0.05
0.39,-0.01,0,607.64,78.80,-126.23,99.97,0.10
0.40,-0.01,0,607.64,78.80,-126.23,99.97,0.10
0.42,0.00,0,607.64,78.80,-126.23,99.97,0.11
0.44,0.00,0,607.64,78.80,-126.23,99.97,0.11
0.45,0.00,0,607.64,78.80,-126.23,99.97,0.12
0.47,0.00,0,607.64,78.80,-126.24,99.97,0.12
0.49,0.01,0,607.64,78.80,-126.24,100.00,0.12
0.50,0.01,0,607.64,78.80,-126.24,100.00,0.12
0.52,0.01,0,607.64,78.80,-126.24,100.00,0.12
0.54,0.01,0,607.64,78.80,-126.24,100.00,0.12
0.56,0.02,0,607.64,78.80,-126.25,100.00,0.13
0.58,0.02,0,607.64,78.80,-126.25,100.00,0.13
0.60,0.02,0,607.64,78.80,-126.25,100.00,0.13
0.62,0.02,0,607.64,78.80,-126.25,100.00,0.13
0.63,0.02,0,607.65,78.80,-126.26,100.00,0.13
0.65,0.03,0,607.65,78.80,-126.26,100.00,0.13
0.67,0.03,0,607.65,78.79,-126.26,100.00,0.13
0.68,0.03,0,607.65,78.79,-126.26,100.00,0.13
0.70,0.03,0,607.65,78.79,-126.26,100.00,0.13
0.72,0.03,0,607.65,78.79,-126.27,100.00,0.13
0.75,0.04,0,607.65,78.79,-126.27,100.04,0.13
0.78,0.04,0,607.65,78.79,-126.27,100.04,0.13
0.79,0.05,0,607.65,78.79,-126.28,100.04,0.13
0.81,0.05,0,607.65,78.79,-126.28,100.04,0.13
0.83,0.05,0,607.65,78.79,-126.28,100.04,0.13
0.84,0.05,0,607.65,78.79,-126.28,100.04,0.13
0.86,0.06,0,607.65,78.79,-126.29,100.04,0.13
0.96,0.07,0,607.66,78.79,-126.30,100.04,0.13
0.98,0.07,0,607.66,78.79,-126.30,100.04,0.13
1.00,0.07,0,607.66,78.79,-126.30,100.04,0.13
1.02,0.07,0,607.66,78.79,-126.30,100.07,0.13
1.04,0.08,0,607.66,78.79,-126.31,100.07,0.13
1.05,0.08,0,607.66,78.79,-126.31,100.07,0.13
1.07,0.08,0,607.66,78.79,-126.31,100.07,0.13
1.09,0.08,0,607.66,78.79,-126.31,100.07,0.13
1.11,0.09,0,607.66,78.79,-126.32,100.07,0.13
1.13,0.09,0,607.66,78.79,-126.32,100.07,0.13
1.14,0.09,0,607.66,78.79,-126.32,100.07,0.13
1.16,0.09,0,607.66,78.79,-126.32,100.07,0.13
1.18,0.10,0,607.66,78.79,-126.32,100.07,0.13
1.23,0.10,0,607.66,78.79,-126.33,100.07,0.13
