time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.020,35.662,0.713,-631.215,8.959,14.232,4,7.800,0.092,"Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0204 impulse=22641.750;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.1519 impulse=22641.750;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.1038 impulse=22641.750;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0685 impulse=22641.750;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.1424 impulse=22641.750;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.1325 impulse=22641.750;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0036 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0307 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0203 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0140 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0267 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0266 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0167 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0110 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0061 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0196 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0051 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=-0.0046 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0091 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0087 impulse=0.000;",0.000,0.000,0.000,35.662,0.000,1.000,124.287,0.588,-0.039,-35.657,0.000,0.014
0.040,35.662,1.427,-631.203,8.958,13.519,4,7.887,0.016,"",0.169,0.000,0.000,35.662,0.000,1.000,123.573,0.588,-0.077,-35.657,0.000,0.021
0.060,35.662,2.140,-631.191,8.955,12.806,4,7.983,0.026,"",0.169,0.000,-0.001,35.662,0.000,1.000,122.860,0.588,-0.114,-35.657,-0.028,0.023
0.080,35.662,2.854,-631.179,8.952,12.092,4,8.099,0.047,"",0.169,0.000,0.003,35.663,0.000,1.000,122.147,0.588,-0.148,-35.657,0.066,0.022
0.100,35.663,3.567,-631.167,8.949,11.379,4,8.243,0.055,"",0.169,0.000,-0.004,35.663,0.000,1.000,121.433,0.588,-0.179,-35.658,-0.091,0.021
0.120,35.663,4.280,-631.156,8.945,10.666,4,8.415,0.056,"",0.169,0.000,0.005,35.664,0.000,1.000,120.720,0.588,-0.207,-35.658,0.114,0.018
0.140,35.664,4.994,-631.144,8.940,9.952,4,8.608,0.053,"",0.168,0.000,-0.006,35.664,0.000,1.000,120.006,0.588,-0.231,-35.659,-0.136,0.016
0.160,35.664,5.707,-631.132,8.935,9.239,4,8.817,0.047,"",0.168,0.000,0.007,35.665,0.000,1.000,119.293,0.589,-0.251,-35.659,0.152,0.014
0.180,35.665,6.420,-631.120,8.930,8.526,4,9.031,0.041,"",0.168,0.000,-0.008,35.665,0.000,1.000,118.580,0.588,-0.267,-35.659,-0.169,0.012
0.200,35.666,7.134,-631.109,8.924,7.813,4,9.244,0.035,"",0.167,0.000,0.008,35.666,0.000,1.000,117.866,0.589,-0.278,-35.660,0.181,0.010
0.220,35.666,7.847,-631.097,8.919,7.099,4,9.449,0.029,"",0.167,0.000,-0.009,35.667,0.000,1.000,117.153,0.588,-0.285,-35.661,-0.193,0.008
0.240,35.667,8.561,-631.085,8.913,6.386,4,9.640,0.024,"",0.167,0.000,0.009,35.667,0.000,1.000,116.440,0.589,-0.288,-35.661,0.203,0.007
0.260,35.667,9.274,-631.073,8.907,5.673,4,9.813,0.020,"",0.167,0.000,-0.009,35.668,0.000,1.000,115.726,0.589,-0.288,-35.662,-0.209,0.006
0.280,35.668,9.987,-631.061,8.901,4.960,4,9.965,0.016,"",0.166,0.000,0.010,35.668,0.000,1.000,115.013,0.589,-0.285,-35.662,0.216,0.005
0.300,35.669,10.701,-631.050,8.896,4.246,4,10.095,0.013,"",0.166,0.000,-0.010,35.669,0.000,1.000,114.299,0.589,-0.279,-35.663,-0.219,0.004
0.320,35.669,11.414,-631.038,8.890,3.533,4,10.201,0.011,"",0.166,0.000,0.010,35.669,0.000,1.000,113.586,0.589,-0.272,-35.663,0.223,0.004
