time,driver,station,speed,target,throttle,brake,errors,errorWeight,line,brakeJudgment,grounded,water,recoveries
5.760,GOLD,90.39,29.375,53.844,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
5.760,BLUE,99.91,31.406,52.981,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
5.960,Reference,84.65,32.938,35.209,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
5.960,EMBER,92.33,32.962,56.455,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
5.960,GOLD,96.40,30.841,53.833,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
5.960,BLUE,106.36,32.992,47.962,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
6.160,Reference,91.34,34.431,36.137,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
6.160,EMBER,99.12,34.451,48.789,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
6.160,GOLD,102.71,32.215,50.705,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
6.160,BLUE,113.12,34.476,46.992,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
6.380,Reference,99.07,35.967,37.085,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
6.380,EMBER,106.87,35.984,44.902,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
6.380,GOLD,110.01,33.623,47.201,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
6.380,BLUE,120.88,35.988,42.980,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
6.580,Reference,106.40,37.039,37.880,0.747,0.000,0,0.000,0.000,1.000,4,0.000,0
6.580,EMBER,114.14,37.280,43.990,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
6.580,GOLD,116.94,34.814,43.448,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
6.580,BLUE,128.20,37.244,40.898,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
6.780,Reference,113.97,37.870,38.636,0.675,0.000,0,0.000,0.000,1.000,4,0.000,0
6.780,EMBER,121.63,38.476,42.052,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
6.780,GOLD,124.18,35.918,40.767,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
6.780,BLUE,135.73,38.276,39.901,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
7.000,Reference,122.55,38.663,39.396,0.642,0.000,0,0.000,0.000,1.000,4,0.000,0
7.000,EMBER,130.05,39.615,40.319,0.611,0.000,0,0.000,0.000,1.000,4,0.000,0
7.000,GOLD,132.41,37.012,38.365,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
7.000,BLUE,143.92,37.343,37.590,0.205,0.000,0,0.000,0.000,1.000,4,0.000,0
7.200,Reference,130.51,38.615,38.799,0.147,0.000,0,0.000,0.000,1.000,4,0.000,0
7.200,EMBER,137.63,38.181,38.288,0.077,0.000,0,0.000,0.000,1.000,4,0.000,0
7.200,GOLD,140.02,36.644,38.365,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
7.200,BLUE,151.26,37.288,39.526,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
7.400,Reference,138.36,37.917,38.082,0.129,0.000,0,0.000,0.000,1.000,4,0.000,0
7.400,EMBER,144.88,37.017,37.128,0.000,0.000,0,0.000,0.000,1.000,4,0.000,0
7.400,GOLD,147.46,36.321,36.721,0.335,0.000,0,0.000,0.000,1.000,4,0.000,0
7.400,BLUE,158.62,37.893,41.191,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
7.600,Reference,146.08,37.335,37.909,0.495,0.000,0,0.000,0.000,1.000,4,0.000,0
7.600,EMBER,151.96,37.139,39.022,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
7.600,GOLD,154.85,36.163,37.326,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
7.600,BLUE,166.14,38.941,46.317,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
7.820,Reference,154.49,37.178,38.550,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
7.820,EMBER,159.88,38.222,42.640,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
7.820,GOLD,163.04,37.170,42.603,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
7.820,BLUE,174.68,40.092,45.342,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.040,Reference,162.93,38.376,39.738,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.040,EMBER,168.14,39.376,42.025,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.040,GOLD,171.37,38.162,46.777,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.040,BLUE,183.49,41.237,50.549,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.240,Reference,170.75,39.442,40.587,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.240,EMBER,175.89,40.386,44.470,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.240,GOLD,179.08,39.051,46.711,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.240,BLUE,191.73,42.183,59.758,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.440,Reference,178.72,40.386,41.351,0.844,0.000,0,0.000,0.000,1.000,4,0.000,0
8.440,EMBER,183.87,41.368,57.210,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.440,GOLD,186.94,39.891,46.859,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.440,BLUE,200.18,43.080,59.749,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.640,Reference,186.84,41.167,42.068,0.783,0.000,0,0.000,0.000,1.000,4,0.000,0
8.640,EMBER,192.09,42.325,57.200,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.640,GOLD,194.96,40.683,47.845,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.640,BLUE,208.83,43.961,59.740,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.840,Reference,195.11,41.875,42.755,0.762,0.000,0,0.000,0.000,1.000,4,0.000,0
8.840,EMBER,200.54,43.252,57.189,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.840,GOLD,203.14,41.439,48.999,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
8.840,BLUE,217.67,44.815,59.732,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
9.060,Reference,204.36,42.618,43.485,0.749,0.000,0,0.000,0.000,1.000,4,0.000,0
9.060,EMBER,210.08,44.227,57.177,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
9.060,GOLD,212.31,42.236,50.252,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
9.060,BLUE,227.60,45.708,59.724,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
9.260,Reference,212.92,43.268,44.122,0.736,0.000,0,0.000,0.000,1.000,4,0.000,0
9.260,EMBER,218.96,45.068,57.166,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
9.260,GOLD,220.81,42.928,51.316,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
9.260,BLUE,236.81,46.472,59.716,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
9.460,Reference,221.62,43.892,44.734,0.723,0.000,0,0.000,0.000,1.000,4,0.000,0
9.460,EMBER,228.02,45.865,57.154,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
9.460,GOLD,229.45,43.589,52.311,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
9.460,BLUE,246.18,47.191,59.710,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
9.660,Reference,230.45,44.486,45.317,0.711,0.000,0,0.000,0.000,1.000,4,0.000,0
9.660,EMBER,237.26,46.618,57.143,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
9.660,GOLD,238.23,44.215,53.252,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
9.660,BLUE,255.69,47.872,59.703,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
9.880,Reference,240.29,45.105,45.925,0.699,0.000,0,0.000,0.000,1.000,4,0.000,0
9.880,EMBER,247.59,47.399,57.130,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
9.880,GOLD,248.03,44.864,53.597,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
9.880,BLUE,266.31,48.581,59.697,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
10.080,Reference,249.37,45.637,46.448,0.691,0.000,0,0.000,0.000,1.000,4,0.000,0
10.080,EMBER,257.15,48.069,57.117,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
10.080,GOLD,257.06,45.421,53.585,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
10.080,BLUE,276.08,48.585,32.000,0.000,1.000,0,0.000,0.000,1.000,4,0.000,0
10.280,Reference,258.55,46.143,46.947,0.683,0.000,0,0.000,0.000,1.000,4,0.000,0
10.280,EMBER,266.84,48.706,57.105,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
10.280,GOLD,266.20,45.949,50.344,1.000,0.000,0,0.000,0.000,1.000,4,0.000,0
10.280,BLUE,285.19,43.104,32.000,0.000,1.000,0,0.000,0.000,1.000,4,0.000,0
10.480,Reference,267.82,46.113,46.440,0.000,0.000,0,0.000,0.000,1.000,4,0.000,0
10.480,EMBER,276.65,48.703,32.000,0.000,1.000,0,0.000,0.000,1.000,4,0.000,0
10.480,GOLD,275.39,44.997,45.126,0.000,0.000,0,0.000,0.000,1.000,4,0.000,0
10.480,BLUE,293.21,37.645,32.000,0.000,1.000,0,0.000,0.000,1.000,4,0.000,0
10.700,Reference,277.53,42.334,32.000,0.000,1.000,0,0.000,0.000,1.000,4,0.000,0
10.700,EMBER,286.62,42.658,32.000,0.000,1.000,0,0.000,0.000,1.000,4,0.000,0
10.700,GOLD,284.57,38.986,32.000,0.000,1.000,0,0.000,0.000,1.000,4,0.000,0
10.700,BLUE,300.87,33.243,32.000,0.000,0.360,0,0.000,0.000,1.000,4,0.000,0
10.900,Reference,285.39,36.879,32.000,0.000,1.000,0,0.000,0.000,1.000,4,0.000,0
10.900,EMBER,294.53,37.190,32.000,0.000,1.000,0,0.000,0.000,1.000,4,0.000,0
10.900,GOLD,291.78,34.071,32.000,0.000,0.600,0,0.000,0.000,1.000,4,0.000,0
10.900,BLUE,307.37,31.872,32.000,0.117,0.000,0,0.000,0.000,1.000,4,0.000,0
11.100,Reference,292.28,33.172,32.000,0.000,0.339,0,0.000,0.000,1.000,4,0.000,0
11.100,EMBER,301.44,33.276,32.000,0.000,0.370,0,0.000,0.000,1.000,4,0.000,0
11.100,GOLD,298.38,32.422,31.672,0.000,0.217,0,0.000,0.000,1.000,4,0.000,0
11.100,BLUE,313.74,31.774,32.000,0.208,0.000,0,0.000,0.000,1.000,4,0.000,0
11.300,Reference,298.79,32.088,31.403,0.000,0.199,0,0.000,0.000,1.000,4,0.000,0
11.300,EMBER,307.93,31.884,32.000,0.106,0.000,0,0.000,0.000,1.000,4,0.000,0
11.300,GOLD,304.71,30.971,29.875,0.000,0.317,0,0.000,0.000,1.000,4,0.000,0
11.300,BLUE,320.11,31.929,32.000,0.062,0.000,0,0.000,0.000,1.000,4,0.000,0
11.520,Reference,305.67,30.580,29.753,0.000,0.239,0,0.000,0.000,1.000,4,0.000,0
