time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.020,42.596,0.852,-630.218,8.342,-149.208,4,7.777,0.078,"Ground_80_320:(0.000, 1.000, -0.004) separation=-0.1340 impulse=12961.210;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0139 impulse=12961.210;Ground_80_320:(0.000, 1.000, -0.004) separation=-0.1422 impulse=12961.210;Ground_80_320:(0.000, 1.000, -0.004) separation=-0.0390 impulse=12961.210;Ground_80_320:(0.000, 1.000, -0.004) separation=-0.1406 impulse=12961.210;Ground_80_320:(0.000, 1.000, -0.004) separation=-0.1403 impulse=12961.210;Ground_80_320:(0.000, 1.000, -0.004) separation=-0.0269 impulse=51.310;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0071 impulse=51.310;Ground_80_320:(0.000, 1.000, -0.004) separation=-0.0282 impulse=51.310;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0085 impulse=51.310;Ground_80_320:(0.000, 1.000, -0.004) separation=-0.0279 impulse=51.310;Ground_80_320:(0.000, 1.000, -0.004) separation=-0.0275 impulse=51.310;Ground_80_320:(0.000, 1.000, -0.004) separation=-0.0054 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0014 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=-0.0057 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0017 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=-0.0056 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=-0.0054 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0102 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0054 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0039 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0117 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0039 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0041 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0194 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0190 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0187 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0186 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0174 impulse=0.000;Ground_80_320:(0.000, 1.000, -0.004) separation=0.0179 impulse=0.000;",0.000,0.000,0.000,42.596,0.000,1.000,-39.148,-0.703,-0.042,42.590,0.000,0.012
0.040,42.589,1.703,-630.232,8.341,-148.357,4,8.441,0.014,"",0.202,0.000,0.000,42.589,0.000,1.000,-38.297,-0.703,-0.069,42.583,0.000,0.017
0.060,42.582,2.555,-630.246,8.339,-147.506,4,9.060,0.021,"",0.206,0.000,0.001,42.582,0.000,1.000,-37.445,-0.703,-0.084,42.576,0.028,0.019
0.080,42.575,3.406,-630.260,8.337,-146.654,4,9.612,0.040,"",0.209,0.000,-0.002,42.575,0.000,1.000,-36.594,-0.702,-0.088,42.569,-0.052,0.019
0.100,42.568,4.258,-630.274,8.336,-145.803,4,10.078,0.046,"",0.213,0.000,0.003,42.568,0.000,1.000,-35.742,-0.702,-0.083,42.562,0.074,0.017
0.120,42.561,5.109,-630.288,8.334,-144.952,4,10.453,0.047,"",0.216,0.000,-0.004,42.561,0.000,1.000,-34.891,-0.702,-0.070,42.555,-0.095,0.016
0.140,42.554,5.960,-630.302,8.333,-144.101,4,10.738,0.045,"",0.220,0.000,0.005,42.554,0.000,1.000,-34.040,-0.702,-0.051,42.548,0.114,0.014
0.160,42.548,6.811,-630.316,8.333,-143.251,4,10.940,0.040,"",0.223,0.000,-0.006,42.548,0.000,1.000,-33.189,-0.702,-0.028,42.542,-0.128,0.012
0.180,42.541,7.661,-630.330,8.332,-142.400,4,11.066,0.035,"",0.226,0.000,0.006,42.541,0.000,1.000,-32.339,-0.702,-0.003,42.535,0.141,0.010
0.200,42.535,8.512,-630.344,8.333,-141.549,4,11.126,0.030,"",0.229,0.000,-0.007,42.535,0.000,1.000,-31.488,-0.701,0.023,42.529,-0.152,0.008
0.220,42.529,9.363,-630.358,8.334,-140.699,4,11.132,0.026,"",0.233,0.000,0.007,42.529,0.000,1.000,-30.637,-0.701,0.049,42.523,0.161,0.007
0.240,42.523,10.213,-630.372,8.335,-139.849,4,11.093,0.022,"",0.236,0.000,-0.008,42.523,0.000,1.000,-29.787,-0.701,0.075,42.517,-0.168,0.006
0.260,42.517,11.063,-630.387,8.337,-138.998,4,11.019,0.018,"",0.239,0.000,0.008,42.517,0.000,1.000,-28.937,-0.701,0.099,42.511,0.175,0.005
