time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.300,11.860,3.558,-623.863,8.169,-146.397,4,10.582,0.031,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.2204 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2191 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2191 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2204 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2191 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2191 impulse=0.000;",0.078,0.000,-0.007,11.860,0.000,1.000,-36.442,-0.196,-0.012,11.858,-0.166,0.007
0.320,11.873,3.795,-623.867,8.169,-146.160,4,10.539,0.029,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.2192 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2182 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2182 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2192 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2182 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2183 impulse=0.000;",0.070,0.000,0.008,11.873,0.000,1.000,-36.205,-0.196,0.003,11.872,0.172,0.006
0.340,11.885,4.033,-623.871,8.170,-145.922,4,10.483,0.026,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.2183 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2176 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2176 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2183 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2176 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2177 impulse=0.000;",0.063,0.000,-0.008,11.885,0.000,1.000,-35.967,-0.196,0.016,11.883,-0.179,0.006
0.360,11.895,4.271,-623.875,8.170,-145.684,4,10.416,0.023,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.2177 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2172 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2172 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2177 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2172 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2172 impulse=0.000;",0.058,0.000,0.008,11.895,0.000,1.000,-35.729,-0.196,0.029,11.893,0.183,0.005
0.380,11.904,4.509,-623.879,8.171,-145.446,4,10.343,0.020,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.2174 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2170 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2170 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2174 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2170 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2170 impulse=0.000;",0.053,0.000,-0.009,11.904,0.000,1.000,-35.491,-0.196,0.039,11.902,-0.189,0.005
0.400,11.804,4.745,-623.883,8.172,-145.210,4,10.266,0.017,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.2173 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2170 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2171 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2173 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2170 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2171 impulse=0.000;",0.048,0.000,0.009,11.804,0.000,1.000,-35.255,-0.195,0.048,11.802,0.192,0.004
0.420,11.825,4.981,-623.887,8.173,-144.974,4,10.189,0.014,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.2174 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2173 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2173 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2174 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2173 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2173 impulse=0.000;",0.098,0.000,-0.009,11.825,0.000,1.000,-35.019,-0.195,0.056,11.823,-0.195,0.004
0.440,11.843,5.218,-623.891,8.174,-144.737,4,10.113,0.012,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.2176 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2176 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2176 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2176 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2176 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2176 impulse=0.000;",0.088,0.000,0.009,11.843,0.000,1.000,-34.782,-0.195,0.062,11.841,0.198,0.004
0.460,11.859,5.455,-623.895,8.176,-144.500,4,10.041,0.010,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.2180 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2180 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2180 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2180 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2180 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2180 impulse=0.000;",0.079,0.000,-0.009,11.859,0.000,1.000,-34.545,-0.196,0.066,11.857,-0.199,0.004
0.480,11.872,5.693,-623.899,8.177,-144.262,4,9.973,0.008,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.2185 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2186 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2186 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2185 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2185 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.2185 impulse=0.000;",0.071,0.000,0.009,11.872,0.000,1.000,-34.307,-0.196,0.070,11.870,0.201,0.004
