course,vehicle,route,mode,repeat,seconds,recoveries,misses,maxLateral,minUpright,finished
Street Loop,original,Creek Leap,normal,0,26.289,0,0,0.000,0.881,True
Street Loop,original,Creek Leap,clean,0,26.032,1,0,27.153,0.881,True
Street Loop,original,Creek Leap,imperfect,0,30.623,1,0,27.983,0.879,True
Street Loop,original,Creek Leap,recovery,0,27.918,1,0,27.173,0.881,True
Street Loop,original,Fox Gully,normal,0,23.465,0,0,0.000,0.961,True
Street Loop,original,Fox Gully,clean,0,23.639,0,0,6.760,0.972,True
Street Loop,original,Fox Gully,imperfect,0,28.287,0,0,6.345,0.972,True
Street Loop,original,Fox Gully,recovery,0,24.986,0,0,6.604,0.972,True
Street Loop,original,Pine Ridge,normal,0,28.235,0,0,0.000,0.982,True
Street Loop,original,Pine Ridge,clean,0,24.235,0,0,2.800,0.984,True
Street Loop,original,Pine Ridge,imperfect,0,28.359,0,0,1.831,0.984,True
Street Loop,original,Pine Ridge,recovery,0,25.740,0,0,2.807,0.983,True
Street Loop,original,Existing Southwest Cut,normal,0,11.734,0,0,0.000,0.999,True
Street Loop,original,Existing Southwest Cut,clean,0,11.066,0,0,2.243,1.000,True
Street Loop,original,Existing Southwest Cut,imperfect,0,15.280,0,0,4.241,1.000,True
Street Loop,original,Existing Southwest Cut,recovery,0,12.131,0,0,2.245,1.000,True
