visit,seed,dan,friend,site,visible,selected
0,-328133770,2,True,dan,0,0
0,-328133770,2,True,friend,0,2
1,-1287316958,1,False,dan,2,2
1,-1287316958,1,False,friend,0,0
2,-1631234181,0,True,dan,0,3
2,-1631234181,0,True,friend,0,2
3,1036263624,1,False,dan,2,2
3,1036263624,1,False,friend,0,0
