t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,601.972,964.315,163.892,135.314,23.775,19.980,-0.064,-12.887,0.000,0.000,0.040,4,7.083,0.547,1.000,"Ground_720_240:(-0.153, 0.988, -0.031);Ground_720_240:(-0.153, 0.988, -0.031);Ground_720_240:(-0.177, 0.959, -0.220);Ground_720_240:(-0.154, 0.988, -0.018);Ground_720_240:(-0.154, 0.988, -0.018);Ground_720_240:(-0.154, 0.988, -0.018);Ground_720_240:(-0.154, 0.988, -0.018);Ground_720_240:(-0.178, 0.956, -0.232);Ground_720_240:(-0.178, 0.956, -0.232);Ground_720_240:(-0.170, 0.960, -0.220);Ground_720_240:(-0.170, 0.960, -0.220);Ground_720_240:(-0.170, 0.960, -0.220);Ground_720_240:(-0.156, 0.988, 0.002);Ground_720_240:(-0.156, 0.988, 0.002);Ground_720_240:(-0.156, 0.988, 0.002);"
0.040,601.497,964.714,163.891,135.057,23.781,19.984,-0.069,-12.892,0.113,0.000,0.042,4,9.526,0.082,1.000,""
0.060,601.023,965.112,163.890,134.800,23.786,19.986,-0.033,-12.900,0.110,0.000,0.043,4,11.605,0.333,1.000,""
0.080,600.550,965.511,163.891,134.542,23.789,19.984,0.036,-12.910,0.107,0.000,0.045,4,13.230,0.449,1.000,""
0.100,600.086,965.909,163.893,134.284,23.792,19.978,0.129,-12.923,0.105,0.000,0.046,4,14.424,0.534,1.000,""
0.120,599.611,966.308,163.898,134.026,23.794,19.968,0.232,-12.941,0.104,0.000,0.047,4,14.952,0.523,1.000,""
0.140,599.136,966.706,163.905,133.767,23.795,19.954,0.339,-12.962,0.103,0.000,0.048,4,15.121,0.419,1.000,""
0.160,598.661,967.105,163.913,133.507,23.797,19.936,0.439,-12.987,0.102,0.000,0.049,4,14.813,0.416,1.000,""
0.180,598.195,967.503,163.924,133.247,23.797,19.916,0.526,-13.017,0.102,0.000,0.050,4,14.158,0.277,1.000,""
0.200,597.719,967.901,163.936,132.986,23.798,19.893,0.595,-13.050,0.101,0.000,0.050,4,13.293,0.206,1.000,""
0.220,597.243,968.299,163.949,132.724,23.798,19.868,0.642,-13.088,0.101,0.000,0.051,4,12.171,0.116,1.000,""
0.240,596.767,968.696,163.962,132.461,23.799,19.841,0.667,-13.129,0.101,0.000,0.051,4,11.052,0.009,1.000,""
0.260,596.300,969.093,163.975,132.198,23.799,19.813,0.668,-13.174,0.101,0.000,0.052,4,9.878,0.048,1.000,""
0.280,595.824,969.489,163.988,131.933,23.799,19.783,0.645,-13.222,0.101,0.000,0.052,4,8.688,0.136,1.000,""
0.300,595.347,969.885,164.000,131.667,23.800,19.751,0.601,-13.274,0.100,0.000,0.052,4,7.619,0.159,1.000,""
0.320,594.871,970.280,164.011,131.400,23.801,19.718,0.535,-13.328,0.100,0.000,0.052,4,6.520,0.209,1.000,""
0.340,594.394,970.674,164.020,131.132,23.802,19.683,0.450,-13.384,0.100,0.000,0.052,4,5.632,0.261,1.000,""
0.360,593.927,971.068,164.027,130.862,23.804,19.648,0.351,-13.442,0.099,0.000,0.052,4,4.856,0.242,1.000,""
0.380,593.450,971.461,164.032,130.592,23.806,19.611,0.238,-13.502,0.098,0.000,0.052,4,4.199,0.300,1.000,""
0.400,592.973,971.853,164.034,130.320,23.809,19.572,0.117,-13.564,0.097,0.000,0.052,4,3.774,0.321,1.000,""
0.420,592.496,972.245,164.034,130.047,23.812,19.533,-0.011,-13.626,0.096,0.000,0.052,4,3.401,0.322,1.000,""
0.440,592.029,972.635,164.031,129.772,23.816,19.493,-0.143,-13.690,0.094,0.000,0.052,4,3.222,0.343,1.000,""
0.460,591.552,973.025,164.026,129.497,23.820,19.451,-0.277,-13.754,0.092,0.000,0.052,4,3.135,0.306,1.000,""
0.480,591.075,973.414,164.017,129.220,23.825,19.409,-0.411,-13.820,0.090,0.000,0.051,4,3.117,0.343,1.000,""
0.500,590.597,973.802,164.007,128.942,23.830,19.365,-0.542,-13.885,0.088,0.000,0.051,4,3.266,0.358,1.000,""
0.520,590.124,974.190,163.993,128.662,23.835,19.321,-0.669,-13.951,0.085,0.000,0.051,4,3.468,0.327,1.000,""
0.540,589.652,974.576,163.977,128.381,23.841,19.276,-0.807,-14.018,0.083,0.000,0.051,3,2.903,0.386,1.000,""
0.560,589.174,974.961,163.958,128.098,23.847,19.230,-0.939,-14.084,0.080,0.000,0.050,3,3.161,0.426,1.000,""
0.580,588.695,975.346,163.937,127.815,23.853,19.184,-1.042,-14.151,0.077,0.000,0.050,4,4.668,0.504,1.000,""
0.600,588.217,975.729,163.915,127.530,23.859,19.138,-1.138,-14.217,0.073,0.000,0.050,4,5.046,0.434,1.000,""
0.620,587.748,976.112,163.890,127.243,23.866,19.091,-1.225,-14.284,0.070,0.000,0.049,4,5.476,0.361,1.000,""
0.640,587.270,976.493,163.864,126.956,23.872,19.045,-1.302,-14.351,0.067,0.000,0.049,4,5.921,0.321,0.999,""
0.660,586.791,976.874,163.837,126.667,23.878,18.998,-1.370,-14.418,0.064,0.000,0.049,4,6.427,0.293,0.999,""
0.680,586.313,977.253,163.808,126.377,23.884,18.951,-1.428,-14.484,0.061,0.000,0.048,4,6.895,0.270,0.999,""
0.700,585.842,977.632,163.778,126.085,23.890,18.904,-1.477,-14.551,0.058,0.000,0.048,4,7.364,0.252,0.999,""
0.720,585.364,978.009,163.748,125.793,23.896,18.856,-1.517,-14.617,0.055,0.000,0.048,4,7.798,0.216,0.999,""
0.740,584.885,978.386,163.717,125.499,23.902,18.809,-1.551,-14.683,0.052,0.000,0.047,4,8.138,0.209,0.999,""
0.760,584.406,978.758,163.686,125.206,23.692,18.596,-1.566,-14.613,0.049,0.000,0.047,4,8.460,0.214,0.999,""
0.780,583.932,979.130,163.654,124.912,23.714,18.562,-1.589,-14.689,0.154,0.000,0.046,4,8.702,0.186,0.999,""
0.800,583.464,979.501,163.622,124.616,23.734,18.526,-1.607,-14.763,0.143,0.000,0.046,4,8.944,0.192,0.999,""
0.820,582.989,979.871,163.589,124.319,23.753,18.490,-1.621,-14.836,0.133,0.000,0.045,4,9.178,0.197,0.999,""
0.840,582.513,980.241,163.557,124.021,23.771,18.454,-1.631,-14.908,0.123,0.000,0.045,4,9.348,0.176,0.999,""
0.860,582.037,980.609,163.524,123.721,23.788,18.417,-1.638,-14.979,0.114,0.000,0.044,4,9.486,0.176,0.999,""
0.880,581.566,980.977,163.491,123.420,23.803,18.379,-1.642,-15.049,0.106,0.000,0.043,4,9.594,0.156,0.999,""
0.900,581.090,981.344,163.458,123.117,23.818,18.341,-1.646,-15.117,0.098,0.000,0.043,4,9.656,0.154,0.999,""
0.920,580.613,981.711,163.425,122.813,23.832,18.303,-1.648,-15.184,0.091,0.000,0.042,4,9.714,0.153,0.998,""
0.940,580.136,982.076,163.392,122.508,23.845,18.264,-1.649,-15.251,0.084,0.000,0.041,4,9.772,0.143,0.998,""
0.960,579.658,982.441,163.359,122.201,23.857,18.224,-1.649,-15.316,0.078,0.000,0.041,4,9.821,0.141,0.998,""
