time,speed,travel,x,y,z,grounded,lift,torque,contact,throttle,brake,steering,velocity,water,up,localZ,vx,vy,vz,yaw,angularSpeed
0.020,42.596,0.852,-631.212,8.959,14.094,4,7.800,0.050,"Ground_80_240:(0.000, 1.000, -0.003) separation=0.0137 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0019 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0036 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0120 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0029 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0029 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0198 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0106 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0172 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0108 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0107 impulse=0.000;Ground_80_240:(0.000, 1.000, -0.003) separation=0.0108 impulse=0.000;",0.000,0.000,0.000,42.596,0.000,1.000,124.148,0.703,-0.039,-42.590,0.000,0.010
0.040,42.587,1.704,-631.198,8.958,13.242,4,7.857,0.007,"",0.202,0.000,0.000,42.587,0.000,1.000,123.296,0.703,-0.078,-42.581,0.000,0.016
0.060,42.578,2.556,-631.184,8.955,12.390,4,7.928,0.021,"",0.207,0.000,0.001,42.578,0.000,1.000,122.445,0.702,-0.115,-42.572,0.028,0.019
0.080,42.569,3.407,-631.170,8.952,11.539,4,8.015,0.038,"",0.211,0.000,-0.002,42.569,0.000,1.000,121.593,0.702,-0.151,-42.563,-0.052,0.021
0.100,42.560,4.258,-631.156,8.949,10.688,4,8.128,0.048,"",0.216,0.000,0.003,42.560,0.000,1.000,120.742,0.702,-0.185,-42.554,0.074,0.020
0.120,42.552,5.110,-631.142,8.944,9.837,4,8.268,0.051,"",0.220,0.000,-0.004,42.552,0.000,1.000,119.891,0.702,-0.216,-42.546,-0.097,0.019
0.140,42.544,5.961,-631.128,8.940,8.986,4,8.434,0.051,"",0.224,0.000,0.005,42.544,0.000,1.000,119.040,0.702,-0.243,-42.538,0.120,0.017
0.160,42.536,6.811,-631.114,8.934,8.135,4,8.621,0.049,"",0.228,0.000,-0.006,42.536,0.000,1.000,118.189,0.701,-0.267,-42.530,-0.138,0.016
0.180,42.529,7.662,-631.100,8.928,7.285,4,8.822,0.045,"",0.232,0.000,0.007,42.529,0.000,1.000,117.338,0.701,-0.286,-42.522,0.158,0.014
0.200,42.521,8.513,-631.086,8.922,6.434,4,9.031,0.040,"",0.236,0.000,-0.008,42.522,0.000,1.000,116.488,0.701,-0.302,-42.515,-0.172,0.012
0.220,42.514,9.363,-631.072,8.916,5.584,4,9.239,0.035,"",0.239,0.000,0.008,42.514,0.000,1.000,115.637,0.701,-0.313,-42.508,0.186,0.010
0.240,42.507,10.213,-631.058,8.910,4.734,4,9.442,0.030,"",0.243,0.000,-0.009,42.507,0.000,1.000,114.787,0.700,-0.320,-42.501,-0.198,0.009
0.260,42.500,11.063,-631.044,8.903,3.884,4,9.633,0.025,"",0.246,0.000,0.009,42.501,0.000,1.000,113.937,0.701,-0.324,-42.494,0.206,0.007
0.280,42.494,11.913,-631.030,8.897,3.034,4,9.809,0.021,"",0.250,0.000,-0.010,42.494,0.000,1.000,113.087,0.700,-0.324,-42.487,-0.214,0.006
0.300,42.487,12.763,-631.016,8.890,2.185,4,9.965,0.017,"",0.253,0.000,0.010,42.488,0.000,1.000,112.237,0.700,-0.321,-42.481,0.219,0.005
0.320,42.481,13.612,-631.002,8.884,1.335,4,10.099,0.014,"",0.256,0.000,-0.010,42.481,0.000,1.000,111.388,0.700,-0.315,-42.474,-0.225,0.005
0.340,42.475,14.462,-630.988,8.878,0.486,4,10.211,0.011,"",0.260,0.000,0.010,42.475,0.000,1.000,110.538,0.700,-0.307,-42.468,0.227,0.004
0.360,42.469,15.311,-630.974,8.872,-0.364,4,10.300,0.009,"",0.263,0.000,-0.010,42.469,0.000,1.000,109.689,0.700,-0.297,-42.462,-0.232,0.004
0.380,42.463,16.160,-630.960,8.866,-1.213,4,10.366,0.007,"",0.266,0.000,0.010,42.463,0.000,1.000,108.840,0.700,-0.286,-42.456,0.233,0.004
0.400,42.457,17.010,-630.946,8.861,-2.062,4,10.411,0.005,"",0.269,0.000,-0.011,42.457,0.000,1.000,107.990,0.699,-0.274,-42.450,-0.234,0.004
0.420,42.451,17.859,-630.932,8.856,-2.911,4,10.436,0.004,"",0.272,0.000,0.011,42.451,0.000,1.000,107.141,0.700,-0.261,-42.445,0.236,0.004
0.440,42.446,18.707,-630.918,8.851,-3.759,4,10.442,0.003,"",0.274,0.000,-0.011,42.446,0.000,1.000,106.293,0.699,-0.248,-42.439,-0.235,0.004
