seconds,travel,recoveries,x,y,z,safeStation,speed
1.70,-0.13,0,560.96,27.58,-286.82,3739.18,-0.11
1.71,-0.14,0,560.96,27.58,-286.82,3739.18,-0.11
1.73,-0.14,0,560.96,27.58,-286.82,3739.18,-0.11
1.75,-0.14,0,560.96,27.58,-286.83,3739.15,-0.11
1.76,-0.14,0,560.96,27.58,-286.83,3739.15,-0.11
1.78,-0.14,0,560.96,27.58,-286.83,3739.15,-0.11
1.80,-0.14,0,560.96,27.58,-286.83,3739.15,-0.11
1.81,-0.15,0,560.96,27.58,-286.83,3739.15,-0.11
1.83,-0.15,0,560.96,27.58,-286.84,3739.15,-0.11
1.85,-0.15,0,560.96,27.58,-286.84,3739.15,-0.11
1.86,-0.15,0,560.96,27.58,-286.84,3739.15,-0.11
1.88,-0.15,0,560.96,27.58,-286.84,3739.15,-0.11
1.92,-0.16,0,560.96,27.58,-286.84,3739.15,-0.11
1.93,-0.16,0,560.96,27.58,-286.85,3739.15,-0.11
1.95,-0.16,0,560.96,27.58,-286.85,3739.15,-0.11
1.97,-0.16,0,560.96,27.58,-286.85,3739.15,-0.11
1.98,-0.17,0,560.96,27.58,-286.85,3739.15,-0.11
2.00,-0.17,0,560.96,27.58,-286.85,3739.15,-0.11
2.02,-0.17,0,560.96,27.58,-286.85,3739.12,-0.11
2.03,-0.17,0,560.96,27.58,-286.86,3739.12,-0.11
2.05,-0.17,0,560.96,27.58,-286.86,3739.12,-0.11
2.07,-0.17,0,560.96,27.58,-286.86,3739.12,-0.11
2.08,-0.18,0,560.96,27.58,-286.86,3739.12,-0.11
2.10,-0.18,0,560.96,27.58,-286.86,3739.12,-0.11
2.12,-0.18,0,560.96,27.58,-286.87,3739.12,-0.11
2.13,-0.18,0,560.96,27.58,-286.87,3739.12,-0.11
2.19,-0.19,0,560.96,27.57,-286.87,3739.12,-0.11
2.20,-0.19,0,560.96,27.57,-286.88,3739.12,-0.11
2.22,-0.19,0,560.96,27.57,-286.88,3739.12,-0.11
2.24,-0.19,0,560.96,27.57,-286.88,3739.12,-0.11
2.26,-0.19,0,560.96,27.57,-286.88,3739.12,-0.11
2.27,-0.20,0,560.96,27.57,-286.88,3739.10,-0.11
2.29,-0.20,0,560.96,27.57,-286.89,3739.10,-0.11
2.31,-0.20,0,560.96,27.57,-286.89,3739.10,-0.11
2.32,-0.20,0,560.96,27.57,-286.89,3739.10,-0.11
2.34,-0.20,0,560.96,27.57,-286.89,3739.10,-0.11
2.36,-0.20,0,560.96,27.57,-286.89,3739.10,-0.11
2.37,-0.21,0,560.96,27.57,-286.89,3739.10,-0.11
2.39,-0.21,0,560.96,27.57,-286.90,3739.10,-0.11
2.41,-0.21,0,560.96,27.57,-286.90,3739.10,-0.11
2.44,-0.21,0,560.96,27.57,-286.90,3739.10,-0.11
2.46,-0.22,0,560.96,27.57,-286.90,3739.10,-0.11
