course,vehicle,speed,line,seconds,travel,air,minUp,recovered,outcome,scoredDistance,scoredAirtime,awards
Street Loop,original,12,-1.5,13.458,150.043,1.100,0.938,True,completed,12.800,1.100,0
Street Loop,original,12,-3,13.482,150.174,1.080,0.940,True,completed,12.566,1.080,0
Street Loop,original,12,0,13.423,150.226,1.100,0.934,True,completed,12.803,1.100,0
Street Loop,original,12,-4.7,13.364,150.149,1.140,0.327,True,completed,0.000,0.000,0
Street Loop,original,12,1.7,13.356,150.216,1.140,0.361,True,completed,0.000,0.000,0
Street Loop,original,24,-1.5,8.803,150.247,1.900,0.963,True,completed,42.304,1.900,0
Street Loop,original,24,-3,8.855,150.116,1.900,0.963,True,completed,42.304,1.900,0
Street Loop,original,24,0,8.697,150.363,1.900,0.963,True,completed,42.304,1.900,0
Street Loop,original,24,-4.7,8.966,150.241,1.500,0.451,True,completed,0.000,0.000,0
Street Loop,original,24,1.7,9.084,150.414,1.240,0.549,True,completed,0.000,0.000,0
Street Loop,original,36,-1.5,5.455,164.255,2.500,0.965,True,completed,82.093,2.500,0
Street Loop,original,36,-3,5.457,164.255,2.500,0.965,True,completed,82.094,2.500,0
Street Loop,original,36,0,5.447,164.253,2.500,0.965,True,completed,82.092,2.500,0
Street Loop,original,36,-4.7,5.065,150.187,1.820,0.523,True,completed,0.000,0.000,0
Street Loop,original,36,1.7,5.222,150.213,1.920,0.317,True,completed,0.000,0.000,0
Street Loop,tourer,12,-1.5,13.479,150.236,1.060,0.939,True,completed,12.385,1.060,0
Street Loop,tourer,12,-3,13.443,150.002,1.060,0.938,True,completed,12.385,1.060,0
Street Loop,tourer,12,0,13.462,150.066,1.060,0.940,True,completed,12.385,1.060,0
Street Loop,tourer,12,-4.7,13.700,150.071,1.560,0.561,True,completed,0.000,0.000,0
Street Loop,tourer,12,1.7,13.938,150.054,0.800,0.375,True,completed,0.000,0.000,0
Street Loop,tourer,24,-1.5,8.522,150.288,1.880,0.963,True,completed,41.895,1.880,0
Street Loop,tourer,24,-3,8.540,150.279,1.880,0.963,True,completed,41.895,1.880,0
Street Loop,tourer,24,0,8.522,150.329,1.880,0.963,True,completed,41.895,1.880,0
Street Loop,tourer,24,-4.7,7.126,150.039,1.240,0.534,True,completed,0.000,0.000,0
Street Loop,tourer,24,1.7,9.034,150.425,1.420,0.577,True,completed,0.000,0.000,0
Street Loop,tourer,36,-1.5,5.401,163.066,2.440,0.964,True,completed,80.279,2.440,0
Street Loop,tourer,36,-3,5.405,162.663,2.460,0.964,True,completed,80.723,2.460,0
Street Loop,tourer,36,0,5.402,162.725,2.460,0.964,True,cleared / unstable landing,80.659,2.460,0
