time,x,y,z,speed,wheels,up,throttle,brake,nextGate,lap,recoveries,groundBelow
0.01990271,726.9816,78.81439,-8.94661,0.3600717,4,0.9999996,1,0,0,0,0,78.34859
0.1399026,726.9985,78.84715,-9.13528,2.469141,4,0.9999642,1,0,0,0,0,78.35197
0.2599025,727.0374,78.86611,-9.57025,4.490281,4,0.9998943,1,0,0,0,0,78.35979
0.3799024,727.0972,78.87724,-10.24201,6.430062,4,0.9998449,1,0,0,0,0,78.37225
0.4799025,727.1618,78.88747,-10.97576,7.98924,4,0.9998251,1,0,0,0,0,78.38638
0.5999024,727.2552,78.90556,-12.0572,9.795333,4,0.9998119,1,0,0,0,0,78.40789
0.7199023,727.3636,78.93098,-13.35001,11.53349,4,0.9998004,1,0,0,0,0,78.43465
0.8199024,727.4629,78.95722,-14.58319,12.93184,4,0.9997887,1,0,0,0,0,78.46117
0.9399023,727.5894,78.99413,-16.24358,14.55165,4,0.9997723,1,0,0,0,0,78.49818
1.059902,727.7186,79.03667,-18.09425,16.10998,4,0.9997546,1,0,0,0,0,78.54096
1.179902,727.8439,79.08479,-20.12835,17.60892,4,0.999738,1,0,0,0,0,78.58904
1.299902,727.9565,79.13834,-22.33926,19.05041,4,0.9997234,1,0,0,0,0,78.64187
1.399902,728.0327,79.18678,-24.31207,20.20902,4,0.9997154,1,0,0,0,0,78.68954
1.519902,728.0909,79.24858,-26.83025,21.54942,4,0.9997127,1,0,0,0,0,78.74961
1.639902,728.0967,79.32378,-29.50415,22.83473,4,0.9995351,1,0,0,0,0,78.87419
1.759902,728.0316,79.43303,-32.32745,24.06022,4,0.999436,1,0,0,0,0,78.93663
1.879902,727.8778,79.52473,-35.29635,25.2415,4,0.9997767,1,0,0,0,0,78.93776
1.999902,727.6227,79.54866,-38.39898,26.39498,4,0.9999221,1,0,0,0,0,78.9819
2.119902,727.2603,79.54421,-41.62591,27.51165,4,0.9999387,1,0,0,0,0,79.02022
2.219902,726.877,79.54916,-44.40581,28.41334,4,0.9999452,1,0,1,0,0,79.04808
2.339902,726.3257,79.57544,-47.84526,29.46122,4,0.9999357,1,0,1,0,0,79.09731
2.459902,725.6842,79.62698,-51.39328,30.47134,4,0.9999008,1,0,1,0,0,79.16306
2.579902,724.9665,79.70361,-55.04676,31.44322,4,0.9998423,1,0,1,0,0,79.245
2.699902,724.1904,79.80264,-58.80406,32.37656,4,0.9997642,1,0,1,0,0,79.34434
2.819901,723.3783,79.92123,-62.66493,33.27105,4,0.9996702,1,0,1,0,0,79.46188
2.939901,722.5565,80.05807,-66.63014,34.12595,4,0.9995607,1,0,1,0,0,79.59836
3.039902,721.887,80.18661,-70.01302,34.72373,4,0.999453,0.5946564,0,1,0,0,79.72918
3.159902,721.1536,80.35526,-74.04478,33.41209,4,0.9992998,0,0,1,0,0,79.90077
3.279902,720.5531,80.53452,-77.87305,31.72577,4,0.9991205,0,0.1251793,1,0,0,80.08139
3.399901,720.093,80.72781,-81.57748,30.63223,4,0.9989069,0,0.3765621,1,0,0,80.27817
3.519901,719.7902,80.93244,-85.12911,29.08504,4,0.9986449,0,0.4529452,1,0,0,80.48125
3.639901,719.6578,81.14538,-88.4765,27.16842,4,0.9983325,0,0.5312676,1,0,0,80.69865
3.759901,719.6998,81.36525,-91.60291,25.38129,4,0.9979426,0,0.4865365,1,0,0,80.91423
3.859901,719.8666,81.55408,-94.04369,23.95142,4,0.9975597,0,0.4663057,1,0,0,81.10229
3.979901,720.2222,81.78808,-96.78643,22.62051,4,0.9970176,0,0.1994581,1,0,0,81.34336
4.099901,720.7518,82.0336,-99.37047,21.54,4,0.9963205,0,0,1,0,0,81.59081
4.219901,721.4587,82.29352,-101.799,21.07057,4,0.9954563,0.2205887,0,1,0,0,81.8409
4.339901,722.3513,82.77126,-104.0121,20.50615,4,0.926827,0.146904,0,2,0,0,82.12946
4.459901,723.3172,83.51271,-106.1699,20.34516,1,0.9307243,0.9793869,0,2,0,0,82.658
4.579901,724.298,83.8871,-108.4259,20.13369,0,0.9859365,0.91913,0,2,0,0,82.86298
4.699901,725.2832,84.10748,-110.6765,19.62582,0,0.9980041,0,0.1633387,2,0,0,83.06725
4.819901,726.2731,84.17671,-112.9174,18.87197,0,0.9759099,0,0,2,0,0,83.28719
4.939901,727.3045,84.34235,-115.0399,17.2009,2,0.9745818,1,0,2,0,0,83.49293
5.059901,728.5678,84.57499,-116.9502,17.76769,2,0.9754741,0.8855621,0,2,0,0,83.7126
5.179901,729.9261,84.66375,-118.5256,15.07646,2,0.9747427,0,1,2,0,0,83.90784
5.299901,731.133,84.63816,-119.48,11.21628,2,0.9955715,0,1,2,0,0,84.0776
5.4199,732.0921,84.58712,-119.9396,7.548392,4,0.9944406,0,1,2,0,0,84.20359
5.5399,732.7601,84.66943,-120.1296,5.213357,4,0.9917495,0,0,2,0,0,84.28448
5.6599,733.4448,84.82594,-120.236,6.594212,4,0.9921431,1,0,2,0,0,84.36748
5.779901,734.3421,84.98708,-120.3256,8.328594,4,0.9927297,1,0,2,0,0,84.47111
5.899901,735.4473,85.13198,-120.4154,10.0061,4,0.993027,1,0,2,0,0,84.60298
