time,station,travel,lateral,x,y,z,speed,up,water
453.00,93.22,-0.16,1.83,475.92,83.64,-9.14,0.00,1.000,0.000
453.02,93.22,-0.15,1.83,475.92,83.64,-9.14,0.29,1.000,0.000
453.04,93.21,-0.14,1.84,475.93,83.64,-9.15,0.57,1.000,0.000
453.06,93.20,-0.13,1.84,475.94,83.64,-9.16,0.85,1.000,0.000
453.08,93.18,-0.11,1.84,475.95,83.64,-9.17,1.13,0.999,0.000
453.10,93.16,-0.09,1.85,475.97,83.64,-9.18,1.41,0.998,0.000
453.12,93.13,-0.06,1.85,475.99,83.65,-9.20,1.67,0.997,0.000
453.14,93.10,-0.03,1.85,476.02,83.65,-9.23,1.94,0.995,0.000
453.16,93.06,0.01,1.86,476.04,83.65,-9.26,2.20,0.994,0.000
453.18,93.01,0.05,1.86,476.08,83.65,-9.29,2.45,0.992,0.000
453.20,92.96,0.11,1.87,476.11,83.65,-9.33,2.70,0.990,0.000
453.22,92.91,0.16,1.88,476.15,83.65,-9.37,2.95,0.988,0.000
453.24,92.84,0.22,1.89,476.19,83.66,-9.41,3.20,0.987,0.000
453.26,92.78,0.29,1.90,476.24,83.67,-9.46,3.44,0.986,0.000
453.28,92.71,0.36,1.92,476.28,83.67,-9.52,3.68,0.984,0.000
453.30,92.63,0.44,1.93,476.34,83.68,-9.57,3.92,0.983,0.000
453.32,92.55,0.52,1.95,476.39,83.69,-9.63,4.16,0.983,0.000
453.34,92.47,0.60,1.97,476.45,83.71,-9.70,4.40,0.982,0.000
453.36,92.38,0.69,1.99,476.51,83.72,-9.77,4.63,0.981,0.000
453.38,92.28,0.79,2.01,476.57,83.73,-9.84,4.86,0.981,0.000
453.40,92.18,0.88,2.04,476.64,83.75,-9.92,5.10,0.981,0.000
453.42,92.08,0.99,2.06,476.70,83.77,-10.00,5.32,0.980,0.000
453.44,91.97,1.10,2.09,476.78,83.78,-10.08,5.55,0.980,0.000
453.46,91.86,1.21,2.12,476.85,83.80,-10.16,5.78,0.980,0.000
453.48,91.74,1.32,2.15,476.93,83.82,-10.25,6.00,0.980,0.000
453.50,91.62,1.45,2.18,477.01,83.84,-10.35,6.23,0.980,0.000
453.52,91.50,1.57,2.21,477.09,83.86,-10.44,6.45,0.980,0.000
453.54,91.37,1.70,2.24,477.18,83.88,-10.54,6.67,0.980,0.000
453.56,91.23,1.83,2.27,477.27,83.90,-10.65,6.89,0.980,0.000
453.58,91.09,1.97,2.30,477.36,83.92,-10.75,7.11,0.980,0.000
453.60,90.95,2.12,2.34,477.46,83.94,-10.86,7.33,0.980,0.000
453.62,90.80,2.26,2.37,477.56,83.96,-10.98,7.54,0.980,0.000
453.64,90.65,2.41,2.40,477.66,83.98,-11.09,7.76,0.980,0.000
453.66,90.50,2.57,2.44,477.76,84.00,-11.21,7.97,0.980,0.000
453.68,90.34,2.73,2.48,477.87,84.03,-11.33,8.19,0.980,0.000
453.70,90.17,2.89,2.51,477.98,84.05,-11.46,8.40,0.980,0.000
453.72,90.00,3.06,2.55,478.09,84.07,-11.59,8.61,0.981,0.000
453.74,89.83,3.23,2.59,478.21,84.09,-11.72,8.82,0.981,0.000
453.76,89.66,3.41,2.63,478.33,84.12,-11.85,9.03,0.981,0.000
453.78,89.47,3.59,2.67,478.45,84.14,-11.99,9.23,0.981,0.000
453.80,89.29,3.78,2.71,478.57,84.16,-12.13,9.44,0.981,0.000
453.82,89.10,3.97,2.75,478.70,84.19,-12.27,9.64,0.981,0.000
453.84,88.91,4.16,2.79,478.83,84.21,-12.42,9.85,0.981,0.000
453.86,88.71,4.36,2.83,478.97,84.23,-12.57,10.05,0.981,0.000
453.88,88.51,4.56,2.87,479.10,84.25,-12.72,10.25,0.981,0.000
453.90,88.30,4.77,2.90,479.24,84.27,-12.88,10.42,0.981,0.000
453.92,88.09,4.98,2.94,479.38,84.29,-13.04,10.58,0.980,0.000
453.94,87.88,5.19,2.98,479.53,84.31,-13.20,10.72,0.980,0.000
453.96,87.66,5.40,3.02,479.67,84.33,-13.36,10.84,0.980,0.000
453.98,87.45,5.62,3.06,479.82,84.35,-13.52,10.95,0.979,0.000
454.00,87.23,5.84,3.09,479.97,84.37,-13.69,11.04,0.978,0.000
454.02,87.01,6.06,3.13,480.12,84.38,-13.85,11.13,0.978,0.000
454.04,86.78,6.28,3.17,480.27,84.40,-14.02,11.20,0.977,0.000
454.06,86.56,6.51,3.20,480.42,84.41,-14.19,11.27,0.976,0.000
454.08,86.33,6.73,3.24,480.58,84.42,-14.35,11.34,0.975,0.000
454.10,86.11,6.96,3.27,480.73,84.44,-14.52,11.39,0.974,0.000
454.12,85.88,7.19,3.30,480.89,84.44,-14.69,11.44,0.972,0.000
454.14,85.65,7.42,3.33,481.04,84.45,-14.86,11.49,0.970,0.000
454.16,85.42,7.64,3.35,481.20,84.46,-15.03,11.53,0.968,0.000
454.18,85.19,7.87,3.38,481.35,84.46,-15.20,11.56,0.965,0.000
454.20,84.96,8.10,3.41,481.51,84.47,-15.37,11.59,0.962,0.000
454.22,84.74,8.33,3.44,481.67,84.47,-15.54,11.62,0.958,0.000
454.24,84.51,8.56,3.46,481.83,84.48,-15.71,11.64,0.954,0.000
454.26,84.28,8.79,3.49,481.98,84.49,-15.88,11.65,0.950,0.000
454.28,84.05,9.01,3.52,482.14,84.49,-16.05,11.66,0.946,0.000
454.30,83.83,9.24,3.56,482.30,84.51,-16.21,11.67,0.942,0.000
454.32,83.60,9.47,3.59,482.46,84.52,-16.38,11.68,0.938,0.000
454.34,83.37,9.69,3.63,482.62,84.54,-16.54,11.69,0.934,0.000
454.36,83.15,9.92,3.68,482.78,84.56,-16.70,11.69,0.931,0.000
454.38,82.92,10.14,3.73,482.95,84.59,-16.86,11.69,0.929,0.000
454.40,82.70,10.37,3.78,483.11,84.62,-17.03,11.70,0.927,0.000
454.42,82.47,10.59,3.84,483.28,84.65,-17.18,11.70,0.926,0.000
454.44,82.25,10.82,3.90,483.44,84.69,-17.34,11.70,0.926,0.000
454.46,82.03,11.04,3.97,483.61,84.73,-17.50,11.70,0.927,0.000
454.48,81.81,11.26,4.03,483.78,84.77,-17.66,11.70,0.929,0.000
454.50,81.58,11.48,4.10,483.94,84.82,-17.81,11.70,0.931,0.000
454.52,81.36,11.71,4.18,484.11,84.86,-17.97,11.70,0.933,0.000
454.54,81.14,11.93,4.25,484.28,84.91,-18.12,11.70,0.936,0.000
454.56,80.92,12.15,4.32,484.45,84.95,-18.28,11.70,0.939,0.000
454.58,80.69,12.37,4.39,484.62,85.00,-18.43,11.70,0.942,0.000
454.60,80.47,12.60,4.46,484.79,85.05,-18.59,11.70,0.946,0.000
454.62,80.25,12.82,4.53,484.96,85.09,-18.74,11.69,0.949,0.000
454.64,80.02,13.04,4.60,485.14,85.13,-18.90,11.69,0.952,0.000
454.66,79.80,13.27,4.67,485.31,85.17,-19.06,11.69,0.955,0.000
454.68,79.57,13.49,4.73,485.48,85.21,-19.22,11.69,0.958,0.000
454.70,79.35,13.72,4.80,485.65,85.25,-19.37,11.69,0.961,0.000
454.72,79.12,13.95,4.86,485.82,85.28,-19.53,11.70,0.964,0.000
454.74,78.89,14.18,4.92,485.99,85.31,-19.69,11.70,0.967,0.000
454.76,78.66,14.40,4.97,486.16,85.34,-19.86,11.70,0.970,0.000
454.78,78.43,14.63,5.03,486.32,85.37,-20.02,11.70,0.972,0.000
454.80,78.21,14.86,5.08,486.49,85.40,-20.18,11.70,0.974,0.000
454.82,77.98,15.09,5.13,486.66,85.42,-20.34,11.71,0.976,0.000
454.84,77.75,15.32,5.17,486.83,85.44,-20.51,11.71,0.977,0.000
454.86,77.52,15.55,5.22,486.99,85.46,-20.68,11.71,0.978,0.000
454.88,77.28,15.78,5.26,487.16,85.48,-20.84,11.71,0.979,0.000
454.90,77.05,16.01,5.30,487.32,85.50,-21.01,11.71,0.980,0.000
454.92,76.82,16.25,5.34,487.48,85.51,-21.18,11.72,0.981,0.000
454.94,76.59,16.48,5.38,487.65,85.52,-21.35,11.72,0.981,0.000
454.96,76.35,16.71,5.42,487.81,85.54,-21.53,11.72,0.982,0.000
454.98,76.12,16.95,5.45,487.97,85.55,-21.70,11.72,0.982,0.000
455.00,75.89,17.18,5.49,488.13,85.56,-21.88,11.73,0.982,0.000
455.02,75.65,17.42,5.52,488.28,85.57,-22.05,11.73,0.983,0.000
455.04,75.41,17.65,5.55,488.44,85.58,-22.23,11.74,0.983,0.000
455.06,75.18,17.89,5.57,488.60,85.58,-22.41,11.72,0.984,0.000
455.08,74.94,18.13,5.60,488.75,85.58,-22.59,11.70,0.984,0.000
455.10,74.70,18.37,5.62,488.91,85.58,-22.77,11.68,0.984,0.000
455.12,74.46,18.61,5.63,489.07,85.57,-22.95,11.67,0.984,0.000
455.14,74.22,18.84,5.65,489.23,85.56,-23.13,11.65,0.983,0.000
455.16,73.98,19.08,5.66,489.39,85.55,-23.31,11.64,0.983,0.000
455.18,73.74,19.32,5.67,489.54,85.53,-23.49,11.63,0.982,0.000
455.20,73.50,19.56,5.67,489.70,85.51,-23.67,11.62,0.981,0.000
455.22,73.26,19.80,5.67,489.86,85.49,-23.85,11.62,0.980,0.000
455.24,73.02,20.04,5.67,490.02,85.46,-24.03,11.61,0.979,0.000
455.26,72.78,20.29,5.66,490.18,85.43,-24.21,11.61,0.977,0.000
455.28,72.54,20.53,5.65,490.33,85.39,-24.39,11.61,0.976,0.000
455.30,72.30,20.77,5.64,490.49,85.35,-24.57,11.60,0.974,0.000
455.32,72.06,21.01,5.62,490.65,85.31,-24.75,11.60,0.972,0.000
455.34,71.82,21.25,5.60,490.81,85.26,-24.93,11.61,0.971,0.000
455.36,71.58,21.49,5.57,490.96,85.21,-25.11,11.61,0.969,0.000
455.38,71.33,21.73,5.54,491.12,85.15,-25.29,11.61,0.967,0.000
455.40,71.09,21.97,5.51,491.28,85.10,-25.46,11.62,0.965,0.000
455.42,70.85,22.22,5.47,491.43,85.03,-25.64,11.63,0.963,0.000
455.44,70.61,22.46,5.43,491.59,84.97,-25.82,11.63,0.961,0.000
455.46,70.37,22.70,5.39,491.74,84.89,-26.00,11.64,0.959,0.000
455.48,70.13,22.94,5.34,491.90,84.82,-26.18,11.65,0.957,0.000
455.50,69.88,23.18,5.29,492.05,84.74,-26.36,11.66,0.955,0.000
