time,station,travel,lateral,x,y,z,speed,up,water
444.40,5.00,0.00,0.73,477.81,82.95,-5.53,0.00,1.000,0.000
444.42,5.01,0.01,0.73,477.82,82.95,-5.53,0.29,1.000,0.000
444.44,5.02,0.02,0.73,477.83,82.95,-5.53,0.58,1.000,0.000
444.46,5.03,0.03,0.73,477.85,82.95,-5.53,0.86,1.000,0.000
444.48,5.06,0.06,0.74,477.87,82.96,-5.53,1.15,1.000,0.000
444.50,5.09,0.09,0.74,477.90,82.96,-5.53,1.43,1.000,0.000
444.52,5.12,0.12,0.74,477.93,82.96,-5.53,1.71,1.000,0.000
444.54,5.16,0.16,0.74,477.97,82.96,-5.53,1.99,1.000,0.000
444.56,5.21,0.21,0.74,478.02,82.96,-5.53,2.27,0.999,0.000
444.58,5.26,0.26,0.75,478.07,82.97,-5.53,2.55,0.999,0.000
444.60,5.31,0.31,0.75,478.13,82.97,-5.53,2.82,0.999,0.000
444.62,5.38,0.38,0.75,478.19,82.97,-5.53,3.09,0.999,0.000
444.64,5.44,0.44,0.75,478.26,82.97,-5.53,3.36,0.999,0.000
444.66,5.52,0.52,0.75,478.33,82.97,-5.54,3.63,0.998,0.000
444.68,5.59,0.59,0.75,478.41,82.97,-5.54,3.90,0.998,0.000
444.70,5.68,0.68,0.75,478.49,82.97,-5.54,4.17,0.998,0.000
444.72,5.77,0.77,0.76,478.58,82.97,-5.55,4.43,0.998,0.000
444.74,5.86,0.86,0.76,478.67,82.97,-5.55,4.69,0.998,0.000
444.76,5.96,0.96,0.75,478.77,82.97,-5.55,4.95,0.998,0.000
444.78,6.06,1.06,0.75,478.88,82.97,-5.56,5.21,0.997,0.000
444.80,6.17,1.17,0.75,478.99,82.97,-5.56,5.47,0.997,0.000
444.82,6.29,1.29,0.75,479.10,82.97,-5.57,5.72,0.997,0.000
444.84,6.41,1.41,0.74,479.22,82.96,-5.57,5.98,0.997,0.000
444.86,6.54,1.54,0.73,479.35,82.95,-5.58,6.24,0.997,0.000
444.88,6.67,1.67,0.72,479.48,82.94,-5.59,6.49,0.997,0.000
444.90,6.81,1.81,0.71,479.62,82.93,-5.59,6.75,0.997,0.000
444.92,6.95,1.95,0.70,479.76,82.92,-5.60,7.00,0.997,0.000
444.94,7.00,2.00,0.69,479.91,82.91,-5.61,7.26,0.996,0.000
444.96,7.13,2.13,0.71,480.06,82.89,-5.62,7.52,0.996,0.000
444.98,7.29,2.29,0.72,480.22,82.87,-5.63,7.78,0.996,0.000
445.00,7.45,2.45,0.72,480.38,82.85,-5.64,8.03,0.995,0.000
445.02,7.62,2.62,0.73,480.55,82.83,-5.65,8.29,0.995,0.000
445.04,7.79,2.79,0.74,480.72,82.81,-5.66,8.55,0.994,0.000
445.06,7.97,2.97,0.75,480.90,82.79,-5.67,8.81,0.993,0.000
445.08,8.16,3.16,0.76,481.08,82.76,-5.68,9.06,0.993,0.000
445.10,8.35,3.35,0.76,481.27,82.74,-5.69,9.32,0.991,0.000
445.12,8.54,3.54,0.77,481.46,82.71,-5.70,9.58,0.990,0.000
445.14,8.74,3.74,0.77,481.66,82.68,-5.72,9.83,0.989,0.000
445.16,8.95,3.95,0.77,481.86,82.64,-5.73,10.09,0.988,0.000
445.18,9.16,4.16,0.78,482.07,82.61,-5.74,10.34,0.987,0.000
445.20,9.37,4.37,0.78,482.28,82.57,-5.75,10.55,0.986,0.000
445.22,9.59,4.59,0.77,482.49,82.53,-5.76,10.75,0.985,0.000
445.24,9.81,4.81,0.77,482.70,82.49,-5.78,10.92,0.984,0.000
445.26,10.03,5.03,0.77,482.92,82.45,-5.79,11.07,0.984,0.000
445.28,10.25,5.25,0.76,483.14,82.41,-5.80,11.21,0.984,0.000
445.30,10.48,5.48,0.76,483.36,82.36,-5.82,11.33,0.984,0.000
445.32,10.71,5.71,0.75,483.59,82.31,-5.83,11.43,0.984,0.000
445.34,10.94,5.94,0.74,483.81,82.27,-5.84,11.53,0.984,0.000
445.36,11.17,6.17,0.74,484.04,82.22,-5.86,11.61,0.984,0.000
445.38,11.40,6.40,0.73,484.27,82.17,-5.87,11.68,0.984,0.000
445.40,11.64,6.64,0.72,484.50,82.12,-5.89,11.75,0.984,0.000
445.42,11.88,6.88,0.72,484.73,82.08,-5.90,11.81,0.984,0.000
445.44,12.11,7.11,0.71,484.96,82.03,-5.91,11.86,0.984,0.000
445.46,12.35,7.35,0.70,485.19,81.98,-5.93,11.90,0.984,0.000
445.48,12.59,7.59,0.70,485.42,81.94,-5.94,11.84,0.984,0.000
445.50,12.82,7.82,0.70,485.66,81.89,-5.96,11.88,0.984,0.000
