time,station,travel,lateral,x,y,z,speed,up,water
320.60,5.06,0.06,0.25,994.62,162.61,116.54,0.00,1.000,0.000
320.62,5.06,0.06,0.25,994.63,162.61,116.54,0.29,1.000,0.000
320.64,5.08,0.08,0.25,994.64,162.61,116.55,0.58,1.000,0.000
320.66,5.09,0.09,0.25,994.66,162.61,116.55,0.87,1.000,0.000
320.68,5.12,0.12,0.25,994.68,162.60,116.56,1.15,1.000,0.000
320.70,5.15,0.15,0.24,994.71,162.60,116.57,1.44,1.000,0.000
320.72,5.18,0.18,0.24,994.74,162.60,116.58,1.72,1.000,0.000
320.74,5.22,0.22,0.23,994.78,162.59,116.59,2.00,1.000,0.000
320.76,5.27,0.27,0.22,994.82,162.59,116.60,2.28,1.000,0.000
320.78,5.32,0.32,0.22,994.87,162.59,116.62,2.56,1.000,0.000
320.80,5.38,0.38,0.21,994.93,162.58,116.63,2.84,0.999,0.000
320.82,5.44,0.44,0.20,994.99,162.58,116.65,3.11,0.999,0.000
320.84,5.51,0.51,0.18,995.05,162.58,116.67,3.38,0.999,0.000
320.86,5.58,0.58,0.17,995.12,162.57,116.69,3.66,0.999,0.000
320.88,5.65,0.65,0.16,995.20,162.57,116.72,3.93,0.999,0.000
320.90,5.74,0.74,0.14,995.28,162.57,116.74,4.20,0.999,0.000
320.92,5.83,0.83,0.12,995.36,162.56,116.77,4.46,0.999,0.000
320.94,5.92,0.92,0.11,995.45,162.56,116.80,4.73,0.999,0.000
320.96,6.02,1.02,0.09,995.55,162.56,116.83,4.99,0.999,0.000
320.98,6.12,1.12,0.07,995.65,162.56,116.86,5.26,0.999,0.000
321.00,6.23,1.23,0.05,995.75,162.55,116.90,5.52,0.999,0.000
321.02,6.34,1.34,0.03,995.86,162.55,116.93,5.78,0.999,0.000
321.04,6.46,1.46,0.02,995.98,162.55,116.97,6.04,0.999,0.000
321.06,6.58,1.58,0.04,996.10,162.54,117.01,6.29,0.999,0.000
321.08,6.71,1.71,0.06,996.22,162.54,117.05,6.55,0.999,0.000
321.10,6.84,1.84,0.09,996.35,162.54,117.09,6.80,0.999,0.000
321.12,6.98,1.98,0.12,996.48,162.54,117.13,7.05,0.999,0.000
321.14,7.12,2.12,0.15,996.62,162.53,117.18,7.30,0.999,0.000
321.16,7.27,2.27,0.18,996.77,162.53,117.22,7.55,0.999,0.000
321.18,7.42,2.42,0.21,996.92,162.53,117.27,7.79,0.999,0.000
321.20,7.58,2.58,0.25,997.07,162.52,117.32,8.04,0.999,0.000
321.22,7.74,2.74,0.28,997.23,162.52,117.37,8.28,0.999,0.000
321.24,7.91,2.91,0.32,997.39,162.52,117.43,8.52,0.999,0.000
321.26,8.08,3.08,0.35,997.55,162.52,117.48,8.76,0.999,0.000
321.28,8.26,3.26,0.39,997.72,162.51,117.53,9.00,0.999,0.000
321.30,8.44,3.44,0.43,997.90,162.51,117.59,9.24,0.999,0.000
321.32,8.62,3.62,0.47,998.08,162.51,117.65,9.47,0.999,0.000
321.34,8.81,3.81,0.51,998.26,162.51,117.71,9.71,0.999,0.000
321.36,9.00,4.00,0.56,998.45,162.51,117.77,9.94,0.999,0.000
321.38,9.20,4.20,0.60,998.65,162.50,117.83,10.17,0.999,0.000
321.40,9.40,4.40,0.64,998.84,162.50,117.89,10.38,0.999,0.000
