time,station,travel,lateral,x,y,z,speed,up,water
382.40,738.03,0.04,0.31,985.46,162.99,116.98,0.00,1.000,0.000
382.42,738.02,0.05,0.31,985.46,162.99,116.98,0.29,1.000,0.000
382.44,738.01,0.06,0.31,985.45,162.99,116.98,0.58,1.000,0.000
382.46,738.00,0.07,0.31,985.43,162.99,116.99,0.86,1.000,0.000
382.48,737.98,0.09,0.31,985.41,162.99,117.00,1.14,1.000,0.000
382.50,737.95,0.12,0.30,985.39,162.99,117.01,1.42,1.000,0.000
382.52,737.92,0.15,0.30,985.36,162.99,117.02,1.70,1.000,0.000
382.54,737.88,0.19,0.30,985.32,162.99,117.03,1.97,0.999,0.000
382.56,737.84,0.23,0.29,985.28,162.99,117.05,2.24,0.999,0.000
382.58,737.79,0.28,0.29,985.24,162.99,117.07,2.51,0.999,0.000
382.60,737.73,0.34,0.28,985.19,162.99,117.09,2.77,0.999,0.000
382.62,737.68,0.39,0.27,985.13,162.99,117.11,3.04,0.999,0.000
382.64,737.61,0.46,0.26,985.07,162.99,117.14,3.30,0.999,0.000
382.66,737.54,0.53,0.25,985.01,162.99,117.17,3.56,0.999,0.000
382.68,737.47,0.60,0.23,984.94,162.99,117.20,3.81,0.998,0.000
382.70,737.39,0.68,0.22,984.87,163.00,117.23,4.07,0.998,0.000
382.72,737.30,0.77,0.20,984.79,163.00,117.26,4.32,0.998,0.000
382.74,737.21,0.86,0.19,984.70,163.01,117.30,4.57,0.998,0.000
382.76,737.12,0.95,0.17,984.61,163.01,117.34,4.82,0.998,0.000
382.78,737.02,1.05,0.15,984.52,163.02,117.38,5.07,0.998,0.000
382.80,736.92,1.15,0.13,984.42,163.02,117.42,5.32,0.998,0.000
382.82,736.81,1.26,0.10,984.32,163.03,117.46,5.56,0.998,0.000
382.84,736.69,1.38,0.08,984.22,163.04,117.51,5.81,0.998,0.000
382.86,736.58,1.50,0.06,984.11,163.04,117.56,6.05,0.998,0.000
382.88,736.45,1.62,0.03,983.99,163.05,117.61,6.29,0.998,0.000
382.90,736.32,1.75,0.01,983.87,163.06,117.66,6.53,0.998,0.000
382.92,736.19,1.88,0.03,983.75,163.07,117.71,6.76,0.998,0.000
382.94,736.05,2.02,0.05,983.62,163.08,117.77,7.00,0.998,0.000
382.96,735.91,2.16,0.08,983.49,163.09,117.82,7.23,0.998,0.000
382.98,735.77,2.30,0.11,983.35,163.10,117.88,7.46,0.998,0.000
383.00,735.62,2.45,0.14,983.21,163.11,117.94,7.70,0.998,0.000
383.02,735.46,2.61,0.17,983.06,163.12,118.00,7.92,0.998,0.000
383.04,735.30,2.77,0.21,982.91,163.13,118.07,8.15,0.998,0.000
383.06,735.14,2.93,0.24,982.76,163.14,118.13,8.38,0.998,0.000
