time,vehicle,lap,gate,speed,recoveries,misses,x,y,z,verified,finishArmed,roadPosition
34.600,moto,0,6,45.48,0,0,543.12,25.57,-367.16,861.264,False,1036.524
34.600,atv,0,6,25.43,0,0,558.84,29.03,-266.30,861.503,False,883.538
36.600,tourer,0,6,34.22,0,0,558.51,26.45,-300.40,861.134,False,940.777
36.600,original,0,6,12.50,0,0,562.59,29.16,-266.95,861.509,False,886.389
36.600,moto,0,6,32.96,0,0,537.47,33.63,-451.01,861.264,False,1062.944
36.600,atv,0,6,39.20,0,0,551.10,25.05,-331.62,861.503,False,994.733
38.600,tourer,0,6,40.06,0,0,543.73,26.16,-374.02,861.134,False,1040.695
38.600,original,0,6,29.25,0,0,556.24,25.91,-310.04,861.509,False,960.502
38.600,moto,0,6,32.39,0,0,517.81,24.87,-512.46,861.264,False,1128.711
38.600,atv,0,6,36.85,0,0,540.66,29.87,-407.15,861.503,False,1042.821
40.600,tourer,0,6,33.20,0,0,541.85,33.77,-451.20,861.134,False,1062.355
40.600,original,0,6,36.94,0,0,542.01,26.33,-375.84,861.509,False,1043.289
40.600,moto,0,6,17.23,0,0,484.81,23.39,-543.15,861.264,False,1178.802
40.600,atv,0,6,32.53,0,0,531.70,31.48,-476.50,861.503,False,1089.246
42.600,tourer,0,6,31.88,0,0,523.39,25.35,-512.91,861.134,False,1126.571
42.600,original,0,6,33.41,0,0,537.85,33.78,-449.18,861.509,False,1061.049
42.600,moto,0,6,33.23,0,0,457.31,29.41,-502.75,861.264,False,1229.624
42.600,atv,0,6,26.24,0,0,506.20,23.27,-530.41,861.503,False,1150.609
44.600,tourer,0,6,14.70,0,0,492.68,23.13,-544.22,861.134,False,1170.516
44.600,original,0,6,31.89,0,0,518.85,25.34,-510.66,861.509,False,1126.581
44.600,moto,0,6,31.26,0,0,416.85,38.01,-441.53,861.264,False,1303.407
44.600,atv,0,6,21.17,0,0,474.93,24.71,-538.34,861.503,False,1190.088
46.600,tourer,0,6,23.79,0,0,466.76,26.90,-523.31,861.134,False,1207.139
46.600,original,0,6,14.66,0,0,488.83,23.24,-543.24,861.509,False,1174.112
46.600,moto,0,6,28.80,0,0,380.74,31.19,-399.10,861.264,False,1359.495
46.600,atv,0,6,34.14,0,0,449.45,31.20,-488.55,861.503,False,1245.804
48.600,tourer,0,6,32.44,0,0,439.45,33.65,-473.80,861.134,False,1263.842
48.600,original,0,6,25.43,0,0,464.16,27.65,-517.56,861.509,False,1213.440
48.600,moto,0,6,18.85,0,0,333.43,40.74,-390.86,861.264,False,1409.555
48.600,atv,0,6,25.68,0,0,410.20,38.58,-432.59,861.503,False,1314.590
50.600,tourer,0,6,25.19,0,0,401.43,38.44,-426.53,861.134,False,1324.708
50.600,original,0,6,33.20,0,0,434.47,34.78,-466.72,861.509,False,1272.541
50.600,moto,0,6,31.24,0,0,291.84,36.68,-381.11,861.264,False,1454.375
50.600,atv,0,6,16.76,0,0,373.44,30.32,-394.49,861.503,False,1368.202
52.600,tourer,0,6,23.14,0,0,365.84,31.12,-390.74,861.134,False,1376.148
52.600,original,0,6,26.95,0,0,399.78,37.61,-419.12,861.509,False,1331.510
52.600,moto,0,6,31.68,0,0,238.64,41.85,-344.40,861.264,False,1519.894
52.600,atv,0,6,21.91,0,0,343.41,37.60,-391.34,861.503,False,1398.857
54.600,tourer,0,6,18.24,0,0,324.42,42.56,-395.18,861.134,False,1418.682
54.600,original,0,6,25.12,0,0,359.26,32.52,-389.90,861.509,False,1382.398
54.600,moto,0,8,32.49,0,0,184.97,45.21,-310.91,861.264,False,1592.423
54.600,atv,0,6,24.30,0,0,305.01,40.23,-387.43,861.503,False,1439.357
56.600,tourer,0,6,31.78,0,0,279.91,35.44,-376.75,861.134,False,1467.006
56.600,original,0,6,18.69,0,0,318.53,42.77,-392.37,861.509,False,1424.884
56.600,moto,0,8,37.48,0,0,123.02,37.72,-289.79,861.264,True,1655.710
56.600,atv,0,6,20.66,0,0,267.88,36.24,-365.65,861.503,False,1483.452
58.600,tourer,0,6,31.49,0,0,227.68,43.73,-340.95,861.134,False,1530.932
58.600,original,0,6,31.55,0,0,272.02,35.69,-368.61,861.509,False,1478.067
58.600,moto,0,8,21.49,0,0,67.47,44.62,-282.09,861.264,True,1705.328
58.600,atv,0,6,32.36,0,0,223.62,44.72,-333.04,861.503,False,1538.858
60.600,tourer,0,8,31.92,0,0,173.39,43.66,-309.93,861.134,False,1606.265
60.600,original,0,6,32.21,0,0,221.68,45.18,-331.62,861.509,False,1541.294
60.600,moto,0,8,34.42,0,0,21.81,35.37,-310.21,861.264,True,1759.481
60.600,atv,0,8,31.94,0,0,168.30,42.27,-304.08,861.503,False,1613.390
62.600,tourer,0,8,33.25,0,0,110.50,39.06,-290.68,861.134,True,1662.102
62.600,original,0,8,31.74,0,0,166.19,42.00,-303.25,861.509,False,1615.937
62.600,moto,0,8,32.75,0,0,2.94,40.44,-378.43,861.264,True,1829.641
62.600,atv,0,8,25.41,0,0,117.40,38.24,-288.72,861.503,True,1657.974
64.600,tourer,0,8,22.42,0,0,59.65,44.09,-286.12,861.134,True,1713.564
64.600,original,0,8,31.61,0,0,103.77,40.11,-289.25,861.509,True,1664.000
64.600,moto,0,8,36.41,0,0,-4.56,31.74,-443.38,861.264,True,1895.368
64.600,atv,0,8,21.36,0,0,66.19,44.60,-282.06,861.503,True,1706.533
66.600,tourer,0,8,34.05,0,0,17.32,36.31,-321.42,861.134,True,1771.162
66.600,original,0,8,23.76,0,0,55.51,43.53,-283.63,861.509,True,1717.005
66.600,moto,0,8,30.89,0,0,-6.97,36.49,-520.67,861.264,True,1973.276
66.600,atv,0,8,14.66,0,0,25.27,35.34,-305.58,861.503,True,1754.375
68.600,tourer,0,8,34.14,0,0,1.21,39.75,-387.53,861.134,True,1838.830
68.600,original,0,8,31.24,0,0,17.45,36.39,-322.05,861.509,True,1771.754
68.600,moto,0,8,33.90,0,0,-38.10,30.22,-573.31,861.264,True,2038.341
68.600,atv,0,8,31.69,0,0,9.13,39.65,-351.23,861.503,True,1801.942
70.600,tourer,0,8,35.94,0,0,-5.10,31.40,-452.52,861.134,True,1904.560
70.600,original,0,8,34.02,0,0,5.60,39.95,-386.43,861.509,True,1836.999
70.600,moto,0,8,43.33,0,0,-116.39,30.53,-579.18,861.264,True,2117.114
70.600,atv,0,8,31.89,0,0,1.28,35.44,-415.67,861.503,True,1867.077
72.600,tourer,0,8,30.82,0,0,-7.39,36.76,-525.03,861.134,True,1977.712
72.600,original,0,8,35.48,0,0,-1.74,31.44,-451.02,861.509,True,1902.813
72.600,moto,0,11,47.30,0,0,-203.78,31.02,-580.49,861.264,True,2213.184
72.600,atv,0,8,28.20,0,0,-5.94,32.06,-472.82,861.503,True,1924.944
74.600,tourer,0,8,28.94,0,0,-37.22,30.38,-572.84,861.134,True,2037.441
74.600,original,0,8,31.00,0,0,-3.42,36.70,-523.21,861.509,True,1975.214
74.600,moto,0,11,31.77,0,0,-275.22,21.94,-573.05,861.264,True,2298.559
74.600,atv,0,8,32.45,0,0,-10.08,36.30,-536.00,861.503,True,1989.055
76.600,tourer,0,8,36.88,0,0,-102.85,30.68,-578.77,861.134,True,2103.719
76.600,original,0,8,29.45,0,0,-30.77,30.68,-574.10,861.509,True,2032.441
76.600,moto,0,11,32.55,0,0,-337.14,10.82,-563.16,861.264,True,2341.188
76.600,atv,0,8,25.41,0,0,-47.03,30.08,-575.71,861.503,True,2047.796
78.600,tourer,0,11,41.25,0,0,-181.18,31.58,-581.03,861.134,True,2181.942
78.600,original,0,8,36.41,0,0,-94.93,30.64,-583.89,861.509,True,2095.968
78.600,moto,0,11,45.02,0,0,-415.91,6.60,-554.34,861.264,True,2420.373
78.600,atv,0,8,38.23,0,0,-111.97,30.54,-579.10,861.503,True,2112.793
80.600,tourer,0,11,31.77,0,0,-257.18,25.39,-575.81,861.134,True,2278.355
80.600,original,0,8,40.08,0,0,-171.58,31.56,-585.67,861.509,True,2172.500
80.600,moto,0,11,50.56,0,0,-511.87,7.38,-547.79,861.264,True,2516.302
80.600,atv,0,11,43.54,0,0,-192.85,31.32,-580.79,861.503,True,2197.615
82.600,tourer,0,11,31.95,0,0,-319.01,13.84,-565.90,861.134,True,2333.281
82.600,original,0,11,31.93,0,0,-249.22,26.81,-581.91,861.509,True,2266.900
82.600,moto,0,11,21.02,0,0,-595.25,6.63,-548.82,861.264,True,2599.770
82.600,atv,0,11,31.68,0,0,-266.85,23.51,-574.34,861.503,True,2289.420
84.600,tourer,0,11,38.64,0,0,-387.46,7.06,-557.13,861.134,True,2391.913
84.600,original,0,11,31.70,0,0,-311.11,15.38,-572.24,861.509,True,2321.347
84.600,moto,0,11,20.17,0,0,-616.17,6.41,-533.39,861.264,True,2632.357
84.600,atv,0,11,31.83,0,0,-328.69,12.08,-564.41,861.503,True,2332.576
86.600,tourer,0,11,42.73,0,0,-469.08,7.53,-549.84,861.134,True,2473.748
86.600,original,0,11,9.70,0,0,-338.13,10.98,-567.13,861.509,True,2342.044
86.600,moto,0,11,37.35,0,0,-617.24,6.75,-474.01,861.264,True,2691.349
86.600,atv,0,11,42.10,0,0,-402.19,6.63,-555.67,861.503,True,2406.646
88.600,tourer,0,11,43.86,0,0,-556.87,7.05,-549.27,861.134,True,2561.373
88.600,original,0,11,20.73,0,0,-363.18,8.27,-560.82,861.509,True,2367.687
88.600,moto,0,11,46.53,0,0,-619.70,7.22,-389.13,861.264,True,2776.127
88.600,atv,0,11,46.96,0,0,-491.59,7.59,-548.44,861.503,True,2496.180
90.600,tourer,0,11,12.01,0,0,-605.71,6.74,-547.67,861.134,True,2607.396
90.600,original,0,11,32.99,0,0,-418.06,6.79,-554.06,861.509,True,2422.775
90.600,moto,0,11,51.43,0,0,-621.74,7.66,-290.64,861.264,True,2874.541
90.600,atv,0,11,32.42,0,0,-581.96,6.63,-549.82,861.503,True,2588.751
92.600,tourer,0,11,21.32,0,0,-616.28,6.64,-524.28,861.134,True,2641.420
92.600,original,0,11,38.87,0,0,-490.39,7.71,-548.49,861.509,True,2495.146
92.600,moto,0,11,54.02,0,0,-623.10,8.04,-184.89,861.264,True,2980.260
92.600,atv,0,11,12.48,0,0,-612.82,6.50,-543.06,861.503,True,2615.168
94.600,tourer,0,11,32.79,0,0,-617.63,6.93,-469.06,861.134,True,2696.410
94.600,original,0,11,37.51,0,0,-571.08,6.90,-549.90,861.509,True,2577.917
94.600,moto,0,12,53.71,0,0,-622.72,8.87,-76.39,3088.746,True,3088.746
94.600,atv,0,11,31.26,0,0,-616.25,6.62,-497.95,861.503,True,2667.468
96.600,tourer,0,11,39.35,0,0,-619.55,7.33,-396.28,861.134,True,2769.113
96.600,original,0,11,10.25,0,0,-609.51,6.73,-545.93,861.509,True,2610.988
96.600,moto,0,12,54.39,0,0,-625.55,8.85,30.70,3195.844,True,3195.844
96.600,atv,0,11,41.24,0,0,-623.62,7.03,-424.84,861.503,True,2740.613
98.600,tourer,0,11,43.11,0,0,-621.26,7.72,-313.46,861.134,True,2851.875
98.600,original,0,11,24.52,0,0,-615.97,6.68,-514.76,861.509,True,2650.788
98.600,moto,0,13,55.57,0,0,-629.04,9.29,140.73,3305.898,True,3305.898
98.600,atv,0,11,46.56,0,0,-625.45,7.47,-336.44,861.503,True,2828.921
100.600,tourer,0,11,45.27,0,0,-622.83,8.05,-224.87,861.134,True,2940.444
100.600,original,0,11,34.46,0,0,-618.26,7.01,-454.72,861.509,True,2710.743
100.600,moto,0,13,56.26,0,0,-630.30,9.58,252.63,3417.788,True,3417.788
100.600,atv,0,11,49.36,0,0,-627.31,7.85,-240.22,861.503,True,2925.084
102.600,tourer,0,11,46.48,0,0,-622.35,8.37,-133.02,861.134,True,3032.265
102.600,original,0,11,39.75,0,0,-619.85,7.41,-379.93,861.509,True,2785.462
102.600,moto,0,14,54.54,0,0,-631.37,9.59,365.48,3530.733,True,3530.733
102.600,atv,0,11,47.31,0,0,-621.77,8.19,-143.11,861.503,True,3022.142
104.600,tourer,0,12,40.97,0,0,-621.83,8.51,-46.27,3119.097,True,3119.097
104.600,original,0,11,42.57,0,0,-621.60,7.78,-297.32,861.509,True,2868.036
104.600,moto,0,14,49.88,0,0,-619.72,8.98,463.04,3629.735,True,3629.735
104.600,atv,0,12,40.67,0,0,-623.10,8.76,-54.36,3111.029,True,3111.029
106.600,tourer,0,12,43.86,0,0,-625.79,9.03,38.53,3203.884,True,3203.884
106.600,original,0,11,44.08,0,0,-623.04,8.10,-210.52,861.509,True,2954.828
106.600,moto,0,14,18.14,0,0,-602.87,8.43,526.25,3695.926,True,3695.926
106.600,atv,0,12,43.81,0,0,-625.42,8.84,30.32,3195.674,True,3195.674
108.600,tourer,0,13,45.68,0,0,-627.09,9.40,128.25,3293.586,True,3293.586
108.600,original,0,12,44.81,0,0,-622.62,8.41,-121.53,3043.789,True,3043.789
108.600,moto,0,15,-8.06,0,0,-592.78,8.60,538.65,3720.243,True,3715.013
108.600,atv,0,13,46.35,0,0,-632.26,9.21,119.73,3285.140,True,3285.140
110.600,tourer,0,13,46.72,0,0,-629.84,9.67,220.68,3386.030,True,3386.030
110.600,original,0,12,-17.53,0,0,-620.69,8.50,-59.19,3106.638,True,3106.638
110.600,moto,0,15,9.82,0,0,-597.30,8.60,534.96,3720.243,True,3709.161
110.600,atv,0,13,49.25,0,0,-634.05,9.52,215.62,3380.971,True,3380.971
112.600,tourer,0,14,47.37,0,0,-631.37,9.78,314.82,3480.173,True,3480.173
112.600,original,0,12,-16.51,0,0,-624.53,8.76,-25.73,3140.162,True,3140.162
112.600,moto,0,15,24.07,0,0,-572.93,8.59,541.63,3734.453,True,3734.453
112.600,atv,0,13,-7.17,0,0,-634.88,9.52,277.29,3446.279,True,3443.788
114.600,tourer,0,14,42.72,0,0,-629.39,9.63,408.90,3574.558,True,3574.558
114.600,original,0,12,-15.79,0,0,-624.85,8.89,6.56,3172.461,True,3172.461
114.600,moto,0,15,39.54,0,0,-507.80,8.59,536.38,3799.468,True,3799.468
114.600,atv,0,13,4.94,0,0,-627.21,9.60,269.81,3446.279,True,3436.079
116.600,tourer,0,14,38.27,0,0,-611.58,8.75,489.39,3657.613,True,3657.613
116.600,original,0,12,-15.09,0,0,-625.45,9.02,37.41,3203.336,True,3203.336
116.600,moto,0,15,47.74,0,0,-419.61,8.78,532.95,3887.516,True,3887.516
116.600,atv,0,13,17.17,0,0,-636.29,9.61,282.95,3448.999,True,3448.999
118.600,tourer,0,15,16.07,0,0,-600.73,8.74,532.19,3703.931,True,3703.931
118.600,original,0,12,-14.41,0,0,-626.00,9.15,66.90,3232.840,True,3232.840
118.600,moto,0,16,52.05,0,0,-319.40,9.40,529.30,3987.694,True,3987.694
118.600,atv,0,14,33.93,0,0,-630.90,9.62,335.34,3500.974,True,3500.974
120.600,tourer,0,15,28.60,0,0,-558.90,8.74,540.22,3748.397,True,3748.397
120.600,original,0,13,-13.75,0,0,-627.89,9.26,94.97,3260.962,True,3260.962
