course,vehicle,speed,line,seconds,travel,air,minUp,recovered,outcome,scoredDistance,scoredAirtime,awards,contactCorrections
Street Loop Reverse,original,12,-1.5,13.320,150.097,0.180,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,original,12,-3,13.320,150.091,0.180,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,original,12,0,13.320,150.095,0.180,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,original,12,-4.7,13.320,150.194,0.200,0.935,True,completed,0.000,0.000,0,0
Street Loop Reverse,original,12,1.7,13.320,150.192,0.180,0.936,True,completed,0.000,0.000,0,0
Street Loop Reverse,original,24,-1.5,7.020,150.417,1.100,0.987,True,completed,26.049,1.100,1,0
Street Loop Reverse,original,24,-3,7.020,150.435,1.100,0.987,True,completed,26.049,1.100,1,0
Street Loop Reverse,original,24,0,6.980,150.046,1.100,0.987,True,completed,26.049,1.100,1,0
Street Loop Reverse,original,24,-4.7,7.000,150.405,1.060,0.945,True,completed,25.132,1.060,1,0
Street Loop Reverse,original,24,1.7,7.000,150.281,1.060,0.951,True,completed,25.173,1.060,1,0
Street Loop Reverse,original,36,-1.5,5.000,150.188,1.400,0.992,True,completed,49.026,1.400,1,0
Street Loop Reverse,original,36,-3,5.000,150.177,1.400,0.992,True,completed,49.026,1.400,1,0
Street Loop Reverse,original,36,0,4.920,150.274,1.400,0.991,True,completed,49.047,1.400,1,0
Street Loop Reverse,original,36,-4.7,5.000,150.181,1.420,0.942,True,completed,49.604,1.420,1,2
Street Loop Reverse,original,36,1.7,5.020,150.341,1.360,0.945,True,completed,47.742,1.360,1,1
Street Loop Reverse,tourer,12,-1.5,13.320,150.057,0.000,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,tourer,12,-3,13.320,150.057,0.000,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,tourer,12,0,13.320,150.055,0.000,0.980,True,completed,0.000,0.000,0,0
Street Loop Reverse,tourer,12,-4.7,13.320,150.183,0.180,0.944,True,completed,0.000,0.000,0,0
Street Loop Reverse,tourer,12,1.7,13.320,150.183,0.200,0.947,True,completed,0.000,0.000,0,0
Street Loop Reverse,tourer,24,-1.5,7.000,150.179,1.080,0.991,True,completed,25.581,1.080,1,0
Street Loop Reverse,tourer,24,-3,7.020,150.417,1.080,0.991,True,completed,25.583,1.080,1,0
Street Loop Reverse,tourer,24,0,7.000,150.183,1.080,0.991,True,completed,25.581,1.080,1,0
Street Loop Reverse,tourer,24,-4.7,7.000,150.201,1.040,0.956,True,completed,24.650,1.040,1,2
Street Loop Reverse,tourer,24,1.7,7.020,150.077,1.040,0.958,True,completed,24.671,1.040,1,2
Street Loop Reverse,tourer,36,-1.5,4.980,150.446,1.400,0.992,True,completed,49.084,1.400,1,0
Street Loop Reverse,tourer,36,-3,4.980,150.443,1.400,0.992,True,completed,49.084,1.400,1,0
Street Loop Reverse,tourer,36,0,4.940,150.377,1.400,0.992,True,completed,49.083,1.400,1,0
Street Loop Reverse,tourer,36,-4.7,4.960,150.061,1.280,0.948,True,completed,44.989,1.280,1,5
Street Loop Reverse,tourer,36,1.7,5.040,150.348,1.280,0.958,True,completed,45.026,1.280,1,7
Street Loop Reverse,moto,12,-1.5,13.320,150.217,0.380,0.980,True,completed,4.762,0.380,1,0
Street Loop Reverse,moto,12,-3,13.320,150.224,0.380,0.980,True,completed,4.761,0.380,1,10
Street Loop Reverse,moto,12,0,13.320,150.210,0.380,0.980,True,completed,4.762,0.380,1,9
Street Loop Reverse,moto,12,-4.7,13.300,150.059,0.340,0.892,True,completed,4.286,0.340,1,55
Street Loop Reverse,moto,12,1.7,13.300,150.037,0.320,0.893,True,completed,4.050,0.320,1,41
Street Loop Reverse,moto,24,-1.5,6.980,150.034,1.160,0.991,True,completed,27.512,1.160,1,0
Street Loop Reverse,moto,24,-3,6.980,150.037,1.160,0.991,True,completed,27.512,1.160,1,0
Street Loop Reverse,moto,24,0,7.100,150.257,1.160,0.991,True,completed,27.512,1.160,1,0
Street Loop Reverse,moto,24,-4.7,7.000,150.212,1.100,0.764,True,completed,0.000,0.000,0,41
Street Loop Reverse,moto,24,1.7,6.980,150.197,1.160,0.719,True,completed,0.000,0.000,0,58
Street Loop Reverse,moto,36,-1.5,4.920,150.497,1.540,0.980,True,completed,53.958,1.540,1,157
Street Loop Reverse,moto,36,-3,5.000,150.024,1.540,0.980,True,completed,53.967,1.540,1,139
Street Loop Reverse,moto,36,0,4.920,150.194,1.540,0.975,True,completed,53.930,1.540,1,148
Street Loop Reverse,moto,36,-4.7,5.000,150.223,1.400,0.812,True,completed,49.313,1.400,1,58
Street Loop Reverse,moto,36,1.7,4.980,150.161,1.420,0.853,True,completed,49.970,1.420,1,64
Street Loop Reverse,atv,12,-1.5,13.320,150.166,0.380,0.980,True,completed,4.754,0.380,1,0
Street Loop Reverse,atv,12,-3,13.320,150.168,0.380,0.980,True,completed,4.753,0.380,1,0
Street Loop Reverse,atv,12,0,13.320,150.163,0.380,0.980,True,completed,4.753,0.380,1,0
Street Loop Reverse,atv,12,-4.7,13.340,150.166,0.500,0.833,True,completed,0.000,0.000,0,41
Street Loop Reverse,atv,12,1.7,13.560,150.175,1.160,0.826,True,completed,4.743,0.380,1,100
Street Loop Reverse,atv,24,-1.5,7.120,150.451,1.160,0.991,True,completed,27.448,1.160,1,0
Street Loop Reverse,atv,24,-3,7.120,150.449,1.160,0.991,True,completed,27.448,1.160,1,0
Street Loop Reverse,atv,24,0,7.120,150.449,1.160,0.991,True,completed,27.448,1.160,1,0
Street Loop Reverse,atv,24,-4.7,7.160,150.439,1.100,0.948,True,completed,26.044,1.100,1,75
Street Loop Reverse,atv,24,1.7,7.160,150.130,1.140,0.959,True,completed,26.951,1.140,1,74
Street Loop Reverse,atv,36,-1.5,4.920,150.380,1.440,0.992,True,completed,50.631,1.440,1,49
Street Loop Reverse,atv,36,-3,4.920,150.380,1.440,0.992,True,completed,50.631,1.440,1,45
Street Loop Reverse,atv,36,0,4.920,150.381,1.440,0.992,True,completed,50.631,1.440,1,45
Street Loop Reverse,atv,36,-4.7,4.920,150.258,1.460,0.986,True,completed,50.987,1.460,1,82
Street Loop Reverse,atv,36,1.7,4.900,150.125,1.420,0.985,True,completed,49.769,1.420,1,72
