time,x,y,z,speed,target,grounded,branchS,earned,misses,contact,impulse,throttle,brake,steer,suspension,alignment
0.000,244.954,56.367,293.297,31.800,32.000,2,0.000,0.000,0,,0.000,0.120,0.000,-0.048,15.167,2.274
0.118,241.180,55.944,293.989,31.976,32.000,0,0.000,0.000,0,Ground_480_480,0.000,0.014,0.000,-0.057,0.000,1.043
0.238,237.423,55.410,294.660,31.802,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.119,0.000,-0.063,6.370,2.455
0.338,234.304,54.925,295.127,31.920,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.048,0.000,-0.062,13.814,0.392
0.458,230.559,54.399,295.555,31.814,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.112,0.000,-0.056,18.436,0.589
0.558,227.402,54.045,295.798,31.911,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.053,0.000,-0.049,16.169,0.425
0.678,223.611,53.700,295.952,31.778,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.133,0.000,-0.042,10.908,0.385
0.778,220.438,53.426,295.976,31.879,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.073,0.000,-0.036,5.376,0.310
0.898,216.639,53.036,295.894,31.721,32.000,2,0.000,0.000,0,Ground_480_480,0.000,0.168,0.000,-0.029,0.267,0.240
1.018,212.856,52.520,295.716,31.875,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.075,0.000,-0.024,6.614,0.677
1.118,209.721,52.055,295.501,31.726,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.164,0.000,-0.020,18.629,0.201
1.238,205.965,51.657,295.179,31.731,32.000,4,0.000,0.000,0,Ground_480_480,92.435,0.161,0.000,-0.022,27.310,2.236
1.338,202.805,51.519,294.878,31.815,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.111,0.000,-0.022,9.035,0.647
1.458,199.000,51.342,294.484,31.878,32.000,0,0.000,0.000,0,Ground_480_480,0.000,0.073,0.000,-0.020,0.000,0.519
1.558,195.836,51.091,294.140,31.885,32.000,0,0.000,0.000,0,Ground_480_480,0.000,0.069,0.000,-0.019,0.000,0.527
1.678,192.048,50.661,293.728,31.915,32.000,0,0.000,0.000,0,Ground_480_480,0.000,0.051,0.000,-0.018,0.000,0.510
1.778,188.901,50.196,293.385,31.945,32.000,2,0.000,0.000,0,Ground_480_480,0.000,0.033,0.000,-0.019,7.204,0.899
1.898,185.164,49.638,292.872,31.815,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.111,0.000,-0.019,22.015,0.204
2.018,181.413,49.242,292.255,31.920,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.048,0.000,-0.016,19.876,0.457
2.118,178.301,49.022,291.696,31.772,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.137,0.000,-0.014,14.334,0.423
2.238,174.553,48.813,290.979,31.884,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.069,0.000,-0.012,8.173,0.296
2.338,171.440,48.626,290.353,31.674,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.195,0.000,-0.011,5.165,0.138
2.458,167.717,48.343,289.575,31.826,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.104,0.000,-0.010,3.830,0.068
2.558,164.613,48.043,288.901,31.909,32.000,3,0.000,0.000,0,Ground_480_480,0.000,0.055,0.000,-0.009,3.160,0.324
2.678,160.914,47.601,288.073,31.788,32.000,3,0.000,0.000,0,Ground_480_480,0.000,0.127,0.000,-0.010,3.674,0.870
2.778,157.834,47.171,287.360,31.914,32.000,4,0.000,0.000,0,Ground_400_480,0.000,0.052,0.000,-0.011,7.098,0.879
2.898,154.162,46.633,286.481,31.808,32.000,4,0.000,0.000,0,Ground_400_480,0.000,0.115,0.000,-0.012,14.210,0.611
3.018,150.489,46.174,285.566,31.858,32.000,4,0.000,0.000,0,Ground_400_480,86.942,0.085,0.000,-0.012,24.751,5.294
3.118,147.426,46.011,284.790,31.790,32.000,4,0.000,0.000,0,Ground_400_480,137.374,0.126,0.000,-0.015,22.292,0.997
3.238,143.730,45.987,283.849,31.851,32.000,4,0.000,0.000,0,Ground_400_480,1.134,0.090,0.000,-0.016,15.856,0.285
3.338,140.648,46.040,283.048,31.866,32.000,4,0.000,0.000,0,Ground_400_480,7.814,0.080,0.000,-0.016,13.947,0.239
3.458,136.966,46.174,282.060,31.864,32.000,4,0.000,0.000,0,Ground_400_480,17.393,0.081,0.000,-0.017,17.578,0.920
3.558,133.936,46.367,281.221,31.196,30.364,4,0.000,0.000,0,Ground_400_480,3.950,0.000,0.000,-0.017,18.166,0.576
3.678,130.460,46.693,280.228,30.018,30.364,4,0.000,0.000,0,Ground_400_480,12.648,0.208,0.000,-0.018,15.649,0.369
3.798,127.105,47.094,279.232,28.672,29.000,4,0.000,0.000,0,Ground_400_480,0.000,0.197,0.000,-0.019,14.105,0.409
3.898,124.391,47.469,278.395,28.687,29.000,4,0.000,0.000,0,Ground_400_480,0.000,0.188,0.000,-0.020,14.375,0.270
4.018,121.157,47.983,277.356,28.685,29.000,4,0.000,0.000,0,Ground_400_480,0.000,0.189,0.000,-0.018,16.188,0.553
4.118,118.492,48.493,276.464,28.640,29.000,4,0.000,0.000,0,Ground_400_480,23.606,0.216,0.000,-0.033,9.024,5.404
4.238,115.289,49.101,275.365,28.466,29.000,0,0.000,0.000,0,Ground_400_480,0.000,0.320,0.000,0.015,0.000,0.089
4.338,112.624,49.501,274.445,28.253,29.000,0,0.000,0.000,0,,0.000,0.448,0.000,0.055,0.000,0.144
4.458,109.433,49.849,273.342,28.038,29.000,0,0.000,0.000,0,,0.000,0.577,0.000,0.125,0.000,0.291
4.558,106.781,50.030,272.426,27.897,29.000,0,0.000,0.000,0,,0.000,0.662,0.000,0.329,0.000,0.394
4.678,103.607,50.117,271.328,27.777,29.000,0,0.000,0.000,0,,0.000,0.734,0.000,1.000,0.000,0.482
4.798,100.443,50.063,270.233,27.711,32.000,0,0.000,0.000,0,,0.000,1.000,0.000,0.026,0.000,0.533
4.898,97.813,49.910,269.323,27.693,32.000,0,0.000,0.000,0,,0.000,1.000,0.000,0.025,0.000,0.549
5.018,94.667,49.597,268.234,27.704,32.000,0,0.000,0.000,0,,0.000,1.000,0.000,0.023,0.000,0.538
5.118,92.053,49.230,267.329,27.730,32.000,0,0.000,0.000,0,,0.000,1.000,0.000,0.020,0.000,0.509
5.238,88.925,48.660,266.245,27.762,32.000,0,0.000,0.000,0,,0.000,1.000,0.000,0.016,0.000,0.454
5.338,86.325,48.080,265.345,27.777,32.000,0,0.000,0.000,0,,0.000,1.000,0.000,0.011,0.000,0.396
5.458,83.213,47.255,264.267,27.763,32.000,0,0.000,0.000,0,,0.000,1.000,0.000,0.006,0.000,0.317
5.558,80.627,46.461,263.372,27.715,32.000,0,0.000,0.000,0,,0.000,1.000,0.000,0.000,0.000,0.247
