t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.138,830.724,100.802,-122.571,23.365,20.260,1.083,11.595,0.000,0.000,-0.163,2,13.721,4.275,0.998,"Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);"
0.040,148.490,831.117,100.824,-122.348,23.339,20.273,0.998,11.609,0.318,0.000,-0.169,2,3.296,6.251,0.994,"Ground_Mountain_0_1:(-0.161, 0.981, -0.113);Ground_Mountain_0_1:(-0.161, 0.981, -0.113);Ground_Mountain_0_1:(-0.161, 0.981, -0.113);Ground_Mountain_0_1:(-0.161, 0.981, -0.113);"
0.060,148.936,831.513,100.852,-122.122,23.286,20.227,1.462,11.561,0.331,0.000,-0.176,4,26.982,6.917,0.991,"Ground_Mountain_0_1:(-0.161, 0.981, -0.111);Ground_Mountain_0_1:(-0.161, 0.981, -0.111);Ground_Mountain_0_1:(-0.161, 0.981, -0.111);Ground_Mountain_0_1:(-0.161, 0.981, -0.111);Ground_Mountain_0_1:(-0.161, 0.981, -0.111);"
0.080,149.388,831.909,100.892,-121.895,23.241,20.153,2.039,11.506,0.357,0.000,-0.181,4,32.697,5.606,0.988,"Ground_Mountain_0_1:(-0.163, 0.981, -0.110);Ground_Mountain_0_1:(-0.163, 0.981, -0.110);Ground_Mountain_0_1:(-0.163, 0.981, -0.110);"
0.100,149.842,832.305,100.944,-121.669,23.219,20.067,2.626,11.468,0.380,0.000,-0.185,4,35.528,4.705,0.985,"Ground_Mountain_0_1:(-0.158, 0.981, -0.113);Ground_Mountain_0_1:(-0.158, 0.981, -0.113);Ground_Mountain_0_1:(-0.158, 0.981, -0.113);Ground_Mountain_0_1:(-0.158, 0.981, -0.113);Ground_Mountain_0_1:(-0.158, 0.981, -0.113);Ground_Mountain_0_1:(-0.158, 0.981, -0.113);"
0.120,150.219,832.702,101.007,-121.444,23.210,19.970,3.205,11.442,0.391,0.000,-0.190,4,36.496,3.624,0.983,"Ground_Mountain_0_1:(-0.161, 0.980, -0.117);Ground_Mountain_0_1:(-0.161, 0.980, -0.117);Ground_Mountain_0_1:(-0.161, 0.980, -0.117);Ground_Mountain_0_1:(-0.161, 0.980, -0.117);Ground_Mountain_0_1:(-0.161, 0.980, -0.117);Ground_Mountain_0_1:(-0.161, 0.980, -0.117);"
0.140,150.677,833.097,101.082,-121.217,23.216,19.873,3.729,11.440,0.395,0.000,-0.193,4,35.895,2.710,0.981,"Ground_Mountain_0_1:(-0.159, 0.980, -0.115);Ground_Mountain_0_1:(-0.159, 0.980, -0.115);Ground_Mountain_0_1:(-0.159, 0.980, -0.115);Ground_Mountain_0_1:(-0.159, 0.980, -0.115);Ground_Mountain_0_1:(-0.159, 0.980, -0.115);Ground_Mountain_0_1:(-0.159, 0.980, -0.115);"
0.160,151.137,833.491,101.167,-120.988,23.215,19.757,4.253,11.441,0.392,0.000,-0.195,4,34.115,1.768,0.981,"Ground_Mountain_0_1:(-0.159, 0.980, -0.117);Ground_Mountain_0_1:(-0.159, 0.980, -0.117);Ground_Mountain_0_1:(-0.159, 0.980, -0.117);Ground_Mountain_0_1:(-0.159, 0.980, -0.117);Ground_Mountain_0_1:(-0.159, 0.980, -0.117);Ground_Mountain_0_1:(-0.159, 0.980, -0.117);"
0.180,151.598,833.884,101.260,-120.759,23.223,19.655,4.673,11.469,0.392,0.000,-0.196,4,30.861,0.765,0.980,"Ground_Mountain_0_1:(-0.160, 0.981, -0.113);Ground_Mountain_0_1:(-0.160, 0.981, -0.113);Ground_Mountain_0_1:(-0.160, 0.981, -0.113);Ground_Mountain_0_1:(-0.160, 0.981, -0.113);Ground_Mountain_0_1:(-0.160, 0.981, -0.113);Ground_Mountain_0_1:(-0.160, 0.981, -0.113);"
0.200,151.983,834.274,101.360,-120.529,23.229,19.555,5.030,11.515,0.389,0.000,-0.197,4,27.654,0.511,0.980,"Ground_Mountain_0_1:(-0.161, 0.981, -0.113);Ground_Mountain_0_1:(-0.161, 0.981, -0.113);Ground_Mountain_0_1:(-0.161, 0.981, -0.113);Ground_Mountain_0_1:(-0.161, 0.981, -0.113);Ground_Mountain_0_1:(-0.161, 0.981, -0.113);Ground_Mountain_0_1:(-0.161, 0.981, -0.113);"
