t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.142,828.843,100.838,-119.037,31.093,26.957,1.460,15.482,0.000,0.000,-0.192,2,14.618,4.635,0.996,"Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);"
0.040,148.799,829.366,100.877,-118.740,30.933,26.882,1.867,15.380,0.453,0.000,-0.196,3,15.266,9.715,0.990,"Ground_Mountain_0_1:(-0.173, 0.978, -0.119);Ground_Mountain_0_1:(-0.173, 0.978, -0.119);Ground_Mountain_0_1:(-0.173, 0.978, -0.119);Ground_Mountain_0_1:(-0.173, 0.978, -0.119);"
0.060,149.394,829.890,100.926,-118.441,30.814,26.796,2.483,15.297,0.533,0.000,-0.204,4,31.825,9.387,0.985,"Ground_Mountain_0_1:(-0.174, 0.977, -0.119);Ground_Mountain_0_1:(-0.174, 0.977, -0.119);Ground_Mountain_0_1:(-0.174, 0.977, -0.119);Ground_Mountain_0_1:(-0.174, 0.977, -0.119);Ground_Mountain_0_1:(-0.174, 0.977, -0.119);"
0.080,150.067,830.416,100.986,-118.142,30.737,26.707,3.071,15.258,0.593,0.000,-0.211,4,36.978,8.336,0.979,"Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);"
0.100,150.669,830.923,101.093,-117.841,30.354,25.960,5.430,14.837,0.631,0.000,-0.216,4,41.240,7.155,0.974,"Ground_Mountain_0_1:(-0.169, 0.978, -0.121);Ground_Mountain_0_1:(-0.169, 0.978, -0.121);Ground_Mountain_0_1:(-0.169, 0.978, -0.121);Ground_Mountain_0_1:(-0.169, 0.978, -0.121);Ground_Mountain_0_1:(-0.169, 0.978, -0.121);Ground_Mountain_0_1:(-0.169, 0.978, -0.121);"
0.120,151.268,831.439,101.232,-117.551,30.280,25.649,6.510,14.718,0.823,0.000,-0.226,4,35.765,9.587,0.976,"Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);"
0.140,151.934,831.951,101.371,-117.257,30.322,25.600,6.897,14.719,0.860,0.000,-0.234,4,28.929,0.774,0.977,"Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);"
0.160,152.536,832.462,101.515,-116.962,30.360,25.561,7.206,14.733,0.839,0.000,-0.240,4,24.979,0.613,0.977,"Ground_Mountain_0_1:(-0.176, 0.976, -0.127);Ground_Mountain_0_1:(-0.176, 0.976, -0.127);Ground_Mountain_0_1:(-0.176, 0.976, -0.127);Ground_Mountain_0_1:(-0.176, 0.976, -0.127);Ground_Mountain_0_1:(-0.176, 0.976, -0.127);Ground_Mountain_0_1:(-0.176, 0.976, -0.127);"
0.180,153.139,832.973,101.664,-116.667,30.395,25.525,7.443,14.768,0.820,0.000,-0.244,4,21.273,0.469,0.977,"Ground_Mountain_0_1:(-0.173, 0.977, -0.128);Ground_Mountain_0_1:(-0.173, 0.977, -0.128);Ground_Mountain_0_1:(-0.173, 0.977, -0.128);Ground_Mountain_0_1:(-0.173, 0.977, -0.128);Ground_Mountain_0_1:(-0.173, 0.977, -0.128);Ground_Mountain_0_1:(-0.173, 0.977, -0.128);"
0.200,153.791,833.483,101.816,-116.370,30.426,25.488,7.613,14.829,0.802,0.000,-0.245,4,17.833,0.362,0.977,""
