t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.141,826.697,100.798,-115.891,15.523,13.447,0.832,7.710,0.000,0.000,-0.152,2,14.309,2.809,0.999,"Ground_Mountain_0_1:(-0.191, 0.973, -0.131);Ground_Mountain_0_1:(-0.191, 0.973, -0.131);Ground_Mountain_0_1:(-0.191, 0.973, -0.131);Ground_Mountain_0_1:(-0.191, 0.973, -0.131);"
0.040,148.669,826.955,100.815,-115.745,15.543,13.472,0.764,7.731,0.239,0.000,-0.158,2,5.417,3.806,0.997,"Ground_Mountain_0_1:(-0.192, 0.972, -0.136);Ground_Mountain_0_1:(-0.192, 0.972, -0.136);Ground_Mountain_0_1:(-0.192, 0.972, -0.136);"
0.060,148.963,827.216,100.833,-115.595,15.546,13.473,0.969,7.732,0.228,0.000,-0.163,4,18.889,4.465,0.994,"Ground_Mountain_0_1:(-0.188, 0.973, -0.136);Ground_Mountain_0_1:(-0.188, 0.973, -0.136);Ground_Mountain_0_1:(-0.188, 0.973, -0.136);Ground_Mountain_0_1:(-0.188, 0.973, -0.136);Ground_Mountain_0_1:(-0.188, 0.973, -0.136);"
0.080,149.260,827.477,100.858,-115.445,15.541,13.450,1.288,7.724,0.227,0.000,-0.165,4,24.614,4.157,0.991,"Ground_Mountain_0_1:(-0.188, 0.972, -0.139);Ground_Mountain_0_1:(-0.188, 0.972, -0.139);Ground_Mountain_0_1:(-0.188, 0.972, -0.139);Ground_Mountain_0_1:(-0.188, 0.972, -0.139);"
0.100,149.560,827.739,100.890,-115.295,15.540,13.408,1.667,7.718,0.229,0.000,-0.168,4,28.476,3.855,0.988,"Ground_Mountain_0_1:(-0.188, 0.972, -0.138);Ground_Mountain_0_1:(-0.188, 0.972, -0.138);Ground_Mountain_0_1:(-0.188, 0.972, -0.138);"
0.120,149.862,828.000,100.931,-115.144,15.539,13.346,2.087,7.710,0.230,0.000,-0.169,4,30.685,3.329,0.985,"Ground_Mountain_0_1:(-0.188, 0.972, -0.138);Ground_Mountain_0_1:(-0.188, 0.972, -0.138);Ground_Mountain_0_1:(-0.188, 0.972, -0.138);"
0.140,150.382,828.261,100.981,-114.992,15.538,13.267,2.522,7.703,0.231,0.000,-0.168,4,31.518,2.802,0.982,"Ground_Mountain_0_1:(-0.184, 0.973, -0.137);Ground_Mountain_0_1:(-0.184, 0.973, -0.137);Ground_Mountain_0_1:(-0.184, 0.973, -0.137);Ground_Mountain_0_1:(-0.184, 0.973, -0.137);Ground_Mountain_0_1:(-0.184, 0.973, -0.137);"
0.160,150.687,828.521,101.039,-114.840,15.538,13.175,2.949,7.701,0.231,0.000,-0.168,4,31.241,2.325,0.980,"Ground_Mountain_0_1:(-0.187, 0.972, -0.139);Ground_Mountain_0_1:(-0.187, 0.972, -0.139);Ground_Mountain_0_1:(-0.187, 0.972, -0.139);Ground_Mountain_0_1:(-0.187, 0.972, -0.139);Ground_Mountain_0_1:(-0.187, 0.972, -0.139);Ground_Mountain_0_1:(-0.187, 0.972, -0.139);"
0.180,150.993,828.780,101.105,-114.687,15.537,13.076,3.352,7.706,0.231,0.000,-0.168,4,30.090,1.918,0.978,"Ground_Mountain_0_1:(-0.191, 0.971, -0.144);Ground_Mountain_0_1:(-0.191, 0.971, -0.144);"
0.200,151.300,829.037,101.179,-114.534,15.536,12.974,3.719,7.720,0.231,0.000,-0.167,4,28.238,1.550,0.976,"Ground_Mountain_0_1:(-0.191, 0.971, -0.144);"
0.220,151.801,829.293,101.260,-114.380,15.534,12.871,4.041,7.744,0.232,0.000,-0.164,4,26.006,1.203,0.975,""
0.240,152.108,829.547,101.346,-114.225,15.530,12.771,4.313,7.779,0.233,0.000,-0.163,4,23.505,0.937,0.974,""
0.260,152.416,829.800,101.436,-114.069,15.525,12.675,4.532,7.824,0.235,0.000,-0.161,4,20.809,0.773,0.974,""
0.280,152.724,830.051,101.530,-113.912,15.519,12.586,4.698,7.880,0.237,0.000,-0.159,4,18.064,0.575,0.973,""
0.300,153.032,830.301,101.626,-113.754,15.513,12.504,4.813,7.946,0.240,0.000,-0.157,4,15.452,0.393,0.973,""
0.320,153.509,830.550,101.723,-113.593,15.506,12.427,4.880,8.021,0.244,0.000,-0.152,4,13.005,0.270,0.973,""
0.340,153.817,830.797,101.821,-113.432,15.499,12.358,4.903,8.104,0.247,0.000,-0.150,4,10.749,0.206,0.973,""
0.360,154.125,831.043,101.919,-113.268,15.492,12.294,4.888,8.195,0.251,0.000,-0.147,4,8.727,0.114,0.973,""
0.380,154.434,831.288,102.016,-113.102,15.485,12.236,4.839,8.292,0.254,0.000,-0.144,4,7.027,0.045,0.973,""
