t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.138,830.855,100.810,-122.496,31.117,26.976,1.494,15.463,0.000,0.000,-0.179,2,13.721,4.275,0.997,"Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);"
0.040,148.639,831.380,100.846,-122.197,31.032,26.953,1.666,15.431,0.441,0.000,-0.184,3,11.607,8.796,0.993,"Ground_Mountain_0_1:(-0.161, 0.980, -0.114);Ground_Mountain_0_1:(-0.161, 0.980, -0.114);Ground_Mountain_0_1:(-0.161, 0.980, -0.114);"
0.060,149.237,831.906,100.891,-121.897,30.924,26.867,2.303,15.344,0.484,0.000,-0.191,4,31.639,8.327,0.988,"Ground_Mountain_0_1:(-0.162, 0.981, -0.110);Ground_Mountain_0_1:(-0.162, 0.981, -0.110);Ground_Mountain_0_1:(-0.162, 0.981, -0.110);Ground_Mountain_0_1:(-0.162, 0.981, -0.110);"
0.080,149.839,832.434,100.948,-121.596,30.850,26.774,2.929,15.291,0.538,0.000,-0.197,4,36.074,7.463,0.983,"Ground_Mountain_0_1:(-0.158, 0.981, -0.114);Ground_Mountain_0_1:(-0.158, 0.981, -0.114);Ground_Mountain_0_1:(-0.158, 0.981, -0.114);Ground_Mountain_0_1:(-0.158, 0.981, -0.114);Ground_Mountain_0_1:(-0.158, 0.981, -0.114);Ground_Mountain_0_1:(-0.158, 0.981, -0.114);"
0.100,150.364,832.956,101.026,-121.298,30.701,26.559,3.984,15.085,0.575,0.000,-0.203,4,39.456,6.557,0.978,"Ground_Mountain_0_1:(-0.161, 0.980, -0.116);Ground_Mountain_0_1:(-0.161, 0.980, -0.116);Ground_Mountain_0_1:(-0.161, 0.980, -0.116);Ground_Mountain_0_1:(-0.161, 0.980, -0.116);Ground_Mountain_0_1:(-0.161, 0.980, -0.116);Ground_Mountain_0_1:(-0.161, 0.980, -0.116);"
0.120,150.967,833.473,101.158,-121.004,30.386,25.842,6.224,14.727,0.650,0.000,-0.208,4,38.610,7.127,0.980,"Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);"
0.140,151.574,833.989,101.289,-120.709,30.424,25.783,6.593,14.757,0.807,0.000,-0.216,4,27.979,0.598,0.979,"Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);"
0.160,152.102,834.504,101.427,-120.413,30.459,25.734,6.890,14.794,0.788,0.000,-0.224,4,24.380,0.350,0.979,"Ground_Mountain_0_1:(-0.164, 0.980, -0.113);Ground_Mountain_0_1:(-0.164, 0.980, -0.113);Ground_Mountain_0_1:(-0.164, 0.980, -0.113);Ground_Mountain_0_1:(-0.164, 0.980, -0.113);Ground_Mountain_0_1:(-0.164, 0.980, -0.113);Ground_Mountain_0_1:(-0.164, 0.980, -0.113);"
0.180,152.707,835.018,101.570,-120.117,30.490,25.689,7.115,14.847,0.770,0.000,-0.228,4,20.725,0.212,0.979,"Ground_Mountain_0_1:(-0.161, 0.981, -0.108);"
0.200,153.313,835.531,101.715,-119.819,30.518,25.646,7.271,14.921,0.755,0.000,-0.230,4,17.224,0.113,0.980,""
0.220,153.843,836.044,101.862,-119.518,30.542,25.600,7.365,15.019,0.741,0.000,-0.232,4,14.036,0.136,0.980,""
0.240,154.449,836.555,102.011,-119.216,30.562,25.548,7.407,15.143,0.729,0.000,-0.231,4,11.336,0.212,0.980,""
0.260,155.056,837.065,102.159,-118.910,30.579,25.489,7.404,15.292,0.719,0.000,-0.229,4,9.026,0.149,0.980,""
0.280,155.589,837.574,102.306,-118.601,30.594,25.419,7.363,15.466,0.710,0.000,-0.227,4,7.025,0.130,0.980,""
0.300,156.195,838.081,102.452,-118.289,30.606,25.337,7.290,15.662,0.703,0.000,-0.223,4,5.460,0.109,0.980,""
0.320,156.802,838.587,102.596,-117.971,30.615,25.244,7.195,15.880,0.697,0.000,-0.218,4,4.261,0.127,0.980,""
0.340,157.340,839.090,102.737,-117.650,30.622,25.137,7.086,16.114,0.693,0.000,-0.213,4,3.543,0.087,0.980,""
0.360,157.947,839.590,102.877,-117.323,30.627,25.017,6.966,16.365,0.689,0.000,-0.207,4,3.006,0.118,0.980,""
0.380,158.555,840.089,103.014,-116.991,30.630,24.884,6.841,16.629,0.687,0.000,-0.200,4,2.713,0.149,0.980,""
0.400,159.101,840.584,103.148,-116.653,30.632,24.739,6.713,16.902,0.685,0.000,-0.193,4,2.608,0.160,0.980,""
0.420,159.709,841.076,103.280,-116.310,30.634,24.582,6.586,17.184,0.684,0.000,-0.185,4,2.679,0.218,0.980,""
0.440,160.310,841.565,103.409,-115.961,30.635,24.415,6.463,17.471,0.683,0.000,-0.177,4,2.881,0.187,0.980,""
0.460,160.875,842.050,103.536,-115.606,30.637,24.239,6.346,17.760,0.682,0.000,-0.169,4,3.235,0.192,0.980,""
0.480,161.484,842.531,103.661,-115.245,30.638,24.054,6.240,18.050,0.682,0.000,-0.160,4,3.769,0.197,0.980,""
0.500,162.072,843.009,103.783,-114.879,30.641,23.862,6.146,18.338,0.681,0.000,-0.151,4,4.401,0.155,0.980,""
0.520,162.664,843.482,103.905,-114.507,30.643,23.665,6.065,18.622,0.680,0.000,-0.141,4,5.078,0.176,0.980,""
0.540,163.275,843.952,104.025,-114.129,30.647,23.462,5.998,18.902,0.678,0.000,-0.131,4,5.842,0.178,0.980,""
0.560,163.859,844.417,104.144,-113.746,30.651,23.257,5.945,19.175,0.677,0.000,-0.122,4,6.598,0.167,0.980,""
0.580,164.471,844.878,104.262,-113.358,30.657,23.049,5.907,19.440,0.674,0.000,-0.111,4,7.387,0.152,0.980,""
0.600,165.084,845.335,104.379,-112.964,30.663,22.841,5.883,19.696,0.672,0.000,-0.101,4,8.109,0.151,0.980,""
0.620,165.682,845.788,104.497,-112.566,30.670,22.634,5.872,19.942,0.668,0.000,-0.091,4,8.799,0.153,0.980,""
0.640,166.295,846.237,104.614,-112.162,30.679,22.429,5.873,20.178,0.665,0.000,-0.080,4,9.422,0.150,0.980,""
0.660,166.909,846.682,104.732,-111.755,30.688,22.229,5.883,20.404,0.661,0.000,-0.069,4,9.956,0.154,0.980,""
0.680,167.523,847.122,104.850,-111.343,30.698,22.033,5.902,20.618,0.656,0.000,-0.059,4,10.411,0.145,0.980,""
0.700,168.138,847.559,104.968,-110.926,30.709,21.844,5.927,20.820,0.651,0.000,-0.047,4,10.779,0.138,0.980,""
0.720,168.752,847.992,105.088,-110.506,30.721,21.662,5.958,21.010,0.645,0.000,-0.036,4,11.064,0.127,0.980,""
0.740,169.381,848.422,105.207,-110.083,30.733,21.489,5.992,21.188,0.640,0.000,-0.026,4,11.272,0.120,0.980,""
0.760,169.996,848.849,105.328,-109.656,30.746,21.325,6.031,21.354,0.634,0.000,-0.015,4,11.472,0.105,0.979,""
0.780,170.611,849.272,105.449,-109.226,30.759,21.171,6.072,21.507,0.627,0.000,-0.004,4,11.640,0.097,0.979,""
0.800,171.254,849.693,105.572,-108.793,30.772,21.028,6.114,21.648,0.621,0.000,0.007,4,11.719,0.087,0.979,""
0.820,171.869,850.111,105.695,-108.358,30.786,20.898,6.157,21.775,0.614,0.000,0.016,4,11.728,0.079,0.979,""
0.840,172.485,850.526,105.819,-107.920,30.799,20.779,6.198,21.890,0.607,0.000,0.027,4,11.700,0.082,0.979,""
0.860,173.140,850.939,105.943,-107.480,30.812,20.673,6.241,21.992,0.601,0.000,0.038,4,11.739,0.069,0.979,""
0.880,173.755,851.351,106.069,-107.039,30.825,20.581,6.284,22.081,0.594,0.000,0.048,4,11.737,0.093,0.979,""
0.900,174.370,851.761,106.196,-106.596,30.838,20.502,6.325,22.157,0.587,0.000,0.057,4,11.679,0.088,0.979,""
0.920,174.986,852.169,106.323,-106.151,30.849,20.436,6.365,22.219,0.581,0.000,0.067,4,11.610,0.071,0.979,""
0.940,175.651,852.576,106.451,-105.706,30.861,20.385,6.402,22.269,0.575,0.000,0.076,4,11.457,0.130,0.979,""
0.960,176.266,852.983,106.579,-105.260,30.871,20.349,6.436,22.306,0.570,0.000,0.085,4,11.238,0.095,0.978,""
0.980,176.881,853.390,106.709,-104.813,30.880,20.327,6.464,22.331,0.565,0.000,0.093,4,10.978,0.022,0.978,""
1.000,177.554,853.796,106.838,-104.366,30.889,20.319,6.489,22.342,0.560,0.000,0.102,4,10.793,0.044,0.978,""
