t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.141,826.931,100.849,-115.757,30.659,26.523,2.527,15.188,0.000,0.000,-0.206,2,15.853,5.097,0.994,"Ground_Mountain_0_1:(-0.194, 0.972, -0.136);Ground_Mountain_0_1:(-0.194, 0.972, -0.136);Ground_Mountain_0_1:(-0.194, 0.972, -0.136);Ground_Mountain_0_1:(-0.194, 0.972, -0.136);Ground_Mountain_0_1:(-0.194, 0.972, -0.136);Ground_Mountain_0_1:(-0.194, 0.972, -0.136);"
0.040,148.944,827.444,100.903,-115.464,30.610,26.552,2.541,15.218,0.671,0.000,-0.209,3,9.725,12.368,0.987,"Ground_Mountain_0_1:(-0.192, 0.972, -0.138);Ground_Mountain_0_1:(-0.192, 0.972, -0.138);Ground_Mountain_0_1:(-0.192, 0.972, -0.138);Ground_Mountain_0_1:(-0.192, 0.972, -0.138);Ground_Mountain_0_1:(-0.192, 0.972, -0.138);Ground_Mountain_0_1:(-0.192, 0.972, -0.138);"
0.060,149.532,827.960,100.963,-115.167,30.506,26.484,3.081,15.158,0.695,0.000,-0.216,4,30.412,11.045,0.979,"Ground_Mountain_0_1:(-0.188, 0.972, -0.138);Ground_Mountain_0_1:(-0.188, 0.972, -0.138);Ground_Mountain_0_1:(-0.188, 0.972, -0.138);"
0.080,150.343,828.478,101.035,-114.870,30.412,26.368,3.728,15.102,0.747,0.000,-0.220,4,36.872,9.229,0.972,"Ground_Mountain_0_1:(-0.189, 0.972, -0.140);Ground_Mountain_0_1:(-0.189, 0.972, -0.140);Ground_Mountain_0_1:(-0.189, 0.972, -0.140);Ground_Mountain_0_1:(-0.189, 0.972, -0.140);Ground_Mountain_0_1:(-0.189, 0.972, -0.140);"
0.100,150.940,828.981,101.175,-114.582,29.862,25.187,7.033,14.423,0.794,0.000,-0.224,4,40.705,8.257,0.972,"Ground_Mountain_0_1:(-0.192, 0.972, -0.135);Ground_Mountain_0_1:(-0.192, 0.972, -0.135);Ground_Mountain_0_1:(-0.192, 0.972, -0.135);Ground_Mountain_0_1:(-0.192, 0.972, -0.135);Ground_Mountain_0_1:(-0.192, 0.972, -0.135);Ground_Mountain_0_1:(-0.192, 0.972, -0.135);"
0.120,151.534,829.483,101.323,-114.293,29.918,25.131,7.415,14.451,1.000,0.000,-0.233,4,28.454,0.820,0.971,"Ground_Mountain_0_1:(-0.192, 0.973, -0.130);Ground_Mountain_0_1:(-0.192, 0.973, -0.130);Ground_Mountain_0_1:(-0.192, 0.973, -0.130);Ground_Mountain_0_1:(-0.192, 0.973, -0.130);Ground_Mountain_0_1:(-0.192, 0.973, -0.130);Ground_Mountain_0_1:(-0.192, 0.973, -0.130);"
0.140,152.321,829.985,101.478,-114.003,29.973,25.086,7.728,14.489,1.000,0.000,-0.237,4,24.958,0.576,0.971,"Ground_Mountain_0_1:(-0.189, 0.973, -0.130);Ground_Mountain_0_1:(-0.189, 0.973, -0.130);Ground_Mountain_0_1:(-0.189, 0.973, -0.130);Ground_Mountain_0_1:(-0.189, 0.973, -0.130);Ground_Mountain_0_1:(-0.189, 0.973, -0.130);Ground_Mountain_0_1:(-0.189, 0.973, -0.130);"
0.160,152.916,830.486,101.637,-113.712,30.025,25.049,7.971,14.546,1.000,0.000,-0.242,4,21.326,0.422,0.971,"Ground_Mountain_0_1:(-0.194, 0.971, -0.137);Ground_Mountain_0_1:(-0.194, 0.971, -0.137);Ground_Mountain_0_1:(-0.194, 0.971, -0.137);Ground_Mountain_0_1:(-0.194, 0.971, -0.137);"
0.180,153.679,830.987,101.800,-113.420,30.074,25.016,8.145,14.627,0.987,0.000,-0.242,4,17.793,0.267,0.972,""
0.200,154.274,831.487,101.965,-113.126,30.117,24.981,8.254,14.733,0.963,0.000,-0.242,4,14.433,0.187,0.972,""
0.220,154.870,831.987,102.132,-112.829,30.155,24.941,8.304,14.868,0.942,0.000,-0.241,4,11.392,0.148,0.972,""
0.240,155.607,832.486,102.298,-112.528,30.189,24.895,8.299,15.030,0.922,0.000,-0.236,4,8.609,0.137,0.973,""
0.260,156.204,832.983,102.463,-112.224,30.218,24.840,8.247,15.219,0.906,0.000,-0.231,4,6.173,0.153,0.973,""
0.280,156.916,833.480,102.626,-111.916,30.244,24.776,8.154,15.432,0.891,0.000,-0.225,4,4.104,0.196,0.973,""
0.300,157.513,833.975,102.787,-111.603,30.266,24.700,8.030,15.668,0.878,0.000,-0.219,4,2.467,0.244,0.974,""
0.320,158.112,834.468,102.944,-111.285,30.286,24.612,7.881,15.923,0.867,0.000,-0.211,4,1.178,0.254,0.974,""
0.340,158.801,834.959,103.099,-110.961,30.304,24.512,7.715,16.194,0.857,0.000,-0.203,4,0.322,0.298,0.974,""
0.360,159.401,835.448,103.250,-110.632,30.320,24.399,7.542,16.477,0.848,0.000,-0.195,4,0.000,0.275,0.975,""
0.380,160.003,835.934,103.397,-110.297,30.335,24.273,7.368,16.769,0.840,0.000,-0.185,4,0.000,0.279,0.975,""
0.400,160.672,836.418,103.541,-109.956,30.350,24.135,7.194,17.068,0.832,0.000,-0.175,4,0.000,0.243,0.975,""
0.420,161.275,836.899,103.682,-109.609,30.364,23.988,7.019,17.371,0.825,0.000,-0.167,4,0.000,0.232,0.976,""
