t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.141,826.802,100.840,-115.831,23.023,19.921,1.867,11.396,0.000,0.000,-0.192,2,15.853,5.097,0.995,"Ground_Mountain_0_1:(-0.194, 0.972, -0.136);Ground_Mountain_0_1:(-0.194, 0.972, -0.136);Ground_Mountain_0_1:(-0.194, 0.972, -0.136);Ground_Mountain_0_1:(-0.194, 0.972, -0.136);Ground_Mountain_0_1:(-0.194, 0.972, -0.136);Ground_Mountain_0_1:(-0.194, 0.972, -0.136);"
0.040,148.796,827.186,100.876,-115.613,23.021,19.967,1.699,11.438,0.488,0.000,-0.197,2,0.576,8.349,0.990,"Ground_Mountain_0_1:(-0.194, 0.971, -0.137);Ground_Mountain_0_1:(-0.194, 0.971, -0.137);Ground_Mountain_0_1:(-0.194, 0.971, -0.137);Ground_Mountain_0_1:(-0.194, 0.971, -0.137);Ground_Mountain_0_1:(-0.194, 0.971, -0.137);Ground_Mountain_0_1:(-0.194, 0.971, -0.137);"
0.060,149.235,827.575,100.917,-115.390,22.995,19.939,2.121,11.414,0.490,0.000,-0.204,4,28.070,8.466,0.985,"Ground_Mountain_0_1:(-0.188, 0.972, -0.140);Ground_Mountain_0_1:(-0.188, 0.972, -0.140);Ground_Mountain_0_1:(-0.188, 0.972, -0.140);"
0.080,149.682,827.966,100.970,-115.167,22.971,19.867,2.680,11.369,0.502,0.000,-0.209,4,33.908,6.102,0.980,"Ground_Mountain_0_1:(-0.184, 0.973, -0.137);Ground_Mountain_0_1:(-0.184, 0.973, -0.137);Ground_Mountain_0_1:(-0.184, 0.973, -0.137);Ground_Mountain_0_1:(-0.184, 0.973, -0.137);Ground_Mountain_0_1:(-0.184, 0.973, -0.137);"
0.100,150.349,828.356,101.034,-114.945,22.958,19.770,3.277,11.330,0.515,0.000,-0.211,4,36.631,4.922,0.977,"Ground_Mountain_0_1:(-0.187, 0.972, -0.139);Ground_Mountain_0_1:(-0.187, 0.972, -0.139);Ground_Mountain_0_1:(-0.187, 0.972, -0.139);Ground_Mountain_0_1:(-0.187, 0.972, -0.139);Ground_Mountain_0_1:(-0.187, 0.972, -0.139);Ground_Mountain_0_1:(-0.187, 0.972, -0.139);"
0.120,150.800,828.746,101.111,-114.722,22.965,19.663,3.854,11.313,0.521,0.000,-0.214,4,37.993,4.051,0.974,"Ground_Mountain_0_1:(-0.182, 0.973, -0.140);Ground_Mountain_0_1:(-0.182, 0.973, -0.140);Ground_Mountain_0_1:(-0.182, 0.973, -0.140);Ground_Mountain_0_1:(-0.182, 0.973, -0.140);Ground_Mountain_0_1:(-0.182, 0.973, -0.140);Ground_Mountain_0_1:(-0.182, 0.973, -0.140);"
0.140,151.254,829.131,101.211,-114.499,22.855,19.311,5.025,11.158,0.517,0.000,-0.216,4,38.418,3.009,0.973,"Ground_Mountain_0_1:(-0.187, 0.973, -0.132);Ground_Mountain_0_1:(-0.187, 0.973, -0.132);Ground_Mountain_0_1:(-0.187, 0.973, -0.132);Ground_Mountain_0_1:(-0.187, 0.973, -0.132);Ground_Mountain_0_1:(-0.187, 0.973, -0.132);Ground_Mountain_0_1:(-0.187, 0.973, -0.132);"
0.160,151.901,829.514,101.320,-114.275,22.885,19.220,5.436,11.185,0.572,0.000,-0.218,4,30.179,1.163,0.973,"Ground_Mountain_0_1:(-0.187, 0.974, -0.131);Ground_Mountain_0_1:(-0.187, 0.974, -0.131);Ground_Mountain_0_1:(-0.187, 0.974, -0.131);Ground_Mountain_0_1:(-0.187, 0.974, -0.131);Ground_Mountain_0_1:(-0.187, 0.974, -0.131);Ground_Mountain_0_1:(-0.187, 0.974, -0.131);"
0.180,152.355,829.896,101.436,-114.050,22.911,19.132,5.785,11.228,0.557,0.000,-0.221,4,27.068,0.921,0.972,"Ground_Mountain_0_1:(-0.183, 0.974, -0.137);Ground_Mountain_0_1:(-0.183, 0.974, -0.137);Ground_Mountain_0_1:(-0.183, 0.974, -0.137);Ground_Mountain_0_1:(-0.183, 0.974, -0.137);Ground_Mountain_0_1:(-0.183, 0.974, -0.137);Ground_Mountain_0_1:(-0.183, 0.974, -0.137);"
0.200,152.810,830.277,101.557,-113.824,22.934,19.047,6.069,11.288,0.544,0.000,-0.222,4,23.749,0.755,0.972,"Ground_Mountain_0_1:(-0.185, 0.973, -0.140);Ground_Mountain_0_1:(-0.185, 0.973, -0.140);Ground_Mountain_0_1:(-0.185, 0.973, -0.140);Ground_Mountain_0_1:(-0.185, 0.973, -0.140);Ground_Mountain_0_1:(-0.185, 0.973, -0.140);Ground_Mountain_0_1:(-0.185, 0.973, -0.140);"
0.220,153.266,830.656,101.683,-113.596,22.953,18.965,6.289,11.367,0.533,0.000,-0.221,4,20.455,0.607,0.972,""
0.240,153.889,831.034,101.812,-113.367,22.970,18.886,6.447,11.465,0.523,0.000,-0.218,4,17.264,0.489,0.972,""
0.260,154.344,831.410,101.943,-113.135,22.983,18.809,6.546,11.581,0.515,0.000,-0.215,4,14.260,0.358,0.973,""
0.280,154.801,831.785,102.075,-112.901,22.995,18.733,6.592,11.713,0.508,0.000,-0.212,4,11.583,0.282,0.973,""
0.300,155.398,832.159,102.206,-112.664,23.004,18.657,6.592,11.861,0.503,0.000,-0.206,4,9.163,0.211,0.973,""
0.320,155.854,832.531,102.338,-112.424,23.012,18.580,6.550,12.023,0.498,0.000,-0.202,4,7.065,0.143,0.973,""
0.340,156.311,832.902,102.467,-112.180,23.019,18.501,6.474,12.197,0.494,0.000,-0.197,4,5.292,0.118,0.974,""
0.360,156.769,833.271,102.595,-111.933,23.025,18.421,6.369,12.380,0.490,0.000,-0.191,4,3.844,0.137,0.974,""
0.380,157.342,833.638,102.720,-111.682,23.031,18.337,6.244,12.572,0.487,0.000,-0.184,4,2.784,0.154,0.974,""
0.400,157.800,834.004,102.842,-111.427,23.036,18.250,6.104,12.769,0.484,0.000,-0.178,4,2.032,0.146,0.974,""
0.420,158.259,834.368,102.961,-111.168,23.042,18.159,5.953,12.971,0.482,0.000,-0.171,4,1.512,0.195,0.975,""
0.440,158.810,834.730,103.077,-110.904,23.047,18.064,5.798,13.175,0.479,0.000,-0.162,4,1.272,0.221,0.975,""
0.460,159.269,835.090,103.190,-110.637,23.052,17.966,5.641,13.381,0.477,0.000,-0.155,4,1.233,0.206,0.975,""
0.480,159.729,835.448,103.300,-110.366,23.058,17.863,5.486,13.586,0.474,0.000,-0.149,4,1.353,0.238,0.975,""
0.500,160.189,835.804,103.406,-110.090,23.064,17.758,5.337,13.788,0.471,0.000,-0.142,4,1.677,0.249,0.976,""
0.520,160.720,836.157,103.511,-109.811,23.070,17.649,5.197,13.988,0.468,0.000,-0.132,4,2.143,0.223,0.976,""
