t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.142,828.866,100.805,-119.023,31.072,26.912,1.570,15.451,0.000,0.000,-0.164,2,13.211,2.581,0.998,"Ground_Mountain_0_1:(-0.177, 0.977, -0.117);Ground_Mountain_0_1:(-0.177, 0.977, -0.117);Ground_Mountain_0_1:(-0.177, 0.977, -0.117);Ground_Mountain_0_1:(-0.177, 0.977, -0.117);"
0.040,148.818,829.388,100.840,-118.727,30.969,26.865,1.805,15.377,0.464,0.000,-0.168,3,9.033,8.635,0.994,"Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);"
0.060,149.413,829.911,100.886,-118.428,30.870,26.797,2.368,15.321,0.515,0.000,-0.174,4,30.185,9.095,0.988,"Ground_Mountain_0_1:(-0.173, 0.978, -0.120);Ground_Mountain_0_1:(-0.173, 0.978, -0.120);Ground_Mountain_0_1:(-0.173, 0.978, -0.120);"
0.080,150.083,830.434,100.943,-118.129,30.775,26.704,2.980,15.286,0.565,0.000,-0.178,4,36.103,8.193,0.982,"Ground_Mountain_0_1:(-0.176, 0.977, -0.121);Ground_Mountain_0_1:(-0.176, 0.977, -0.121);Ground_Mountain_0_1:(-0.176, 0.977, -0.121);Ground_Mountain_0_1:(-0.176, 0.977, -0.121);"
0.100,150.682,830.955,101.013,-117.829,30.686,26.581,3.630,15.265,0.613,0.000,-0.182,4,40.583,7.516,0.975,"Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);"
0.120,151.283,831.465,101.155,-117.535,30.254,25.612,6.545,14.721,0.657,0.000,-0.184,4,43.820,7.025,0.977,"Ground_Mountain_0_1:(-0.175, 0.978, -0.117);Ground_Mountain_0_1:(-0.175, 0.978, -0.117);Ground_Mountain_0_1:(-0.175, 0.978, -0.117);Ground_Mountain_0_1:(-0.175, 0.978, -0.117);Ground_Mountain_0_1:(-0.175, 0.978, -0.117);Ground_Mountain_0_1:(-0.175, 0.978, -0.117);"
0.140,151.948,831.975,101.296,-117.240,30.296,25.523,7.028,14.748,0.873,0.000,-0.191,4,33.794,0.528,0.976,"Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);"
0.160,152.550,832.484,101.444,-116.944,30.334,25.448,7.419,14.784,0.852,0.000,-0.196,4,29.147,0.438,0.976,"Ground_Mountain_0_1:(-0.174, 0.977, -0.120);Ground_Mountain_0_1:(-0.174, 0.977, -0.120);Ground_Mountain_0_1:(-0.174, 0.977, -0.120);Ground_Mountain_0_1:(-0.174, 0.977, -0.120);Ground_Mountain_0_1:(-0.174, 0.977, -0.120);Ground_Mountain_0_1:(-0.174, 0.977, -0.120);"
0.180,153.152,832.992,101.599,-116.647,30.368,25.381,7.723,14.839,0.833,0.000,-0.199,4,24.692,0.353,0.976,"Ground_Mountain_0_1:(-0.173, 0.978, -0.117);"
0.200,153.804,833.498,101.757,-116.348,30.398,25.318,7.943,14.919,0.816,0.000,-0.200,4,20.403,0.281,0.977,""
0.220,154.407,834.003,101.919,-116.048,30.423,25.254,8.087,15.027,0.801,0.000,-0.200,4,16.479,0.229,0.977,""
0.240,155.010,834.507,102.082,-115.745,30.445,25.187,8.160,15.164,0.788,0.000,-0.198,4,12.878,0.176,0.977,""
0.260,155.649,835.010,102.246,-115.438,30.464,25.113,8.176,15.330,0.777,0.000,-0.195,4,9.863,0.129,0.977,""
0.280,156.252,835.511,102.409,-115.128,30.478,25.031,8.138,15.522,0.768,0.000,-0.191,4,7.156,0.113,0.977,""
0.300,156.882,836.010,102.570,-114.814,30.490,24.939,8.058,15.740,0.761,0.000,-0.187,4,4.954,0.101,0.977,""
0.320,157.486,836.508,102.729,-114.495,30.500,24.837,7.942,15.980,0.755,0.000,-0.181,4,3.135,0.140,0.977,""
0.340,158.090,837.003,102.885,-114.171,30.508,24.723,7.799,16.238,0.750,0.000,-0.175,4,1.748,0.150,0.977,""
0.360,158.711,837.495,103.038,-113.841,30.514,24.599,7.636,16.512,0.746,0.000,-0.169,4,0.735,0.201,0.978,""
0.380,159.316,837.985,103.187,-113.505,30.520,24.463,7.464,16.797,0.743,0.000,-0.162,4,0.258,0.204,0.978,""
0.400,159.922,838.472,103.333,-113.164,30.525,24.316,7.288,17.091,0.740,0.000,-0.154,4,0.024,0.222,0.978,""
0.420,160.538,838.956,103.475,-112.817,30.530,24.160,7.110,17.390,0.737,0.000,-0.147,4,0.000,0.204,0.978,""
0.440,161.145,839.437,103.614,-112.463,30.536,23.995,6.933,17.692,0.735,0.000,-0.139,4,0.040,0.207,0.978,""
0.460,161.753,839.914,103.749,-112.104,30.541,23.823,6.758,17.995,0.732,0.000,-0.131,4,0.208,0.201,0.978,""
0.480,162.366,840.387,103.881,-111.738,30.548,23.645,6.592,18.295,0.729,0.000,-0.122,4,0.678,0.221,0.978,""
0.500,162.975,840.857,104.010,-111.367,30.555,23.462,6.440,18.591,0.726,0.000,-0.114,4,1.399,0.225,0.978,""
0.520,163.584,841.323,104.136,-110.990,30.563,23.276,6.302,18.880,0.723,0.000,-0.105,4,2.201,0.238,0.979,""
0.540,164.196,841.785,104.259,-110.607,30.572,23.087,6.181,19.160,0.719,0.000,-0.096,4,3.057,0.244,0.979,""
0.560,164.807,842.244,104.381,-110.219,30.582,22.897,6.077,19.431,0.714,0.000,-0.088,4,3.954,0.245,0.979,""
0.580,165.418,842.698,104.501,-109.825,30.592,22.708,5.990,19.691,0.709,0.000,-0.079,4,4.871,0.235,0.979,""
0.600,166.030,843.149,104.619,-109.427,30.604,22.520,5.920,19.939,0.704,0.000,-0.070,4,5.761,0.229,0.979,""
0.620,166.643,843.596,104.737,-109.023,30.617,22.336,5.866,20.174,0.698,0.000,-0.061,4,6.637,0.216,0.979,""
0.640,167.255,844.040,104.853,-108.616,30.630,22.156,5.828,20.396,0.692,0.000,-0.053,4,7.450,0.202,0.979,""
0.660,167.868,844.480,104.969,-108.204,30.644,21.982,5.804,20.605,0.685,0.000,-0.043,4,8.204,0.192,0.979,""
0.680,168.482,844.916,105.085,-107.788,30.659,21.815,5.793,20.801,0.678,0.000,-0.035,4,8.887,0.176,0.979,""
0.700,169.096,845.350,105.201,-107.368,30.673,21.655,5.794,20.982,0.671,0.000,-0.026,4,9.488,0.160,0.979,""
0.720,169.710,845.780,105.317,-106.946,30.689,21.504,5.804,21.150,0.663,0.000,-0.017,4,10.007,0.144,0.979,""
0.740,170.324,846.207,105.434,-106.520,30.704,21.363,5.823,21.304,0.656,0.000,-0.009,4,10.439,0.133,0.979,""
0.760,170.938,846.632,105.551,-106.091,30.719,21.232,5.848,21.444,0.648,0.000,-0.001,4,10.797,0.116,0.979,""
0.780,171.553,847.055,105.668,-105.660,30.735,21.113,5.879,21.570,0.640,0.000,0.007,4,11.067,0.106,0.979,""
0.800,172.168,847.475,105.786,-105.226,30.750,21.005,5.913,21.683,0.633,0.000,0.016,4,11.267,0.087,0.979,""
0.820,172.783,847.893,105.905,-104.790,30.765,20.909,5.949,21.782,0.625,0.000,0.023,4,11.376,0.077,0.979,""
0.840,173.398,848.309,106.025,-104.353,30.779,20.826,5.986,21.868,0.618,0.000,0.031,4,11.438,0.064,0.979,""
0.860,174.013,848.725,106.146,-103.914,30.793,20.755,6.024,21.942,0.610,0.000,0.038,4,11.447,0.058,0.979,""
0.880,174.628,849.138,106.267,-103.474,30.807,20.698,6.061,22.002,0.603,0.000,0.046,4,11.412,0.036,0.979,""
0.900,175.241,849.551,106.389,-103.033,30.819,20.653,6.096,22.050,0.597,0.000,0.053,4,11.323,0.020,0.979,""
0.920,175.856,849.964,106.511,-102.591,30.831,20.622,6.128,22.085,0.590,0.000,0.059,4,11.186,0.008,0.979,""
0.940,176.471,850.376,106.635,-102.149,30.842,20.605,6.158,22.108,0.584,0.000,0.066,4,11.052,0.013,0.979,""
0.960,177.082,850.788,106.758,-101.706,30.853,20.600,6.185,22.119,0.579,0.000,0.073,4,10.876,0.011,0.979,""
0.980,177.697,851.200,106.882,-101.264,30.862,20.609,6.209,22.118,0.574,0.000,0.079,4,10.708,0.024,0.979,""
1.000,178.312,851.612,107.007,-100.821,30.870,20.631,6.229,22.105,0.569,0.000,0.084,4,10.503,0.028,0.979,""
1.020,178.927,852.025,107.132,-100.380,30.878,20.665,6.245,22.080,0.565,0.000,0.090,4,10.334,0.048,0.979,""
1.040,179.533,852.439,107.257,-99.939,30.884,20.711,6.259,22.043,0.561,0.000,0.095,4,10.185,0.049,0.979,""
1.060,180.148,852.854,107.382,-99.498,30.889,20.769,6.270,21.995,0.558,0.000,0.100,4,9.988,0.045,0.979,""
