t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.138,832.767,100.793,-125.775,31.257,27.059,1.220,15.607,0.000,0.000,-0.168,2,12.530,3.969,0.998,"Ground_Mountain_0_1:(-0.145, 0.985, -0.091);Ground_Mountain_0_1:(-0.145, 0.985, -0.091);Ground_Mountain_0_1:(-0.145, 0.985, -0.091);Ground_Mountain_0_1:(-0.145, 0.985, -0.091);"
0.040,148.494,833.295,100.825,-125.475,31.148,27.012,1.499,15.515,0.372,0.000,-0.173,3,10.798,7.453,0.995,"Ground_Mountain_0_1:(-0.150, 0.983, -0.109);Ground_Mountain_0_1:(-0.150, 0.983, -0.109);Ground_Mountain_0_1:(-0.150, 0.983, -0.109);Ground_Mountain_0_1:(-0.150, 0.983, -0.109);Ground_Mountain_0_1:(-0.150, 0.983, -0.109);"
0.060,149.094,833.824,100.868,-125.174,31.045,26.929,2.133,15.420,0.426,0.000,-0.179,4,29.574,7.625,0.991,"Ground_Mountain_0_1:(-0.151, 0.983, -0.106);Ground_Mountain_0_1:(-0.151, 0.983, -0.106);Ground_Mountain_0_1:(-0.151, 0.983, -0.106);"
0.080,149.698,834.354,100.922,-124.873,30.985,26.849,2.728,15.374,0.477,0.000,-0.185,4,33.970,6.770,0.988,"Ground_Mountain_0_1:(-0.149, 0.983, -0.110);Ground_Mountain_0_1:(-0.149, 0.983, -0.110);Ground_Mountain_0_1:(-0.149, 0.983, -0.110);Ground_Mountain_0_1:(-0.149, 0.983, -0.110);Ground_Mountain_0_1:(-0.149, 0.983, -0.110);Ground_Mountain_0_1:(-0.149, 0.983, -0.110);"
0.100,150.082,834.882,100.990,-124.572,30.910,26.724,3.461,15.292,0.508,0.000,-0.191,4,37.443,5.851,0.984,"Ground_Mountain_0_1:(-0.152, 0.981, -0.120);Ground_Mountain_0_1:(-0.152, 0.981, -0.120);Ground_Mountain_0_1:(-0.152, 0.981, -0.120);Ground_Mountain_0_1:(-0.152, 0.981, -0.120);Ground_Mountain_0_1:(-0.152, 0.981, -0.120);Ground_Mountain_0_1:(-0.152, 0.981, -0.120);"
0.120,150.688,835.400,101.108,-124.274,30.519,26.003,5.826,14.884,0.545,0.000,-0.195,4,38.287,5.442,0.983,"Ground_Mountain_0_1:(-0.154, 0.981, -0.114);Ground_Mountain_0_1:(-0.154, 0.981, -0.114);Ground_Mountain_0_1:(-0.154, 0.981, -0.114);Ground_Mountain_0_1:(-0.154, 0.981, -0.114);Ground_Mountain_0_1:(-0.154, 0.981, -0.114);Ground_Mountain_0_1:(-0.154, 0.981, -0.114);"
0.140,151.295,835.918,101.231,-123.975,30.554,25.955,6.148,14.917,0.741,0.000,-0.202,4,25.656,1.339,0.983,"Ground_Mountain_0_1:(-0.151, 0.983, -0.105);Ground_Mountain_0_1:(-0.151, 0.983, -0.105);Ground_Mountain_0_1:(-0.151, 0.983, -0.105);Ground_Mountain_0_1:(-0.151, 0.983, -0.105);Ground_Mountain_0_1:(-0.151, 0.983, -0.105);Ground_Mountain_0_1:(-0.151, 0.983, -0.105);"
0.160,151.700,836.435,101.359,-123.675,30.586,25.912,6.417,14.956,0.723,0.000,-0.210,4,23.006,1.134,0.983,"Ground_Mountain_0_1:(-0.147, 0.983, -0.109);Ground_Mountain_0_1:(-0.147, 0.983, -0.109);Ground_Mountain_0_1:(-0.147, 0.983, -0.109);Ground_Mountain_0_1:(-0.147, 0.983, -0.109);"
0.180,152.303,836.952,101.492,-123.375,30.614,25.869,6.629,15.009,0.707,0.000,-0.215,4,20.100,1.014,0.983,""
0.200,152.911,837.468,101.627,-123.073,30.639,25.826,6.782,15.081,0.693,0.000,-0.217,4,17.130,0.940,0.982,""
0.220,153.405,837.983,101.765,-122.769,30.661,25.778,6.883,15.174,0.680,0.000,-0.219,4,14.402,0.728,0.982,""
0.240,153.936,838.498,101.904,-122.464,30.678,25.722,6.944,15.289,0.670,0.000,-0.220,4,12.375,0.497,0.982,""
0.260,154.545,839.011,102.043,-122.155,30.692,25.658,6.965,15.428,0.661,0.000,-0.219,4,10.341,0.343,0.982,""
