t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.140,829.872,100.790,-120.754,31.146,27.016,1.395,15.436,0.000,0.000,-0.158,2,12.807,2.446,0.999,"Ground_Mountain_0_1:(-0.172, 0.979, -0.114);Ground_Mountain_0_1:(-0.172, 0.979, -0.114);"
0.040,148.738,830.396,100.826,-120.456,31.016,26.925,1.871,15.322,0.427,0.000,-0.163,4,15.140,7.900,0.995,"Ground_Mountain_0_1:(-0.172, 0.979, -0.112);Ground_Mountain_0_1:(-0.172, 0.979, -0.112);Ground_Mountain_0_1:(-0.172, 0.979, -0.112);"
0.060,149.334,830.922,100.873,-120.159,30.943,26.860,2.396,15.291,0.492,0.000,-0.168,4,29.089,8.353,0.990,"Ground_Mountain_0_1:(-0.167, 0.979, -0.114);Ground_Mountain_0_1:(-0.167, 0.979, -0.114);Ground_Mountain_0_1:(-0.167, 0.979, -0.114);Ground_Mountain_0_1:(-0.167, 0.979, -0.114);Ground_Mountain_0_1:(-0.167, 0.979, -0.114);"
0.080,149.934,831.447,100.931,-119.861,30.874,26.773,2.985,15.269,0.528,0.000,-0.173,4,35.123,7.362,0.985,"Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);"
0.100,150.532,831.972,101.002,-119.562,30.806,26.655,3.634,15.247,0.563,0.000,-0.177,4,39.304,6.624,0.979,"Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);"
0.120,151.135,832.487,101.122,-119.264,30.454,25.915,6.003,14.836,0.597,0.000,-0.180,4,42.038,6.035,0.979,"Ground_Mountain_0_1:(-0.165, 0.980, -0.112);Ground_Mountain_0_1:(-0.165, 0.980, -0.112);Ground_Mountain_0_1:(-0.165, 0.980, -0.112);Ground_Mountain_0_1:(-0.165, 0.980, -0.112);Ground_Mountain_0_1:(-0.165, 0.980, -0.112);Ground_Mountain_0_1:(-0.165, 0.980, -0.112);"
0.140,151.733,833.002,101.254,-118.966,30.485,25.811,6.530,14.858,0.773,0.000,-0.187,4,35.912,1.811,0.978,"Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);"
0.160,152.338,833.515,101.393,-118.668,30.514,25.721,6.968,14.887,0.758,0.000,-0.192,4,31.617,1.416,0.978,"Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);"
0.180,152.944,834.027,101.540,-118.368,30.539,25.636,7.323,14.937,0.743,0.000,-0.196,4,27.388,1.184,0.978,"Ground_Mountain_0_1:(-0.169, 0.978, -0.124);Ground_Mountain_0_1:(-0.169, 0.978, -0.124);Ground_Mountain_0_1:(-0.169, 0.978, -0.124);Ground_Mountain_0_1:(-0.169, 0.978, -0.124);Ground_Mountain_0_1:(-0.169, 0.978, -0.124);Ground_Mountain_0_1:(-0.169, 0.978, -0.124);"
0.200,153.538,834.538,101.691,-118.067,30.560,25.554,7.594,15.011,0.731,0.000,-0.197,4,23.112,0.939,0.978,""
