t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.142,828.735,100.797,-119.097,23.324,20.206,1.143,11.595,0.000,0.000,-0.149,2,13.211,2.581,0.999,"Ground_Mountain_0_1:(-0.177, 0.977, -0.117);Ground_Mountain_0_1:(-0.177, 0.977, -0.117);Ground_Mountain_0_1:(-0.177, 0.977, -0.117);Ground_Mountain_0_1:(-0.177, 0.977, -0.117);"
0.040,148.670,829.128,100.819,-118.875,23.311,20.214,1.094,11.594,0.338,0.000,-0.153,2,3.001,5.933,0.996,"Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);"
0.060,149.115,829.521,100.848,-118.651,23.269,20.180,1.512,11.561,0.344,0.000,-0.159,4,24.932,6.578,0.993,"Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);"
0.080,149.563,829.914,100.888,-118.426,23.230,20.115,2.074,11.526,0.365,0.000,-0.162,4,32.986,6.103,0.989,"Ground_Mountain_0_1:(-0.173, 0.978, -0.120);Ground_Mountain_0_1:(-0.173, 0.978, -0.120);Ground_Mountain_0_1:(-0.173, 0.978, -0.120);"
0.100,150.087,830.307,100.939,-118.200,23.212,20.037,2.636,11.513,0.385,0.000,-0.165,4,36.193,5.361,0.985,"Ground_Mountain_0_1:(-0.174, 0.977, -0.120);Ground_Mountain_0_1:(-0.174, 0.977, -0.120);Ground_Mountain_0_1:(-0.174, 0.977, -0.120);Ground_Mountain_0_1:(-0.174, 0.977, -0.120);Ground_Mountain_0_1:(-0.174, 0.977, -0.120);"
0.120,150.540,830.700,101.002,-117.973,23.205,19.939,3.204,11.513,0.394,0.000,-0.168,4,38.212,4.433,0.981,"Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);"
0.140,150.996,831.092,101.077,-117.745,23.202,19.818,3.793,11.516,0.397,0.000,-0.169,4,39.408,3.647,0.978,"Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);"
0.160,151.454,831.482,101.168,-117.515,23.164,19.604,4.587,11.478,0.399,0.000,-0.170,4,39.642,2.939,0.977,"Ground_Mountain_0_1:(-0.168, 0.978, -0.125);Ground_Mountain_0_1:(-0.168, 0.978, -0.125);Ground_Mountain_0_1:(-0.168, 0.978, -0.125);Ground_Mountain_0_1:(-0.168, 0.978, -0.125);Ground_Mountain_0_1:(-0.168, 0.978, -0.125);Ground_Mountain_0_1:(-0.168, 0.978, -0.125);"
0.180,151.975,831.870,101.272,-117.285,23.163,19.445,5.167,11.498,0.418,0.000,-0.170,4,36.734,1.768,0.976,"Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);"
0.200,152.435,832.255,101.384,-117.054,23.171,19.314,5.607,11.548,0.418,0.000,-0.170,4,31.891,0.868,0.976,"Ground_Mountain_0_1:(-0.173, 0.978, -0.120);Ground_Mountain_0_1:(-0.173, 0.978, -0.120);Ground_Mountain_0_1:(-0.173, 0.978, -0.120);Ground_Mountain_0_1:(-0.173, 0.978, -0.120);Ground_Mountain_0_1:(-0.173, 0.978, -0.120);Ground_Mountain_0_1:(-0.173, 0.978, -0.120);"
