t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.141,826.826,100.807,-115.817,23.235,20.122,1.322,11.542,0.000,0.000,-0.161,2,14.309,2.809,0.998,"Ground_Mountain_0_1:(-0.191, 0.973, -0.131);Ground_Mountain_0_1:(-0.191, 0.973, -0.131);Ground_Mountain_0_1:(-0.191, 0.973, -0.131);Ground_Mountain_0_1:(-0.191, 0.973, -0.131);"
0.040,148.816,827.214,100.833,-115.597,23.205,20.131,1.278,11.538,0.383,0.000,-0.166,2,2.736,6.841,0.994,"Ground_Mountain_0_1:(-0.192, 0.972, -0.136);Ground_Mountain_0_1:(-0.192, 0.972, -0.136);Ground_Mountain_0_1:(-0.192, 0.972, -0.136);"
0.060,149.258,827.604,100.867,-115.375,23.146,20.084,1.782,11.487,0.398,0.000,-0.172,4,28.553,7.545,0.989,"Ground_Mountain_0_1:(-0.188, 0.972, -0.139);Ground_Mountain_0_1:(-0.188, 0.972, -0.139);Ground_Mountain_0_1:(-0.188, 0.972, -0.139);Ground_Mountain_0_1:(-0.188, 0.972, -0.139);"
0.080,149.704,827.994,100.913,-115.152,23.104,20.016,2.345,11.452,0.427,0.000,-0.176,4,34.345,6.852,0.983,"Ground_Mountain_0_1:(-0.188, 0.972, -0.138);Ground_Mountain_0_1:(-0.188, 0.972, -0.138);Ground_Mountain_0_1:(-0.188, 0.972, -0.138);"
0.100,150.369,828.385,100.969,-114.927,23.084,19.933,2.900,11.442,0.448,0.000,-0.177,4,37.416,5.956,0.978,"Ground_Mountain_0_1:(-0.184, 0.973, -0.137);Ground_Mountain_0_1:(-0.184, 0.973, -0.137);Ground_Mountain_0_1:(-0.184, 0.973, -0.137);Ground_Mountain_0_1:(-0.184, 0.973, -0.137);Ground_Mountain_0_1:(-0.184, 0.973, -0.137);"
0.120,150.820,828.775,101.037,-114.702,23.068,19.817,3.499,11.430,0.458,0.000,-0.179,4,39.820,4.978,0.974,"Ground_Mountain_0_1:(-0.184, 0.973, -0.140);Ground_Mountain_0_1:(-0.184, 0.973, -0.140);Ground_Mountain_0_1:(-0.184, 0.973, -0.140);Ground_Mountain_0_1:(-0.184, 0.973, -0.140);Ground_Mountain_0_1:(-0.184, 0.973, -0.140);Ground_Mountain_0_1:(-0.184, 0.973, -0.140);"
0.140,151.273,829.158,101.139,-114.478,22.874,19.305,5.083,11.181,0.466,0.000,-0.181,4,40.919,4.307,0.972,"Ground_Mountain_0_1:(-0.185, 0.973, -0.135);Ground_Mountain_0_1:(-0.185, 0.973, -0.135);Ground_Mountain_0_1:(-0.185, 0.973, -0.135);Ground_Mountain_0_1:(-0.185, 0.973, -0.135);Ground_Mountain_0_1:(-0.185, 0.973, -0.135);Ground_Mountain_0_1:(-0.185, 0.973, -0.135);"
0.160,151.920,829.540,101.251,-114.253,22.905,19.189,5.601,11.195,0.563,0.000,-0.184,4,35.708,1.882,0.972,"Ground_Mountain_0_1:(-0.186, 0.973, -0.136);Ground_Mountain_0_1:(-0.186, 0.973, -0.136);Ground_Mountain_0_1:(-0.186, 0.973, -0.136);Ground_Mountain_0_1:(-0.186, 0.973, -0.136);Ground_Mountain_0_1:(-0.186, 0.973, -0.136);Ground_Mountain_0_1:(-0.186, 0.973, -0.136);"
0.180,152.374,829.920,101.371,-114.028,22.932,19.081,6.040,11.224,0.547,0.000,-0.187,4,31.732,1.550,0.971,"Ground_Mountain_0_1:(-0.188, 0.973, -0.137);Ground_Mountain_0_1:(-0.188, 0.973, -0.137);Ground_Mountain_0_1:(-0.188, 0.973, -0.137);Ground_Mountain_0_1:(-0.188, 0.973, -0.137);Ground_Mountain_0_1:(-0.188, 0.973, -0.137);Ground_Mountain_0_1:(-0.188, 0.973, -0.137);"
0.200,152.829,830.299,101.499,-113.802,22.955,18.981,6.395,11.271,0.534,0.000,-0.189,4,27.455,1.207,0.971,"Ground_Mountain_0_1:(-0.193, 0.971, -0.140);Ground_Mountain_0_1:(-0.193, 0.971, -0.140);Ground_Mountain_0_1:(-0.193, 0.971, -0.140);Ground_Mountain_0_1:(-0.193, 0.971, -0.140);Ground_Mountain_0_1:(-0.193, 0.971, -0.140);Ground_Mountain_0_1:(-0.193, 0.971, -0.140);"
