time,x,y,z,speed,wheels,up,throttle,brake,nextGate,lap,recoveries,groundBelow
0.008409023,726.9816,78.81439,-8.94661,0.3600717,4,0.9999996,1,0,0,0,0,78.34859
0.1284089,726.9985,78.84715,-9.135279,2.469142,4,0.9999642,1,0,0,0,0,78.35197
0.2484088,727.0375,78.86611,-9.570235,4.490279,4,0.9998943,1,0,0,0,0,78.35978
0.3684087,727.098,78.87724,-10.24194,6.430065,4,0.9998449,1,0,0,0,0,78.37225
0.4684088,727.1639,78.88747,-10.97557,7.98925,4,0.9998251,1,0,0,0,0,78.38637
0.5884087,727.2604,78.90556,-12.05674,9.795366,4,0.9998119,1,0,0,0,0,78.4079
0.7084086,727.3738,78.93098,-13.34913,11.53356,4,0.9998004,1,0,0,0,0,78.43465
0.8084087,727.4789,78.95722,-14.58184,12.93194,4,0.9997887,1,0,0,0,0,78.46116
0.9284086,727.6138,78.99413,-16.24157,14.55178,4,0.9997723,1,0,0,0,0,78.49818
1.048409,727.7531,79.03664,-18.09153,16.11012,4,0.9997547,1,0,0,0,0,78.54095
1.168408,727.8895,79.08475,-20.12494,17.60901,4,0.9997382,1,0,0,0,0,78.58902
1.288408,728.0135,79.13831,-22.33524,19.05037,4,0.9997236,1,0,0,0,0,78.64185
1.388409,728.0992,79.18674,-24.30765,20.20878,4,0.9997156,1,0,0,0,0,78.68948
1.508409,728.1682,79.24852,-26.82552,21.54882,4,0.9997129,1,0,0,0,0,78.74953
1.628408,728.1837,79.32345,-29.49904,22.81882,4,0.9995379,0.9345322,0,0,0,0,78.87312
1.748408,728.128,79.43123,-32.28356,23.42185,4,0.9994336,0.3390228,0,0,0,0,78.93655
1.868408,727.9893,79.52139,-35.10816,23.60518,4,0.99977,0.1595978,0,0,0,0,78.93775
1.988408,727.7637,79.54282,-37.94019,23.67099,4,0.9999222,0.09522706,0,0,0,0,78.97437
2.108408,727.4539,79.53336,-40.76677,23.69309,4,0.9999357,0.07151184,0,0,0,0,79.01096
2.208408,727.1359,79.53454,-43.11576,23.69934,4,0.9999416,0.06364746,0,1,0,0,79.03329
2.328408,726.6902,79.55383,-45.92509,23.70211,4,0.9999421,0.05874176,0,1,0,0,79.06794
2.448408,726.1844,79.58975,-48.72359,23.70215,4,0.9999222,0.05623474,0,1,0,0,79.11227
2.568408,725.6303,79.63988,-51.51215,23.70007,4,0.9998834,0.05552673,0,1,0,0,79.16561
2.688408,725.0402,79.70201,-54.29254,23.6964,4,0.9998303,0.05620117,0,1,0,0,79.22744
2.808408,724.4265,79.77387,-57.06698,23.69169,4,0.9997683,0.05779114,0,1,0,0,79.29744
2.928408,723.8011,79.8537,-59.83802,23.68635,4,0.9996995,0.05998841,0,1,0,0,79.37545
3.028408,723.2798,79.92572,-62.1465,23.68156,4,0.9996379,0.06212616,0,1,0,0,79.4461
3.148408,722.6639,80.01873,-64.91798,23.67548,4,0.9995582,0.06500091,0,1,0,0,79.53853
3.268408,722.0687,80.11932,-67.69299,23.66908,4,0.9994695,0.06817932,0,1,0,0,79.63943
3.388408,721.5049,80.22811,-70.47348,23.6623,4,0.9993694,0.07168885,0,1,0,0,79.74921
3.508408,720.9832,80.34569,-73.26098,23.65513,4,0.9992579,0.07556458,0,1,0,0,79.868
3.628407,720.5137,80.47254,-76.05653,23.64745,4,0.9991329,0.07985383,0,1,0,0,79.9964
3.748407,720.1074,80.60925,-78.86058,23.63918,4,0.9989877,0.08465423,0,1,0,0,80.135
