vehicle,speed,line,launchX,launchY,launchZ,launchSpeed,crestX,crestY,crestZ,crestGround,crestClearance,landingX,landingY,landingZ,landingSpeed,longestFlight,peakY
original,32,0,968.694,180.261,190.000,28.654,944.352,193.378,190.000,156.983,36.070,863.762,152.006,189.266,25.216,4.860,195.621
tourer,32,0,968.192,180.600,190.000,28.442,944.435,192.786,190.000,157.047,34.933,864.569,152.209,189.422,25.909,4.740,194.894
moto,32,0,968.762,179.999,190.005,30.462,944.454,193.890,189.994,157.061,36.307,855.074,151.797,189.948,21.457,4.980,197.481
atv,32,0,968.704,180.031,190.002,30.280,944.086,194.069,190.003,156.779,36.955,856.013,151.709,189.999,21.285,4.980,197.472
