time,x,y,z,speed,target,grounded,branchS,earned,misses,contact,impulse,throttle,brake,steer,suspension,alignment
0.000,244.954,56.367,293.297,31.800,18.000,2,0.000,0.000,0,,0.000,0.000,1.000,-0.046,15.593,1.964
0.108,241.375,55.965,293.952,29.767,18.000,0,0.000,0.000,0,Ground_480_480,0.000,0.000,1.000,-0.052,0.000,0.554
0.208,238.460,55.551,294.479,29.316,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.000,1.000,-0.057,5.737,3.269
0.308,235.749,55.115,294.908,26.689,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.000,1.000,-0.056,13.172,0.650
0.408,233.289,54.740,295.226,24.060,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.000,1.000,-0.052,17.614,0.313
0.508,231.074,54.474,295.451,21.414,18.000,4,0.000,0.000,0,Ground_480_480,12.907,0.000,1.000,-0.049,15.809,0.714
0.608,229.077,54.294,295.600,19.463,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.000,0.439,-0.044,11.261,0.402
0.708,227.195,54.144,295.692,18.576,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.000,0.000,-0.039,8.163,0.296
0.808,225.390,53.991,295.739,17.820,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.108,0.000,-0.034,7.729,0.360
0.908,223.612,53.821,295.749,17.830,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.102,0.000,-0.029,8.275,0.313
1.008,221.834,53.636,295.728,17.835,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.099,0.000,-0.024,8.039,0.047
1.108,220.058,53.434,295.681,17.841,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.095,0.000,-0.021,7.368,0.102
1.228,217.928,53.159,295.597,17.891,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.066,0.000,-0.017,6.776,0.303
1.348,215.807,52.845,295.487,17.792,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.125,0.000,-0.014,8.115,0.395
1.468,213.692,52.512,295.357,17.889,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.067,0.000,-0.012,11.559,0.309
1.588,211.578,52.205,295.210,17.792,18.000,4,0.000,0.000,0,Ground_480_480,0.000,0.125,0.000,-0.011,14.971,0.099
1.688,209.846,52.009,295.078,17.256,17.258,4,0.000,0.000,0,Ground_480_480,19.145,0.001,0.000,0.053,16.059,1.426
1.808,207.810,51.867,294.926,17.128,17.258,4,0.000,0.000,0,Ground_480_480,1.446,0.078,0.000,0.059,14.327,0.712
1.928,205.763,51.786,294.807,17.146,17.258,4,0.000,0.000,0,Ground_480_480,0.000,0.067,0.000,0.062,10.353,0.837
2.048,203.719,51.710,294.739,16.785,16.509,4,0.000,0.000,0,Ground_480_480,0.000,0.000,0.000,0.037,4.306,0.122
