time,x,y,z,speed,target,grounded,branchS,earned,misses,contact,impulse,throttle,brake,steer,suspension,alignment
0.000,244.954,56.367,293.297,31.800,32.000,2,0.000,0.000,0,,0.000,0.120,0.000,-0.046,15.593,1.964
0.119,241.179,55.945,293.988,31.983,32.000,0,0.000,0.000,0,Ground_480_480,0.000,0.010,0.000,-0.054,0.000,0.565
0.239,237.420,55.412,294.659,31.813,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.112,0.000,-0.060,5.130,2.705
0.359,233.684,54.826,295.206,31.698,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.181,0.000,-0.058,15.292,0.158
0.459,230.562,54.402,295.559,31.828,32.000,4,0.000,0.000,0,Ground_480_480,22.953,0.103,0.000,-0.055,19.621,2.114
0.579,226.769,54.017,295.859,31.926,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.045,0.000,-0.049,14.148,1.155
0.679,223.610,53.754,295.998,31.778,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.133,0.000,-0.043,9.088,0.770
0.799,219.799,53.421,296.035,31.893,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.064,0.000,-0.035,2.732,0.174
0.899,216.636,53.074,295.967,31.730,32.000,1,0.000,0.000,0,Ground_480_480,0.000,0.162,0.000,-0.030,0.122,0.304
1.019,212.859,52.534,295.840,31.800,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.120,0.000,-0.025,8.268,0.568
1.119,209.714,52.052,295.641,31.918,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.049,0.000,-0.021,19.916,0.222
1.239,205.979,51.738,295.315,31.557,32.000,4,0.000,0.000,0,Ground_480_480,123.046,0.266,0.000,-0.024,18.035,0.896
1.359,202.197,51.570,294.942,31.757,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.146,0.000,-0.022,1.510,0.328
1.459,199.035,51.366,294.598,31.841,32.000,0,0.000,0.000,0,Ground_480_480,0.000,0.095,0.000,-0.019,0.000,0.251
1.579,195.249,50.991,294.175,31.862,32.000,0,0.000,0.000,0,Ground_480_480,0.000,0.083,0.000,-0.017,0.000,0.264
1.679,192.102,50.572,293.824,31.894,32.000,0,0.000,0.000,0,Ground_480_480,0.000,0.063,0.000,-0.016,0.000,0.268
1.799,188.352,49.999,293.352,31.737,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.158,0.000,-0.015,17.907,0.444
1.899,185.236,49.601,292.863,31.834,32.000,4,0.000,0.000,0,Ground_480_480,41.588,0.100,0.000,-0.014,20.427,3.049
2.019,181.486,49.290,292.213,31.912,32.000,4,0.000,0.000,0,Ground_480_480,16.182,0.053,0.000,-0.015,16.135,0.906
2.139,177.744,49.074,291.532,31.777,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.134,0.000,-0.014,9.000,0.540
2.239,174.620,48.891,290.937,31.876,32.000,4,0.000,0.000,0,Ground_480_480,0.000,0.074,0.000,-0.012,6.191,0.368
