course,vehicle,route,mode,repeat,seconds,recoveries,misses,maxLateral,minUpright,finished
Forest Loop Reverse,moto,Granite Saddle,normal,0,23.640,0,0,0.000,0.838,True
Forest Loop Reverse,moto,Granite Saddle,normal,1,22.636,0,0,0.000,0.850,True
Forest Loop Reverse,moto,Granite Saddle,clean,0,21.470,0,0,5.353,0.835,True
Forest Loop Reverse,moto,Granite Saddle,clean,1,21.484,0,0,5.354,0.835,True
Forest Loop Reverse,moto,Granite Saddle,imperfect,0,25.936,0,0,10.071,0.573,True
Forest Loop Reverse,moto,Granite Saddle,imperfect,1,25.559,1,0,4.029,0.115,True
Forest Loop Reverse,moto,Granite Saddle,recovery,0,21.335,0,0,6.786,0.239,True
Forest Loop Reverse,moto,Granite Saddle,recovery,1,21.152,0,0,5.354,0.764,True
Forest Loop Reverse,moto,Fern Gully,normal,0,27.614,0,0,0.000,0.977,True
Forest Loop Reverse,moto,Fern Gully,normal,1,27.625,0,0,0.000,0.975,True
Forest Loop Reverse,moto,Fern Gully,clean,0,21.847,0,0,2.377,0.982,True
Forest Loop Reverse,moto,Fern Gully,clean,1,21.867,0,0,2.376,0.982,True
Forest Loop Reverse,moto,Fern Gully,imperfect,0,26.005,0,0,4.208,0.981,True
Forest Loop Reverse,moto,Fern Gully,imperfect,1,25.963,0,0,1.487,0.982,True
Forest Loop Reverse,moto,Fern Gully,recovery,0,23.004,0,0,2.377,0.982,True
Forest Loop Reverse,moto,Fern Gully,recovery,1,23.112,0,0,2.376,0.982,True
Forest Loop Reverse,atv,Granite Saddle,normal,0,24.207,0,0,0.000,0.806,True
Forest Loop Reverse,atv,Granite Saddle,normal,1,24.194,0,0,0.000,0.805,True
Forest Loop Reverse,atv,Granite Saddle,clean,0,23.620,0,0,4.021,0.804,True
Forest Loop Reverse,atv,Granite Saddle,clean,1,23.246,0,0,4.026,0.804,True
Forest Loop Reverse,atv,Granite Saddle,imperfect,0,27.058,0,0,9.964,0.803,True
Forest Loop Reverse,atv,Granite Saddle,imperfect,1,26.338,0,0,4.535,0.801,True
Forest Loop Reverse,atv,Granite Saddle,recovery,0,23.316,0,0,3.762,0.815,True
Forest Loop Reverse,atv,Granite Saddle,recovery,1,23.348,0,0,3.763,0.568,True
Forest Loop Reverse,atv,Fern Gully,normal,0,27.971,0,0,0.000,0.872,True
Forest Loop Reverse,atv,Fern Gully,normal,1,27.951,0,0,0.000,0.873,True
Forest Loop Reverse,atv,Fern Gully,clean,0,22.133,0,0,2.080,0.981,True
Forest Loop Reverse,atv,Fern Gully,clean,1,22.161,0,0,2.204,0.982,True
Forest Loop Reverse,atv,Fern Gully,imperfect,0,26.469,0,0,4.771,0.981,True
Forest Loop Reverse,atv,Fern Gully,imperfect,1,26.451,0,0,1.315,0.981,True
Forest Loop Reverse,atv,Fern Gully,recovery,0,23.415,0,0,2.204,0.981,True
Forest Loop Reverse,atv,Fern Gully,recovery,1,23.426,0,0,2.200,0.981,True
