t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.140,829.718,100.812,-120.840,23.452,20.329,0.815,11.694,0.000,0.000,-0.170,2,14.167,4.527,0.997,"Ground_Mountain_0_1:(-0.171, 0.978, -0.116);Ground_Mountain_0_1:(-0.171, 0.978, -0.116);Ground_Mountain_0_1:(-0.171, 0.978, -0.116);"
0.040,148.570,830.110,100.836,-120.617,23.336,20.283,1.005,11.612,0.274,0.000,-0.175,2,6.892,6.611,0.994,"Ground_Mountain_0_1:(-0.167, 0.979, -0.114);Ground_Mountain_0_1:(-0.167, 0.979, -0.114);Ground_Mountain_0_1:(-0.167, 0.979, -0.114);Ground_Mountain_0_1:(-0.167, 0.979, -0.114);Ground_Mountain_0_1:(-0.167, 0.979, -0.114);Ground_Mountain_0_1:(-0.167, 0.979, -0.114);"
0.060,149.016,830.505,100.866,-120.393,23.269,20.225,1.513,11.557,0.332,0.000,-0.182,4,28.787,7.423,0.990,"Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);"
0.080,149.466,830.902,100.908,-120.168,23.225,20.147,2.091,11.510,0.365,0.000,-0.187,4,34.118,5.968,0.986,"Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);"
0.100,149.920,831.298,100.960,-119.943,23.203,20.056,2.677,11.476,0.387,0.000,-0.192,4,36.565,4.838,0.983,"Ground_Mountain_0_1:(-0.164, 0.979, -0.121);Ground_Mountain_0_1:(-0.164, 0.979, -0.121);Ground_Mountain_0_1:(-0.164, 0.979, -0.121);Ground_Mountain_0_1:(-0.164, 0.979, -0.121);Ground_Mountain_0_1:(-0.164, 0.979, -0.121);"
0.120,150.373,831.694,101.025,-119.717,23.193,19.949,3.274,11.448,0.398,0.000,-0.195,4,37.936,3.834,0.980,"Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);"
0.140,150.830,832.086,101.108,-119.489,23.134,19.728,4.144,11.370,0.403,0.000,-0.198,4,37.955,2.895,0.979,"Ground_Mountain_0_1:(-0.162, 0.980, -0.118);Ground_Mountain_0_1:(-0.162, 0.980, -0.118);Ground_Mountain_0_1:(-0.162, 0.980, -0.118);Ground_Mountain_0_1:(-0.162, 0.980, -0.118);Ground_Mountain_0_1:(-0.162, 0.980, -0.118);Ground_Mountain_0_1:(-0.162, 0.980, -0.118);"
0.160,151.290,832.476,101.203,-119.262,23.118,19.579,4.740,11.355,0.433,0.000,-0.200,4,32.982,1.673,0.979,"Ground_Mountain_0_1:(-0.167, 0.979, -0.119);Ground_Mountain_0_1:(-0.167, 0.979, -0.119);Ground_Mountain_0_1:(-0.167, 0.979, -0.119);Ground_Mountain_0_1:(-0.167, 0.979, -0.119);Ground_Mountain_0_1:(-0.167, 0.979, -0.119);Ground_Mountain_0_1:(-0.167, 0.979, -0.119);"
0.180,151.742,832.865,101.305,-119.033,23.132,19.485,5.115,11.391,0.441,0.000,-0.203,4,28.520,1.416,0.979,"Ground_Mountain_0_1:(-0.165, 0.979, -0.119);Ground_Mountain_0_1:(-0.165, 0.979, -0.119);Ground_Mountain_0_1:(-0.165, 0.979, -0.119);Ground_Mountain_0_1:(-0.165, 0.979, -0.119);Ground_Mountain_0_1:(-0.165, 0.979, -0.119);Ground_Mountain_0_1:(-0.165, 0.979, -0.119);"
0.200,152.202,833.252,101.413,-118.803,23.144,19.395,5.423,11.444,0.434,0.000,-0.204,4,25.147,1.163,0.979,"Ground_Mountain_0_1:(-0.163, 0.979, -0.122);Ground_Mountain_0_1:(-0.163, 0.979, -0.122);Ground_Mountain_0_1:(-0.163, 0.979, -0.122);Ground_Mountain_0_1:(-0.163, 0.979, -0.122);Ground_Mountain_0_1:(-0.163, 0.979, -0.122);Ground_Mountain_0_1:(-0.163, 0.979, -0.122);"
0.220,152.663,833.638,101.527,-118.573,23.153,19.308,5.666,11.514,0.428,0.000,-0.204,4,21.788,0.957,0.979,"Ground_Mountain_0_1:(-0.164, 0.979, -0.124);Ground_Mountain_0_1:(-0.164, 0.979, -0.124);Ground_Mountain_0_1:(-0.164, 0.979, -0.124);Ground_Mountain_0_1:(-0.164, 0.979, -0.124);Ground_Mountain_0_1:(-0.164, 0.979, -0.124);Ground_Mountain_0_1:(-0.164, 0.979, -0.124);"
0.240,153.124,834.023,101.644,-118.340,23.160,19.224,5.844,11.602,0.424,0.000,-0.203,4,18.538,0.719,0.979,""
0.260,153.572,834.406,101.763,-118.106,23.166,19.142,5.964,11.706,0.420,0.000,-0.202,4,15.497,0.592,0.979,""
0.280,154.033,834.787,101.883,-117.870,23.170,19.061,6.031,11.824,0.417,0.000,-0.199,4,12.826,0.451,0.979,""
0.300,154.494,835.167,102.005,-117.631,23.173,18.981,6.053,11.957,0.415,0.000,-0.197,4,10.508,0.316,0.979,""
0.320,154.955,835.545,102.125,-117.390,23.176,18.900,6.036,12.102,0.413,0.000,-0.193,4,8.501,0.205,0.979,""
0.340,155.400,835.922,102.245,-117.145,23.177,18.817,5.987,12.258,0.412,0.000,-0.189,4,6.867,0.116,0.979,""
0.360,155.861,836.297,102.363,-116.897,23.178,18.731,5.911,12.423,0.411,0.000,-0.185,4,5.506,0.029,0.979,""
0.380,156.323,836.671,102.480,-116.646,23.179,18.643,5.814,12.596,0.411,0.000,-0.180,4,4.443,0.061,0.979,""
0.400,156.785,837.042,102.594,-116.391,23.179,18.552,5.702,12.776,0.411,0.000,-0.175,4,3.663,0.107,0.979,""
0.420,157.228,837.412,102.705,-116.132,23.179,18.457,5.581,12.960,0.410,0.000,-0.170,4,3.241,0.186,0.979,""
0.440,157.690,837.779,102.814,-115.870,23.180,18.358,5.457,13.146,0.410,0.000,-0.164,4,3.058,0.201,0.979,""
0.460,158.152,838.145,102.921,-115.604,23.180,18.255,5.332,13.335,0.410,0.000,-0.159,4,3.039,0.228,0.979,""
0.480,158.596,838.509,103.025,-115.334,23.180,18.148,5.210,13.524,0.410,0.000,-0.153,4,3.161,0.227,0.979,""
0.500,159.058,838.870,103.127,-115.060,23.181,18.038,5.092,13.712,0.410,0.000,-0.146,4,3.404,0.200,0.979,""
0.520,159.521,839.229,103.227,-114.783,23.182,17.925,4.981,13.898,0.410,0.000,-0.140,4,3.728,0.224,0.979,""
0.540,159.984,839.585,103.324,-114.501,23.183,17.809,4.877,14.082,0.409,0.000,-0.133,4,4.176,0.250,0.979,""
0.560,160.430,839.940,103.420,-114.217,23.185,17.691,4.784,14.263,0.408,0.000,-0.127,4,4.694,0.252,0.979,""
0.580,160.893,840.292,103.514,-113.928,23.187,17.571,4.702,14.438,0.408,0.000,-0.120,4,5.257,0.218,0.979,""
0.600,161.356,840.641,103.607,-113.637,23.190,17.449,4.632,14.609,0.407,0.000,-0.113,4,5.881,0.225,0.979,""
0.620,161.820,840.988,103.698,-113.341,23.193,17.327,4.574,14.775,0.405,0.000,-0.106,4,6.497,0.194,0.979,""
0.640,162.270,841.332,103.789,-113.043,23.196,17.205,4.527,14.934,0.404,0.000,-0.099,4,7.112,0.196,0.979,""
0.660,162.734,841.674,103.879,-112.742,23.200,17.083,4.492,15.088,0.402,0.000,-0.091,4,7.703,0.197,0.979,""
0.680,163.198,842.014,103.968,-112.437,23.204,16.961,4.468,15.235,0.400,0.000,-0.084,4,8.247,0.174,0.979,""
0.700,163.662,842.351,104.057,-112.130,23.208,16.842,4.452,15.375,0.398,0.000,-0.077,4,8.726,0.173,0.979,""
0.720,164.117,842.686,104.146,-111.820,23.212,16.724,4.446,15.509,0.396,0.000,-0.070,4,9.184,0.149,0.979,""
0.740,164.581,843.018,104.235,-111.508,23.217,16.609,4.446,15.636,0.394,0.000,-0.063,4,9.580,0.146,0.979,""
0.760,165.046,843.348,104.324,-111.193,23.222,16.497,4.454,15.756,0.391,0.000,-0.055,4,9.922,0.136,0.979,""
0.780,165.511,843.676,104.413,-110.875,23.227,16.389,4.467,15.870,0.389,0.000,-0.048,4,10.201,0.129,0.979,""
0.800,165.971,844.002,104.503,-110.556,23.233,16.285,4.483,15.977,0.386,0.000,-0.041,4,10.415,0.113,0.979,""
0.820,166.436,844.326,104.593,-110.235,23.238,16.185,4.503,16.078,0.384,0.000,-0.034,4,10.566,0.106,0.979,""
0.840,166.901,844.648,104.683,-109.911,23.243,16.090,4.524,16.172,0.381,0.000,-0.027,4,10.676,0.095,0.979,""
0.860,167.366,844.968,104.774,-109.586,23.249,16.000,4.547,16.259,0.378,0.000,-0.020,4,10.749,0.086,0.979,""
0.880,167.831,845.286,104.866,-109.259,23.254,15.916,4.571,16.341,0.376,0.000,-0.013,4,10.784,0.076,0.979,""
0.900,168.296,845.603,104.958,-108.931,23.260,15.837,4.594,16.416,0.373,0.000,-0.006,4,10.786,0.068,0.979,""
0.920,168.761,845.918,105.050,-108.602,23.265,15.764,4.617,16.485,0.370,0.000,0.001,4,10.760,0.059,0.979,""
0.940,169.226,846.232,105.143,-108.271,23.270,15.698,4.639,16.547,0.367,0.000,0.008,4,10.706,0.051,0.979,""
