vehicle,line,startX,startY,startZ,runup,launchX,launchY,launchZ,speed,landingX,landingY,landingZ,minClearance,air,headingDot,minUp
atv,0,990,152.57,280,215,989.953,179.2991,63.86854,40.86359,989.9679,121.5545,-140.2568,0.2328568,7.019994,0.1326253,0.7722803
atv,3,987,152.57,280,215,986.96,179.3,63.8684,40.86448,986.8763,121.5749,-140.2414,0.2477188,7.019994,0.1337867,0.771852
