vehicle,jump,mode,seconds,airSeconds,peakHeight,minUpright,recoveries,landed,wrongWay
moto,0,False,8.909,1.380,6.990,0.994,0,True,False
moto,0,True,8.906,1.360,6.996,0.988,0,True,False
moto,1,False,8.802,1.440,7.003,0.991,0,True,False
moto,1,True,8.814,1.440,6.998,0.992,0,True,False
moto,2,False,12.150,1.460,7.066,0.989,0,True,False
moto,2,True,12.126,1.440,7.026,0.993,0,True,False
moto,3,False,9.763,2.600,7.094,0.937,0,True,False
moto,3,True,9.774,2.600,7.128,0.936,0,True,False
moto,4,False,9.378,3.220,7.708,0.865,0,True,False
moto,4,True,9.408,3.220,7.630,0.863,0,True,False
atv,0,False,9.123,1.400,7.104,0.991,0,True,False
atv,0,True,9.131,1.420,7.137,0.989,0,True,False
atv,1,False,8.930,1.440,7.008,0.991,0,True,False
atv,1,True,8.930,1.440,7.021,0.992,0,True,False
atv,2,False,12.272,1.460,7.033,0.996,0,True,False
atv,2,True,12.311,1.460,7.070,0.994,0,True,False
atv,3,False,9.889,2.460,7.002,0.901,0,True,False
atv,3,True,9.724,2.280,7.006,0.929,0,True,False
atv,4,False,10.212,1.780,7.580,0.866,0,True,False
atv,4,True,10.171,1.780,7.580,0.866,0,True,False
