t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.109,829.592,100.644,-120.911,15.458,13.378,0.977,7.684,0.000,0.000,-0.090,2,9.590,3.871,0.998,"Ground_Mountain_0_1:(-0.173, 0.979, -0.104);Ground_Mountain_0_1:(-0.173, 0.979, -0.104);Ground_Mountain_0_1:(-0.173, 0.979, -0.104);Ground_Mountain_0_1:(-0.173, 0.979, -0.104);Ground_Mountain_0_1:(-0.173, 0.979, -0.104);Ground_Mountain_0_1:(-0.173, 0.979, -0.104);Ground_Mountain_0_1:(-0.182, 0.976, -0.119);"
0.040,148.394,829.849,100.666,-120.764,15.479,13.404,1.056,7.698,0.271,0.000,-0.092,4,10.523,10.410,0.994,"Ground_Mountain_0_1:(-0.172, 0.979, -0.105);Ground_Mountain_0_1:(-0.172, 0.979, -0.105);Ground_Mountain_0_1:(-0.172, 0.979, -0.105);Ground_Mountain_0_1:(-0.172, 0.979, -0.105);Ground_Mountain_0_1:(-0.172, 0.979, -0.105);Ground_Mountain_0_1:(-0.172, 0.979, -0.105);"
0.060,148.688,830.109,100.692,-120.616,15.478,13.402,1.287,7.698,0.261,0.000,-0.095,4,17.869,9.758,0.989,"Ground_Mountain_0_1:(-0.173, 0.979, -0.110);Ground_Mountain_0_1:(-0.173, 0.979, -0.110);Ground_Mountain_0_1:(-0.173, 0.979, -0.110);Ground_Mountain_0_1:(-0.173, 0.979, -0.110);Ground_Mountain_0_1:(-0.173, 0.979, -0.110);Ground_Mountain_0_1:(-0.173, 0.979, -0.110);"
0.080,148.985,830.369,100.722,-120.466,15.480,13.382,1.580,7.705,0.261,0.000,-0.097,4,22.928,9.126,0.985,"Ground_Mountain_0_1:(-0.174, 0.979, -0.108);Ground_Mountain_0_1:(-0.174, 0.979, -0.108);Ground_Mountain_0_1:(-0.174, 0.979, -0.108);Ground_Mountain_0_1:(-0.174, 0.979, -0.108);Ground_Mountain_0_1:(-0.174, 0.979, -0.108);Ground_Mountain_0_1:(-0.174, 0.979, -0.108);"
0.100,149.285,830.631,100.760,-120.316,15.485,13.342,1.918,7.714,0.260,0.000,-0.098,4,26.360,7.981,0.980,"Ground_Mountain_0_1:(-0.174, 0.979, -0.109);Ground_Mountain_0_1:(-0.174, 0.979, -0.109);Ground_Mountain_0_1:(-0.174, 0.979, -0.109);Ground_Mountain_0_1:(-0.174, 0.979, -0.109);Ground_Mountain_0_1:(-0.174, 0.979, -0.109);Ground_Mountain_0_1:(-0.174, 0.979, -0.109);"
0.120,149.588,830.889,100.819,-120.164,15.357,13.022,2.960,7.586,0.257,0.000,-0.099,4,28.234,6.718,0.979,"Ground_Mountain_0_1:(-0.175, 0.978, -0.115);Ground_Mountain_0_1:(-0.175, 0.978, -0.115);Ground_Mountain_0_1:(-0.175, 0.978, -0.115);Ground_Mountain_0_1:(-0.175, 0.978, -0.115);Ground_Mountain_0_1:(-0.175, 0.978, -0.115);Ground_Mountain_0_1:(-0.175, 0.978, -0.115);"
0.140,149.893,831.147,100.883,-120.011,15.390,12.990,3.221,7.598,0.321,0.000,-0.103,4,20.587,2.976,0.978,"Ground_Mountain_0_1:(-0.171, 0.979, -0.113);Ground_Mountain_0_1:(-0.171, 0.979, -0.113);Ground_Mountain_0_1:(-0.171, 0.979, -0.113);Ground_Mountain_0_1:(-0.171, 0.979, -0.113);Ground_Mountain_0_1:(-0.171, 0.979, -0.113);Ground_Mountain_0_1:(-0.171, 0.979, -0.113);"
0.160,150.197,831.405,100.951,-119.858,15.425,12.973,3.410,7.620,0.305,0.000,-0.106,4,18.866,1.963,0.978,"Ground_Mountain_0_1:(-0.169, 0.979, -0.113);Ground_Mountain_0_1:(-0.169, 0.979, -0.113);Ground_Mountain_0_1:(-0.169, 0.979, -0.113);Ground_Mountain_0_1:(-0.169, 0.979, -0.113);Ground_Mountain_0_1:(-0.169, 0.979, -0.113);Ground_Mountain_0_1:(-0.169, 0.979, -0.113);"
0.180,150.504,831.664,101.022,-119.705,15.455,12.954,3.568,7.645,0.287,0.000,-0.108,4,17.369,1.827,0.977,"Ground_Mountain_0_1:(-0.169, 0.979, -0.116);Ground_Mountain_0_1:(-0.169, 0.979, -0.116);Ground_Mountain_0_1:(-0.169, 0.979, -0.116);Ground_Mountain_0_1:(-0.169, 0.979, -0.116);Ground_Mountain_0_1:(-0.169, 0.979, -0.116);Ground_Mountain_0_1:(-0.169, 0.979, -0.116);"
0.200,150.812,831.921,101.096,-119.551,15.480,12.932,3.694,7.678,0.272,0.000,-0.109,4,15.802,1.640,0.977,"Ground_Mountain_0_1:(-0.169, 0.979, -0.116);Ground_Mountain_0_1:(-0.169, 0.979, -0.116);Ground_Mountain_0_1:(-0.169, 0.979, -0.116);Ground_Mountain_0_1:(-0.169, 0.979, -0.116);Ground_Mountain_0_1:(-0.169, 0.979, -0.116);Ground_Mountain_0_1:(-0.169, 0.979, -0.116);"
0.220,151.120,832.179,101.172,-119.396,15.501,12.908,3.790,7.720,0.260,0.000,-0.110,4,14.266,1.449,0.977,"Ground_Mountain_0_1:(-0.170, 0.978, -0.119);Ground_Mountain_0_1:(-0.170, 0.978, -0.119);Ground_Mountain_0_1:(-0.170, 0.978, -0.119);Ground_Mountain_0_1:(-0.170, 0.978, -0.119);Ground_Mountain_0_1:(-0.170, 0.978, -0.119);Ground_Mountain_0_1:(-0.170, 0.978, -0.119);"
0.240,151.429,832.436,101.249,-119.240,15.519,12.882,3.857,7.771,0.249,0.000,-0.110,4,12.808,1.304,0.976,"Ground_Mountain_0_1:(-0.170, 0.978, -0.119);Ground_Mountain_0_1:(-0.170, 0.978, -0.119);Ground_Mountain_0_1:(-0.170, 0.978, -0.119);Ground_Mountain_0_1:(-0.170, 0.978, -0.119);Ground_Mountain_0_1:(-0.170, 0.978, -0.119);Ground_Mountain_0_1:(-0.170, 0.978, -0.119);"
0.260,151.733,832.693,101.327,-119.083,15.533,12.853,3.898,7.831,0.241,0.000,-0.109,4,11.488,1.145,0.976,"Ground_Mountain_0_1:(-0.170, 0.978, -0.119);Ground_Mountain_0_1:(-0.170, 0.978, -0.119);Ground_Mountain_0_1:(-0.170, 0.978, -0.119);Ground_Mountain_0_1:(-0.170, 0.978, -0.119);Ground_Mountain_0_1:(-0.170, 0.978, -0.119);Ground_Mountain_0_1:(-0.170, 0.978, -0.119);"
