time,station,active,visible,sightings,calls
0.14,30.0,4,0,0,0
1.14,38.5,4,0,0,0
2.14,60.2,5,0,0,0
3.14,91.5,5,0,0,0
4.16,129.9,5,0,0,0
5.16,167.4,5,0,0,0
6.16,208.8,4,0,0,0
7.16,255.0,4,0,0,0
8.18,299.6,4,0,0,0
9.18,331.8,4,0,0,0
10.18,363.8,4,0,0,0
11.20,399.6,4,0,0,0
12.20,426.2,4,0,0,0
13.20,452.3,4,0,0,0
14.20,475.5,4,0,0,0
15.20,500.6,4,0,0,0
16.22,530.4,4,0,0,0
17.22,564.1,4,0,0,0
18.22,596.1,4,0,0,0
19.22,628.0,4,0,0,0
20.22,656.8,4,0,1,0
21.24,696.8,4,1,1,1
22.24,727.3,4,0,1,1
23.24,743.6,4,0,1,1
24.26,743.6,4,0,1,1
25.26,743.7,4,0,1,1
26.28,743.7,3,0,1,1
27.28,743.7,3,0,1,1
28.28,743.6,3,0,1,1
29.28,743.3,3,0,1,1
30.28,742.9,3,0,1,1
31.28,742.0,3,0,1,1
32.30,738.8,3,0,1,1
33.30,733.9,3,0,1,1
34.30,730.1,3,0,1,1
35.30,735.7,3,0,1,1
36.30,748.9,3,0,1,1
37.30,773.6,3,0,1,1
38.32,808.1,3,0,1,1
39.32,847.5,3,0,1,1
40.32,879.6,3,0,1,1
41.32,911.6,3,0,1,1
42.32,938.0,3,0,1,1
43.34,977.3,3,0,1,1
44.34,1005.3,3,0,1,1
45.34,1036.8,3,0,1,1
46.34,1064.6,3,0,1,1
47.34,1102.6,3,0,1,1
48.34,1117.0,3,0,1,1
49.34,1139.5,3,0,1,1
50.36,1171.0,3,0,1,1
51.36,1208.3,3,0,1,1
52.36,1250.2,3,1,2,1
53.36,1283.4,3,1,2,2
54.36,1315.5,3,0,2,2
55.38,1347.4,3,0,2,2
56.38,1367.8,3,0,2,2
57.38,1414.7,3,0,2,2
58.38,1441.1,2,0,2,2
59.40,1469.0,2,0,2,2
60.40,1501.0,2,0,2,2
61.40,1532.9,2,0,2,2
62.40,1564.8,2,0,2,2
63.40,1596.6,2,0,2,2
64.40,1632.8,2,0,2,2
65.42,1662.6,2,0,2,2
66.42,1691.1,2,1,3,2
67.42,1725.7,2,0,3,3
68.42,1755.0,2,0,3,3
69.42,1777.3,2,0,3,3
70.42,1805.9,2,0,3,3
71.44,1837.9,2,0,3,3
72.44,1870.2,2,0,3,3
73.44,1901.0,2,0,3,3
74.44,1932.0,2,0,3,3
75.44,1963.2,2,0,3,3
76.44,1986.8,2,0,3,3
77.44,2001.0,2,0,3,3
78.44,2017.3,2,0,3,3
79.44,2040.6,2,1,4,3
80.46,2070.1,2,1,4,4
81.46,2101.3,2,1,4,4
82.46,19.8,2,0,4,4
83.46,62.9,2,0,4,4
84.46,110.0,2,0,4,4
85.46,151.5,2,0,4,4
86.46,190.6,2,0,4,4
87.46,234.8,2,0,4,4
88.48,282.8,2,0,4,4
89.48,317.9,2,0,4,4
90.48,349.9,2,0,4,4
91.48,376.8,2,0,4,4
92.50,413.5,2,0,4,4
93.50,441.4,2,0,4,4
94.50,469.8,2,0,4,4
95.50,505.0,2,0,4,4
96.50,529.1,2,0,4,4
97.52,557.9,2,0,4,4
98.52,589.7,2,0,4,4
99.52,621.8,2,0,4,4
100.54,653.8,2,0,4,4
101.54,690.5,2,0,4,4
102.54,721.7,2,0,4,4
103.54,746.9,2,0,4,4
104.54,760.0,2,0,4,4
105.56,767.5,2,0,4,4
106.56,784.9,2,0,4,4
107.56,813.7,2,0,4,4
108.56,848.9,2,0,4,4
109.56,880.7,2,0,4,4
110.56,912.5,2,0,4,4
111.56,938.4,2,0,4,4
112.58,978.0,2,0,4,4
113.58,1006.0,2,0,4,4
114.58,1037.5,2,0,4,4
115.58,1064.6,2,0,4,4
116.60,1103.2,2,0,4,4
117.60,1114.8,2,0,4,4
118.60,1134.3,2,0,4,4
119.60,1164.2,2,0,4,4
120.60,1200.6,2,0,4,4
121.60,1241.6,2,0,4,4
122.60,1277.1,2,0,4,4
123.62,1309.1,2,0,4,4
124.62,1340.9,2,0,4,4
125.62,1366.0,2,0,4,4
126.62,1408.8,2,0,4,4
127.64,1436.1,2,0,4,4
128.64,1462.5,2,0,4,4
129.64,1494.2,2,0,4,4
130.64,1526.2,2,0,4,4
131.64,1558.0,2,0,4,4
132.64,1589.9,2,0,4,4
133.64,1625.9,2,0,4,4
134.64,1656.4,2,0,4,4
135.64,1684.2,2,1,4,4
136.64,1717.7,2,0,4,5
137.66,1749.9,2,0,4,5
138.66,1772.3,2,0,4,5
139.66,1798.9,2,0,4,5
140.66,1830.8,2,0,4,5
141.66,1862.7,2,0,4,5
142.68,1896.6,2,0,4,5
143.68,1927.5,2,0,4,5
144.68,1958.8,2,0,4,5
145.68,1984.6,2,0,4,5
146.68,1998.9,2,0,4,5
147.68,2014.7,2,0,4,5
148.70,2036.9,2,0,4,5
149.70,2066.1,2,1,4,5
