seed,selected,bird,squirrel,frog
1,6,5,6,3
2,8,5,6,3
3,8,5,6,3
4,8,5,6,3
5,8,5,6,3
6,7,5,6,3
7,8,5,6,3
8,8,5,6,3
9,5,5,6,3
10,6,5,6,3
11,7,5,6,3
12,8,5,6,3
13,8,5,6,3
14,4,5,6,3
15,6,5,6,3
16,8,5,6,3
17,5,5,6,3
18,8,5,6,3
19,6,5,6,3
20,7,5,6,3
21,7,5,6,3
22,6,5,6,3
23,6,5,6,3
24,4,5,6,3
25,7,5,6,3
26,8,5,6,3
27,6,5,6,3
28,5,5,6,3
29,7,5,6,3
30,6,5,6,3
