time,x,y,z,speed,wheels,up,station,clearance,throttle,brake,steer
0.4199998,1185.674,152.4945,205.5466,7.099403,4,1,6.594893,0.1444855,1,0,-5.1319E-06
0.4399998,1185.531,152.4945,205.5061,7.414539,4,1,6.743228,0.144516,1,0,-5.475862E-06
0.4599998,1185.382,152.4946,205.4639,7.727688,4,1,6.897785,0.1446533,1,0,-6.626196E-06
0.4799998,1185.228,152.4949,205.42,8.038864,4,1,7.058557,0.1448822,1,0,-6.717245E-06
0.4999998,1185.067,152.4952,205.3744,8.348082,4,1,7.225546,0.1451874,1,0,-7.216889E-06
0.5199998,1184.901,152.4955,205.3271,8.65535,4,1,7.398631,0.1455536,1,0,-8.12513E-06
0.5399998,1184.728,152.4959,205.2782,8.960683,4,1,7.577806,0.1459503,1,0,-7.576308E-06
0.5599998,1184.55,152.4964,205.2276,9.264091,4,1,7.763072,0.1463623,1,0,-7.038305E-06
0.5799998,1184.366,152.4968,205.1753,9.565592,4,1,7.954424,0.1467743,1,0,-6.511121E-06
0.5999998,1184.176,152.4972,205.1215,9.865191,4,1,8.151742,0.1471863,1,0,-7.462638E-06
0.6199998,1183.98,152.4976,205.0659,10.1629,4,1,8.355025,0.147583,1,0,-8.027197E-06
0.6399997,1183.779,152.4979,205.0088,10.45874,4,1,8.564152,0.1479492,1,0,-8.204798E-06
0.6599998,1183.572,152.4983,204.9501,10.75271,4,1,8.779235,0.1482849,1,0,-6.129786E-06
0.6799998,1183.36,152.4986,204.8898,11.04484,4,1,9.000154,0.1485901,1,0,-6.603576E-06
0.6999997,1183.142,152.4989,204.8279,11.33512,4,1,9.226907,0.1488647,1,0,-7.760515E-06
0.7199997,1182.918,152.4991,204.7644,11.62357,4,1,9.459377,0.1490936,1,0,-9.6006E-06
0.7399997,1182.689,152.4993,204.6993,11.9102,4,1,9.697558,0.149292,1,0,-8.790294E-06
0.7599998,1182.454,152.4995,204.6327,12.19504,4,1,9.941448,0.1494598,1,0,-8.265359E-06
0.7799997,1182.214,152.4996,204.5646,12.47807,4,1,10.19104,0.1495819,1,0,-8.025794E-06
0.7999997,1181.969,152.4997,204.4949,12.75933,4,1,10.44623,0.1496735,1,0,-9.539481E-06
0.8199997,1181.718,152.4997,204.4237,13.03881,4,1,10.70699,0.1497345,1,0,-9.47288E-06
0.8399997,1181.462,152.4998,204.3509,13.31653,4,1,10.97334,0.149765,1,0,-9.293874E-06
0.8599997,1181.2,152.4998,204.2767,13.5925,4,1,11.24515,0.1497803,1,0,-9.002461E-06
0.8799997,1180.933,152.4998,204.201,13.86673,4,1,11.52254,0.1497803,1,0,-8.200867E-06
0.8999997,1180.661,152.4997,204.1237,14.13924,4,1,11.80538,0.1497498,1,0,-8.754748E-06
0.9199997,1180.384,152.4997,204.045,14.41003,4,1,12.09356,0.1497192,1,0,-1.026633E-05
0.9399996,1180.102,152.4997,203.9649,14.67911,4,1,12.38719,0.1496735,1,0,-9.402066E-06
0.9599997,1179.814,152.4996,203.8832,14.9465,4,1,12.68614,0.1496124,1,0,-1.096338E-05
0.9799997,1179.521,152.4995,203.8001,15.2122,4,1,12.99043,0.1495514,1,0,-1.161674E-05
0.9999996,1179.224,152.4995,203.7156,15.47623,4,1,13.29993,0.1494904,1,0,-1.283003E-05
1.02,1178.921,152.4994,203.6296,15.7386,4,1,13.61475,0.1494293,1,0,-1.126969E-05
1.04,1178.613,152.4994,203.5423,15.99931,4,1,13.93477,0.1493683,1,0,-1.173716E-05
1.06,1178.3,152.4993,203.4534,16.25838,4,1,14.26,0.1493073,1,0,-1.236677E-05
