t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.103,1046.700,153.426,41.645,23.527,-8.198,0.723,22.041,0.000,0.000,-0.093,2,11.330,3.335,1.000,"Ground_Mountain_2_3:(0.058, 0.989, -0.139);Ground_Mountain_2_3:(0.058, 0.989, -0.139);Ground_Mountain_2_3:(0.058, 0.989, -0.139);Ground_Mountain_2_3:(0.058, 0.989, -0.139);Ground_Mountain_2_3:(0.058, 0.989, -0.139);"
0.040,472.559,1046.539,153.438,42.078,23.536,-8.211,0.610,22.060,0.237,0.000,-0.098,2,3.942,3.638,0.998,"Ground_Mountain_2_3:(0.056, 0.989, -0.139);Ground_Mountain_2_3:(0.056, 0.989, -0.139);Ground_Mountain_2_3:(0.056, 0.989, -0.139);Ground_Mountain_2_3:(0.056, 0.989, -0.139);Ground_Mountain_2_3:(0.056, 0.989, -0.139);Ground_Mountain_2_3:(0.056, 0.989, -0.139);"
0.060,473.017,1046.379,153.457,42.511,23.500,-8.181,0.949,22.029,0.232,0.000,-0.102,4,20.804,4.428,0.997,"Ground_Mountain_2_3:(0.058, 0.988, -0.140);Ground_Mountain_2_3:(0.058, 0.988, -0.140);Ground_Mountain_2_3:(0.058, 0.988, -0.140);Ground_Mountain_2_3:(0.058, 0.988, -0.140);Ground_Mountain_2_3:(0.058, 0.988, -0.140);"
0.080,473.476,1046.219,153.483,42.944,23.472,-8.159,1.365,21.987,0.250,0.000,-0.105,4,25.907,4.230,0.995,"Ground_Mountain_2_3:(0.059, 0.988, -0.140);Ground_Mountain_2_3:(0.059, 0.988, -0.140);Ground_Mountain_2_3:(0.059, 0.988, -0.140);Ground_Mountain_2_3:(0.059, 0.988, -0.140);"
0.100,473.936,1046.058,153.519,43.378,23.456,-8.148,1.811,21.939,0.264,0.000,-0.109,4,29.109,3.738,0.993,"Ground_Mountain_2_3:(0.060, 0.988, -0.139);Ground_Mountain_2_3:(0.060, 0.988, -0.139);Ground_Mountain_2_3:(0.060, 0.988, -0.139);Ground_Mountain_2_3:(0.060, 0.988, -0.139);"
0.120,474.399,1045.897,153.564,43.812,23.453,-8.151,2.248,21.888,0.272,0.000,-0.113,4,30.715,3.070,0.992,"Ground_Mountain_2_3:(0.060, 0.989, -0.138);Ground_Mountain_2_3:(0.060, 0.989, -0.138);Ground_Mountain_2_3:(0.060, 0.989, -0.138);Ground_Mountain_2_3:(0.060, 0.989, -0.138);Ground_Mountain_2_3:(0.060, 0.989, -0.138);Ground_Mountain_2_3:(0.060, 0.989, -0.138);"
0.140,474.863,1045.735,153.617,44.247,23.456,-8.164,2.673,21.833,0.274,0.000,-0.115,4,31.030,2.266,0.991,"Ground_Mountain_2_3:(0.061, 0.989, -0.138);Ground_Mountain_2_3:(0.061, 0.989, -0.138);Ground_Mountain_2_3:(0.061, 0.989, -0.138);Ground_Mountain_2_3:(0.061, 0.989, -0.138);Ground_Mountain_2_3:(0.061, 0.989, -0.138);Ground_Mountain_2_3:(0.061, 0.989, -0.138);"
0.160,475.329,1045.572,153.678,44.680,23.459,-8.182,3.081,21.772,0.272,0.000,-0.117,4,30.229,1.572,0.990,"Ground_Mountain_2_3:(0.063, 0.988, -0.139);Ground_Mountain_2_3:(0.063, 0.988, -0.139);Ground_Mountain_2_3:(0.063, 0.988, -0.139);Ground_Mountain_2_3:(0.063, 0.988, -0.139);Ground_Mountain_2_3:(0.063, 0.988, -0.139);Ground_Mountain_2_3:(0.063, 0.988, -0.139);"
0.180,475.795,1045.408,153.747,45.113,23.462,-8.209,3.456,21.709,0.271,0.000,-0.119,4,28.563,1.072,0.990,"Ground_Mountain_2_3:(0.063, 0.988, -0.138);Ground_Mountain_2_3:(0.063, 0.988, -0.138);Ground_Mountain_2_3:(0.063, 0.988, -0.138);Ground_Mountain_2_3:(0.063, 0.988, -0.138);Ground_Mountain_2_3:(0.063, 0.988, -0.138);Ground_Mountain_2_3:(0.063, 0.988, -0.138);"
0.200,476.263,1045.243,153.823,45.545,23.464,-8.246,3.786,21.646,0.269,0.000,-0.120,4,26.358,0.746,0.989,"Ground_Mountain_2_3:(0.065, 0.988, -0.139);Ground_Mountain_2_3:(0.065, 0.988, -0.139);Ground_Mountain_2_3:(0.065, 0.988, -0.139);Ground_Mountain_2_3:(0.065, 0.988, -0.139);Ground_Mountain_2_3:(0.065, 0.988, -0.139);Ground_Mountain_2_3:(0.065, 0.988, -0.139);"
0.220,476.728,1045.078,153.904,45.976,23.464,-8.293,4.067,21.585,0.268,0.000,-0.121,4,23.878,0.506,0.989,"Ground_Mountain_2_3:(0.064, 0.988, -0.139);Ground_Mountain_2_3:(0.064, 0.988, -0.139);Ground_Mountain_2_3:(0.064, 0.988, -0.139);"
0.240,477.196,1044.911,153.990,46.406,23.465,-8.350,4.297,21.526,0.268,0.000,-0.122,4,21.287,0.350,0.989,""
0.260,477.664,1044.743,154.079,46.836,23.464,-8.418,4.475,21.470,0.268,0.000,-0.122,4,18.715,0.247,0.989,""
0.280,478.133,1044.573,154.171,47.264,23.462,-8.496,4.605,21.417,0.268,0.000,-0.122,4,16.254,0.179,0.989,""
0.300,478.597,1044.401,154.265,47.691,23.460,-8.583,4.690,21.367,0.269,0.000,-0.121,4,13.954,0.139,0.989,""
0.320,479.065,1044.228,154.360,48.117,23.458,-8.678,4.733,21.320,0.270,0.000,-0.121,4,11.875,0.129,0.989,""
0.340,479.534,1044.052,154.455,48.543,23.455,-8.781,4.740,21.274,0.271,0.000,-0.120,4,10.040,0.101,0.989,""
0.360,480.003,1043.875,154.549,48.967,23.453,-8.891,4.716,21.230,0.272,0.000,-0.119,4,8.482,0.071,0.988,""
0.380,480.465,1043.694,154.642,49.391,23.450,-9.007,4.667,21.187,0.274,0.000,-0.118,4,7.189,0.042,0.988,""
0.400,480.933,1043.512,154.734,49.814,23.447,-9.128,4.598,21.144,0.275,0.000,-0.117,4,6.161,0.018,0.988,""
0.420,481.402,1043.327,154.824,50.236,23.443,-9.253,4.513,21.101,0.277,0.000,-0.115,4,5.371,0.011,0.988,""
0.440,481.870,1043.140,154.913,50.657,23.441,-9.381,4.416,21.058,0.278,0.000,-0.114,4,4.808,0.021,0.988,""
0.460,482.331,1042.950,154.999,51.078,23.438,-9.513,4.313,21.014,0.280,0.000,-0.112,4,4.449,0.009,0.988,""
0.480,482.799,1042.757,155.083,51.497,23.435,-9.646,4.207,20.969,0.281,0.000,-0.111,4,4.284,0.017,0.988,""
0.500,483.268,1042.562,155.165,51.916,23.433,-9.781,4.100,20.922,0.282,0.000,-0.109,4,4.270,0.021,0.988,""
0.520,483.736,1042.363,155.245,52.333,23.431,-9.916,3.996,20.873,0.284,0.000,-0.107,4,4.397,0.028,0.988,""
0.540,484.205,1042.162,155.323,52.750,23.429,-10.052,3.896,20.823,0.285,0.000,-0.105,4,4.645,0.038,0.988,""
0.560,484.664,1041.959,155.399,53.165,23.427,-10.187,3.803,20.771,0.286,0.000,-0.103,4,4.979,0.054,0.988,""
0.580,485.133,1041.753,155.473,53.580,23.425,-10.322,3.719,20.717,0.287,0.000,-0.101,4,5.386,0.039,0.988,""
0.600,485.601,1041.544,155.546,53.993,23.424,-10.456,3.643,20.661,0.287,0.000,-0.099,4,5.833,0.032,0.988,""
0.620,486.070,1041.332,155.618,54.405,23.423,-10.589,3.576,20.603,0.288,0.000,-0.097,4,6.285,0.032,0.988,""
0.640,486.528,1041.118,155.688,54.816,23.422,-10.720,3.518,20.544,0.289,0.000,-0.095,4,6.754,0.045,0.988,""
0.660,486.996,1040.901,155.758,55.226,23.421,-10.849,3.470,20.483,0.289,0.000,-0.093,4,7.218,0.049,0.989,""
0.680,487.465,1040.682,155.826,55.635,23.420,-10.976,3.430,20.421,0.290,0.000,-0.091,4,7.666,0.057,0.989,""
