t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.139,829.834,100.780,-120.776,31.146,27.017,1.394,15.435,0.000,0.000,-0.158,2,12.815,2.446,0.999,"Mountain trunk:(-0.404, -0.344, -0.848);Mountain trunk:(-0.404, -0.344, -0.848);Mountain trunk:(-0.892, -0.044, 0.449);Mountain trunk:(-0.404, -0.344, -0.848);Mountain trunk:(-0.404, -0.344, -0.848);Mountain trunk:(-0.892, -0.044, 0.449);Mountain trunk:(-0.404, -0.344, -0.848);Mountain trunk:(-0.892, -0.044, 0.449);Mountain trunk:(-0.404, -0.344, -0.848);Mountain trunk:(-0.892, -0.044, 0.449);Mountain trunk:(-0.404, -0.343, -0.848);Mountain trunk:(-0.404, -0.343, -0.848);Mountain trunk:(-0.895, -0.044, 0.444);Mountain trunk:(-0.895, -0.044, 0.444);Mountain trunk:(-0.895, -0.044, 0.444);Mountain trunk:(-0.895, -0.044, 0.444);Mountain trunk:(-0.895, -0.044, 0.444);Mountain trunk:(-0.895, -0.044, 0.444);Mountain trunk:(-0.895, -0.044, 0.444);Mountain trunk:(-0.895, -0.044, 0.444);Mountain trunk:(-0.895, -0.044, 0.444);Mountain trunk:(-0.895, -0.044, 0.444);Mountain trunk:(-0.895, -0.043, 0.444);Mountain trunk:(-0.895, -0.043, 0.444);Mountain trunk:(-0.895, -0.043, 0.443);Mountain trunk:(-0.895, -0.043, 0.443);Mountain trunk:(-0.895, -0.043, 0.443);Mountain trunk:(-0.895, -0.043, 0.443);Mountain trunk:(-0.895, -0.043, 0.443);Mountain trunk:(-0.895, -0.043, 0.443);Mountain trunk:(-0.895, -0.043, 0.443);Mountain trunk:(-0.895, -0.043, 0.443);Mountain trunk:(-0.895, -0.043, 0.443);Mountain trunk:(-0.895, -0.043, 0.443);Mountain trunk:(-0.895, -0.043, 0.443);Mountain trunk:(-0.895, -0.043, 0.443);Mountain trunk:(-0.895, -0.043, 0.443);Mountain trunk:(-0.895, -0.043, 0.443);Mountain trunk:(-0.895, -0.042, 0.443);Mountain trunk:(-0.895, -0.042, 0.443);Mountain trunk:(-0.895, -0.042, 0.443);Mountain trunk:(-0.895, -0.042, 0.443);Ground_Mountain_0_1:(-0.172, 0.979, -0.114);Ground_Mountain_0_1:(-0.172, 0.979, -0.114);"
0.040,148.736,830.358,100.817,-120.478,31.015,26.925,1.874,15.320,0.427,0.000,-0.162,4,15.149,7.903,0.995,"Ground_Mountain_0_1:(-0.172, 0.979, -0.112);Ground_Mountain_0_1:(-0.172, 0.979, -0.112);Ground_Mountain_0_1:(-0.172, 0.979, -0.112);"
0.060,149.333,830.884,100.863,-120.181,30.944,26.861,2.396,15.290,0.493,0.000,-0.168,4,29.090,8.371,0.990,"Ground_Mountain_0_1:(-0.167, 0.979, -0.114);Ground_Mountain_0_1:(-0.167, 0.979, -0.114);Ground_Mountain_0_1:(-0.167, 0.979, -0.114);Ground_Mountain_0_1:(-0.167, 0.979, -0.114);Ground_Mountain_0_1:(-0.167, 0.979, -0.114);"
0.080,149.933,831.409,100.922,-119.883,30.877,26.777,2.974,15.273,0.528,0.000,-0.173,4,35.139,7.355,0.985,"Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);"
0.100,150.532,831.934,100.992,-119.584,30.808,26.657,3.629,15.249,0.562,0.000,-0.176,4,39.450,6.541,0.979,"Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);"
0.120,151.135,832.449,101.113,-119.286,30.456,25.916,5.997,14.841,0.596,0.000,-0.179,4,42.098,6.011,0.979,"Ground_Mountain_0_1:(-0.165, 0.980, -0.112);Ground_Mountain_0_1:(-0.165, 0.980, -0.112);Ground_Mountain_0_1:(-0.165, 0.980, -0.112);Ground_Mountain_0_1:(-0.165, 0.980, -0.112);Ground_Mountain_0_1:(-0.165, 0.980, -0.112);Ground_Mountain_0_1:(-0.165, 0.980, -0.112);"
0.140,151.741,832.963,101.245,-118.988,30.486,25.809,6.533,14.860,0.772,0.000,-0.186,4,36.047,1.926,0.978,"Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);Ground_Mountain_0_1:(-0.167, 0.979, -0.120);"
0.160,152.337,833.476,101.384,-118.689,30.514,25.719,6.973,14.889,0.757,0.000,-0.192,4,31.732,1.464,0.978,"Ground_Mountain_0_1:(-0.165, 0.979, -0.120);Ground_Mountain_0_1:(-0.165, 0.979, -0.120);Ground_Mountain_0_1:(-0.165, 0.979, -0.120);Ground_Mountain_0_1:(-0.165, 0.979, -0.120);Ground_Mountain_0_1:(-0.165, 0.979, -0.120);Ground_Mountain_0_1:(-0.165, 0.979, -0.120);"
0.180,152.943,833.988,101.531,-118.390,30.540,25.634,7.330,14.938,0.743,0.000,-0.195,4,27.516,1.197,0.978,"Ground_Mountain_0_1:(-0.169, 0.978, -0.124);Ground_Mountain_0_1:(-0.169, 0.978, -0.124);Ground_Mountain_0_1:(-0.169, 0.978, -0.124);Ground_Mountain_0_1:(-0.169, 0.978, -0.124);Ground_Mountain_0_1:(-0.169, 0.978, -0.124);Ground_Mountain_0_1:(-0.169, 0.978, -0.124);"
0.200,153.537,834.499,101.683,-118.089,30.561,25.552,7.603,15.012,0.730,0.000,-0.197,4,23.217,0.968,0.978,"Ground_Mountain_0_1:(-0.163, 0.979, -0.121);"
