t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.102,1041.027,153.437,39.683,31.326,-10.939,1.058,29.337,0.000,0.000,-0.114,2,11.991,3.539,0.999,"Mountain trunk:(-0.206, -0.405, 0.891);Mountain trunk:(-0.206, -0.405, 0.891);Mountain trunk:(-0.206, -0.405, 0.891);Mountain trunk:(-0.206, -0.405, 0.891);Mountain trunk:(-0.206, -0.405, 0.891);Mountain trunk:(-0.206, -0.405, 0.891);Mountain trunk:(-0.212, -0.399, 0.892);Mountain trunk:(-0.212, -0.399, 0.892);Mountain trunk:(-0.212, -0.399, 0.892);Ground_Mountain_2_3:(0.049, 0.987, -0.152);Ground_Mountain_2_3:(0.049, 0.987, -0.152);Ground_Mountain_2_3:(0.049, 0.987, -0.152);Ground_Mountain_2_3:(0.049, 0.987, -0.152);"
0.040,472.845,1040.814,153.468,40.256,31.240,-10.869,1.421,29.276,0.337,0.000,-0.118,4,15.456,6.010,0.997,"Ground_Mountain_2_3:(0.053, 0.987, -0.149);Ground_Mountain_2_3:(0.053, 0.987, -0.149);Ground_Mountain_2_3:(0.053, 0.987, -0.149);Ground_Mountain_2_3:(0.053, 0.987, -0.149);Ground_Mountain_2_3:(0.053, 0.987, -0.149);Ground_Mountain_2_3:(0.053, 0.987, -0.149);"
0.060,473.454,1040.602,153.507,40.829,31.154,-10.805,1.981,29.191,0.380,0.000,-0.124,4,26.024,6.252,0.994,"Ground_Mountain_2_3:(0.046, 0.986, -0.159);Ground_Mountain_2_3:(0.046, 0.986, -0.159);Ground_Mountain_2_3:(0.046, 0.986, -0.159);Ground_Mountain_2_3:(0.046, 0.986, -0.159);Ground_Mountain_2_3:(0.046, 0.986, -0.159);"
0.080,474.065,1040.390,153.558,41.405,31.109,-10.778,2.556,29.113,0.423,0.000,-0.130,4,32.819,5.957,0.991,"Ground_Mountain_2_3:(0.057, 0.987, -0.151);Ground_Mountain_2_3:(0.057, 0.987, -0.151);Ground_Mountain_2_3:(0.057, 0.987, -0.151);Ground_Mountain_2_3:(0.057, 0.987, -0.151);Ground_Mountain_2_3:(0.057, 0.987, -0.151);Ground_Mountain_2_3:(0.057, 0.987, -0.151);"
0.100,474.809,1040.178,153.621,41.980,31.073,-10.753,3.182,29.017,0.446,0.000,-0.136,4,36.004,4.658,0.989,"Ground_Mountain_2_3:(0.051, 0.986, -0.158);Ground_Mountain_2_3:(0.051, 0.986, -0.158);Ground_Mountain_2_3:(0.051, 0.986, -0.158);Ground_Mountain_2_3:(0.051, 0.986, -0.158);Ground_Mountain_2_3:(0.051, 0.986, -0.158);"
0.120,475.424,1039.964,153.695,42.555,31.063,-10.754,3.763,28.926,0.463,0.000,-0.141,4,37.484,3.962,0.987,"Ground_Mountain_2_3:(0.062, 0.987, -0.147);Ground_Mountain_2_3:(0.062, 0.987, -0.147);Ground_Mountain_2_3:(0.062, 0.987, -0.147);Ground_Mountain_2_3:(0.062, 0.987, -0.147);Ground_Mountain_2_3:(0.062, 0.987, -0.147);Ground_Mountain_2_3:(0.062, 0.987, -0.147);"
0.140,476.041,1039.749,153.793,43.127,30.946,-10.812,4.902,28.579,0.468,0.000,-0.145,4,38.286,2.739,0.987,"Ground_Mountain_2_3:(0.062, 0.987, -0.149);Ground_Mountain_2_3:(0.062, 0.987, -0.149);Ground_Mountain_2_3:(0.062, 0.987, -0.149);Ground_Mountain_2_3:(0.062, 0.987, -0.149);Ground_Mountain_2_3:(0.062, 0.987, -0.149);Ground_Mountain_2_3:(0.062, 0.987, -0.149);Ground_Mountain_2_3:(0.017, 0.985, -0.170);Ground_Mountain_2_3:(0.017, 0.985, -0.170);Ground_Mountain_2_3:(0.017, 0.985, -0.170);Ground_Mountain_2_3:(0.017, 0.985, -0.170);Ground_Mountain_2_3:(0.017, 0.985, -0.170);Ground_Mountain_2_3:(0.017, 0.985, -0.170);"
0.160,476.781,1039.533,153.899,43.697,30.958,-10.832,5.295,28.517,0.527,0.000,-0.149,4,29.514,1.213,0.987,"Ground_Mountain_2_3:(0.056, 0.987, -0.151);Ground_Mountain_2_3:(0.056, 0.987, -0.151);Ground_Mountain_2_3:(0.056, 0.987, -0.151);Ground_Mountain_2_3:(0.056, 0.987, -0.151);Ground_Mountain_2_3:(0.056, 0.987, -0.151);Ground_Mountain_2_3:(0.056, 0.987, -0.151);"
0.180,477.399,1039.317,154.011,44.266,30.969,-10.869,5.620,28.459,0.521,0.000,-0.153,4,26.073,0.914,0.987,"Ground_Mountain_2_3:(0.057, 0.987, -0.149);Ground_Mountain_2_3:(0.057, 0.987, -0.149);Ground_Mountain_2_3:(0.057, 0.987, -0.149);Ground_Mountain_2_3:(0.057, 0.987, -0.149);Ground_Mountain_2_3:(0.057, 0.987, -0.149);Ground_Mountain_2_3:(0.057, 0.987, -0.149);"
0.200,478.017,1039.098,154.129,44.834,30.978,-10.926,5.881,28.403,0.516,0.000,-0.155,4,22.861,0.759,0.986,"Ground_Mountain_2_3:(0.061, 0.987, -0.148);Ground_Mountain_2_3:(0.061, 0.987, -0.148);Ground_Mountain_2_3:(0.061, 0.987, -0.148);Ground_Mountain_2_3:(0.061, 0.987, -0.148);Ground_Mountain_2_3:(0.061, 0.987, -0.148);"
0.220,478.748,1038.878,154.251,45.401,30.985,-11.003,6.079,28.348,0.511,0.000,-0.156,4,19.681,0.571,0.987,""
0.240,479.366,1038.656,154.375,45.967,30.991,-11.100,6.219,28.295,0.507,0.000,-0.157,4,16.685,0.299,0.987,""
0.260,479.984,1038.432,154.501,46.532,30.995,-11.217,6.303,28.242,0.505,0.000,-0.158,4,13.869,0.057,0.987,""
0.280,480.708,1038.205,154.628,47.096,30.998,-11.353,6.338,28.188,0.503,0.000,-0.157,4,11.366,0.029,0.987,""
0.300,481.327,1037.975,154.755,47.659,30.999,-11.507,6.330,28.133,0.501,0.000,-0.156,4,9.206,0.064,0.987,""
0.320,481.945,1037.741,154.880,48.220,31.000,-11.678,6.286,28.075,0.500,0.000,-0.155,4,7.372,0.126,0.987,""
0.340,482.660,1037.504,155.005,48.781,31.000,-11.861,6.217,28.014,0.500,0.000,-0.153,4,6.074,0.150,0.987,""
