t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.139,829.812,100.811,-120.787,31.232,27.098,1.126,15.552,0.000,0.000,-0.184,2,14.174,4.484,0.997,"Mountain trunk:(-0.001, -0.176, -0.984);Mountain trunk:(-0.001, -0.176, -0.984);Mountain trunk:(-0.001, -0.176, -0.984);Mountain trunk:(-0.001, -0.176, -0.984);Mountain trunk:(-0.001, -0.176, -0.984);Mountain trunk:(-0.001, -0.176, -0.984);Mountain trunk:(-0.001, -0.176, -0.984);Mountain trunk:(-0.001, -0.176, -0.984);Mountain trunk:(-0.001, -0.176, -0.984);Mountain trunk:(-0.001, -0.176, -0.984);Mountain trunk:(-0.001, -0.176, -0.984);Mountain trunk:(-0.001, -0.176, -0.984);Mountain trunk:(-0.001, -0.176, -0.984);Mountain trunk:(-0.001, -0.175, -0.985);Mountain trunk:(-0.001, -0.175, -0.985);Ground_Mountain_0_1:(-0.171, 0.979, -0.113);Ground_Mountain_0_1:(-0.171, 0.979, -0.113);Ground_Mountain_0_1:(-0.171, 0.979, -0.113);Ground_Mountain_0_1:(-0.171, 0.979, -0.113);"
0.040,148.718,830.335,100.849,-120.490,31.022,26.960,1.731,15.420,0.384,0.000,-0.189,3,18.087,9.490,0.992,"Ground_Mountain_0_1:(-0.169, 0.979, -0.114);Ground_Mountain_0_1:(-0.169, 0.979, -0.114);Ground_Mountain_0_1:(-0.169, 0.979, -0.114);Ground_Mountain_0_1:(-0.169, 0.979, -0.114);Ground_Mountain_0_1:(-0.169, 0.979, -0.114);Ground_Mountain_0_1:(-0.169, 0.979, -0.114);"
0.060,149.315,830.862,100.896,-120.191,30.910,26.878,2.336,15.345,0.489,0.000,-0.197,4,32.020,8.864,0.986,"Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);Ground_Mountain_0_1:(-0.166, 0.979, -0.116);"
0.080,149.916,831.390,100.954,-119.892,30.822,26.778,2.989,15.276,0.545,0.000,-0.204,4,37.113,7.808,0.981,"Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);Ground_Mountain_0_1:(-0.164, 0.979, -0.120);"
0.100,150.519,831.900,101.062,-119.593,30.401,25.990,5.492,14.821,0.589,0.000,-0.210,4,40.426,7.038,0.977,"Ground_Mountain_0_1:(-0.165, 0.979, -0.119);Ground_Mountain_0_1:(-0.165, 0.979, -0.119);Ground_Mountain_0_1:(-0.165, 0.979, -0.119);Ground_Mountain_0_1:(-0.165, 0.979, -0.119);Ground_Mountain_0_1:(-0.165, 0.979, -0.119);Ground_Mountain_0_1:(-0.165, 0.979, -0.119);"
0.120,151.118,832.415,101.195,-119.300,30.350,25.758,6.398,14.723,0.800,0.000,-0.218,4,34.047,7.222,0.977,"Ground_Mountain_0_1:(-0.172, 0.978, -0.116);Ground_Mountain_0_1:(-0.172, 0.978, -0.116);Ground_Mountain_0_1:(-0.172, 0.978, -0.116);Ground_Mountain_0_1:(-0.172, 0.978, -0.116);Ground_Mountain_0_1:(-0.172, 0.978, -0.116);Ground_Mountain_0_1:(-0.172, 0.978, -0.116);"
0.140,151.723,832.929,101.330,-119.006,30.389,25.708,6.773,14.727,0.825,0.000,-0.227,4,28.371,0.805,0.977,"Ground_Mountain_0_1:(-0.169, 0.979, -0.117);Ground_Mountain_0_1:(-0.169, 0.979, -0.117);Ground_Mountain_0_1:(-0.169, 0.979, -0.117);Ground_Mountain_0_1:(-0.169, 0.979, -0.117);Ground_Mountain_0_1:(-0.169, 0.979, -0.117);Ground_Mountain_0_1:(-0.169, 0.979, -0.117);"
0.160,152.317,833.443,101.472,-118.712,30.424,25.665,7.077,14.743,0.806,0.000,-0.234,4,24.748,0.403,0.977,"Ground_Mountain_0_1:(-0.171, 0.978, -0.117);Ground_Mountain_0_1:(-0.171, 0.978, -0.117);Ground_Mountain_0_1:(-0.171, 0.978, -0.117);Ground_Mountain_0_1:(-0.171, 0.978, -0.117);Ground_Mountain_0_1:(-0.171, 0.978, -0.117);Ground_Mountain_0_1:(-0.171, 0.978, -0.117);"
0.180,152.922,833.956,101.618,-118.416,30.455,25.627,7.308,14.780,0.788,0.000,-0.237,4,21.034,0.189,0.977,""
0.200,153.514,834.468,101.768,-118.120,30.483,25.588,7.469,14.842,0.772,0.000,-0.240,4,17.430,0.078,0.978,""
