t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.101,1052.317,153.412,43.748,23.543,-8.200,0.670,22.059,0.000,0.000,-0.087,2,10.740,3.269,1.000,"Ground_Mountain_2_3:(0.052, 0.989, -0.137);Ground_Mountain_2_3:(0.052, 0.989, -0.137);Ground_Mountain_2_3:(0.052, 0.989, -0.137);Ground_Mountain_2_3:(0.000, 1.000, 0.000);Ground_Mountain_2_3:(0.000, 1.000, 0.000);"
0.040,472.560,1052.156,153.425,44.181,23.541,-8.198,0.670,22.063,0.228,0.000,-0.090,3,6.972,3.942,0.999,"Ground_Mountain_2_3:(0.052, 0.990, -0.132);Ground_Mountain_2_3:(0.052, 0.990, -0.132);Ground_Mountain_2_3:(0.052, 0.990, -0.132);Ground_Mountain_2_3:(0.052, 0.990, -0.132);Ground_Mountain_2_3:(0.052, 0.990, -0.132);Ground_Mountain_2_3:(0.007, 1.000, -0.023);Ground_Mountain_2_3:(0.007, 1.000, -0.023);Ground_Mountain_2_3:(0.138, 0.988, -0.064);"
0.060,472.880,1051.996,153.443,44.615,23.522,-8.188,0.918,22.044,0.229,0.000,-0.094,4,18.038,4.243,0.998,"Ground_Mountain_2_3:(0.052, 0.990, -0.131);Ground_Mountain_2_3:(0.052, 0.990, -0.131);Ground_Mountain_2_3:(0.052, 0.990, -0.131);Ground_Mountain_2_3:(0.052, 0.990, -0.131);Ground_Mountain_2_3:(0.015, 0.999, -0.046);"
0.080,473.340,1051.835,153.469,45.050,23.493,-8.167,1.300,22.003,0.239,0.000,-0.098,4,23.237,3.527,0.996,"Ground_Mountain_2_3:(0.074, 0.989, -0.127);Ground_Mountain_2_3:(0.074, 0.989, -0.127);Ground_Mountain_2_3:(0.074, 0.989, -0.127);Ground_Mountain_2_3:(0.074, 0.989, -0.127);"
0.100,473.801,1051.674,153.501,45.484,23.491,-8.179,1.651,21.973,0.254,0.000,-0.101,4,26.458,3.311,0.995,"Ground_Mountain_2_3:(0.070, 0.989, -0.127);Ground_Mountain_2_3:(0.070, 0.989, -0.127);Ground_Mountain_2_3:(0.070, 0.989, -0.127);Ground_Mountain_2_3:(0.070, 0.989, -0.127);Ground_Mountain_2_3:(0.070, 0.989, -0.127);"
0.120,474.264,1051.511,153.542,45.920,23.494,-8.192,2.032,21.935,0.254,0.000,-0.104,4,28.778,2.708,0.994,"Ground_Mountain_2_3:(0.054, 0.990, -0.129);Ground_Mountain_2_3:(0.054, 0.990, -0.129);Ground_Mountain_2_3:(0.054, 0.990, -0.129);Ground_Mountain_2_3:(0.054, 0.990, -0.129);Ground_Mountain_2_3:(0.054, 0.990, -0.129);"
0.140,474.598,1051.349,153.590,46.355,23.497,-8.207,2.426,21.888,0.253,0.000,-0.107,4,29.479,2.000,0.993,"Ground_Mountain_2_3:(0.055, 0.990, -0.129);Ground_Mountain_2_3:(0.055, 0.990, -0.129);Ground_Mountain_2_3:(0.055, 0.990, -0.129);Ground_Mountain_2_3:(0.055, 0.990, -0.129);Ground_Mountain_2_3:(0.055, 0.990, -0.129);Ground_Mountain_2_3:(0.055, 0.990, -0.129);"
0.160,475.064,1051.185,153.646,46.790,23.499,-8.227,2.811,21.834,0.252,0.000,-0.109,4,28.991,1.666,0.992,"Ground_Mountain_2_3:(0.068, 0.990, -0.123);Ground_Mountain_2_3:(0.068, 0.990, -0.123);Ground_Mountain_2_3:(0.068, 0.990, -0.123);Ground_Mountain_2_3:(0.068, 0.990, -0.123);Ground_Mountain_2_3:(0.068, 0.990, -0.123);Ground_Mountain_2_3:(0.068, 0.990, -0.123);"
0.180,475.532,1051.021,153.709,47.224,23.502,-8.254,3.164,21.779,0.250,0.000,-0.110,4,27.417,1.517,0.991,"Ground_Mountain_2_3:(0.060, 0.990, -0.131);Ground_Mountain_2_3:(0.060, 0.990, -0.131);Ground_Mountain_2_3:(0.060, 0.990, -0.131);Ground_Mountain_2_3:(0.060, 0.990, -0.131);Ground_Mountain_2_3:(0.060, 0.990, -0.131);Ground_Mountain_2_3:(0.060, 0.990, -0.131);"
0.200,476.000,1050.856,153.778,47.658,23.503,-8.287,3.478,21.723,0.249,0.000,-0.112,4,25.419,0.855,0.991,"Ground_Mountain_2_3:(0.060, 0.990, -0.129);Ground_Mountain_2_3:(0.060, 0.990, -0.129);Ground_Mountain_2_3:(0.060, 0.990, -0.129);Ground_Mountain_2_3:(0.060, 0.990, -0.129);"
0.220,476.452,1050.690,153.853,48.091,23.504,-8.328,3.750,21.669,0.248,0.000,-0.112,4,23.343,0.663,0.991,"Ground_Mountain_2_3:(0.066, 0.989, -0.129);"
0.240,476.809,1050.524,153.933,48.523,23.503,-8.376,3.976,21.616,0.248,0.000,-0.113,4,20.984,0.491,0.991,""
0.260,477.278,1050.355,154.016,48.954,23.502,-8.437,4.153,21.565,0.248,0.000,-0.114,4,18.609,0.309,0.990,""
0.280,477.747,1050.186,154.101,49.385,23.500,-8.506,4.285,21.517,0.249,0.000,-0.113,4,16.305,0.260,0.990,""
0.300,478.217,1050.015,154.189,49.814,23.498,-8.583,4.375,21.471,0.250,0.000,-0.113,4,14.200,0.203,0.990,""
0.320,478.564,1049.842,154.277,50.243,23.495,-8.666,4.425,21.428,0.251,0.000,-0.113,4,12.111,0.205,0.990,""
0.340,479.034,1049.667,154.366,50.671,23.493,-8.752,4.440,21.388,0.252,0.000,-0.113,4,10.223,0.736,0.990,""
