t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.141,828.567,100.779,-119.194,15.582,13.504,0.700,7.745,0.000,0.000,-0.138,2,13.210,2.581,1.000,"Ground_Mountain_0_1:(-0.177, 0.977, -0.117);Ground_Mountain_0_1:(-0.177, 0.977, -0.117);Ground_Mountain_0_1:(-0.177, 0.977, -0.117);Ground_Mountain_0_1:(-0.177, 0.977, -0.117);"
0.040,148.519,828.829,100.792,-119.045,15.604,13.524,0.641,7.763,0.209,0.000,-0.143,2,5.772,3.247,0.998,"Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);Ground_Mountain_0_1:(-0.175, 0.977, -0.119);"
0.060,148.817,829.092,100.807,-118.895,15.612,13.527,0.800,7.772,0.198,0.000,-0.147,4,16.856,3.922,0.996,"Ground_Mountain_0_1:(-0.176, 0.977, -0.118);Ground_Mountain_0_1:(-0.176, 0.977, -0.118);Ground_Mountain_0_1:(-0.176, 0.977, -0.118);Ground_Mountain_0_1:(-0.176, 0.977, -0.118);Ground_Mountain_0_1:(-0.176, 0.977, -0.118);"
0.080,149.116,829.356,100.827,-118.745,15.615,13.515,1.062,7.777,0.194,0.000,-0.150,4,22.413,3.772,0.994,"Ground_Mountain_0_1:(-0.173, 0.978, -0.120);Ground_Mountain_0_1:(-0.173, 0.978, -0.120);Ground_Mountain_0_1:(-0.173, 0.978, -0.120);"
0.100,149.417,829.619,100.855,-118.593,15.614,13.483,1.400,7.778,0.193,0.000,-0.152,4,26.432,3.495,0.991,"Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);"
0.120,149.720,829.883,100.889,-118.441,15.613,13.433,1.784,7.777,0.193,0.000,-0.154,4,28.878,3.146,0.989,"Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);"
0.140,150.100,830.146,100.932,-118.288,15.612,13.367,2.189,7.776,0.193,0.000,-0.154,4,29.991,2.713,0.987,"Ground_Mountain_0_1:(-0.176, 0.977, -0.121);Ground_Mountain_0_1:(-0.176, 0.977, -0.121);Ground_Mountain_0_1:(-0.176, 0.977, -0.121);Ground_Mountain_0_1:(-0.176, 0.977, -0.121);"
0.160,150.405,830.408,100.983,-118.135,15.610,13.289,2.593,7.777,0.194,0.000,-0.154,4,30.040,2.302,0.985,"Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);"
0.180,150.712,830.670,101.043,-117.981,15.608,13.203,2.981,7.784,0.195,0.000,-0.154,4,29.271,1.883,0.983,"Ground_Mountain_0_1:(-0.169, 0.978, -0.123);Ground_Mountain_0_1:(-0.169, 0.978, -0.123);Ground_Mountain_0_1:(-0.169, 0.978, -0.123);"
0.200,151.020,830.930,101.109,-117.826,15.605,13.112,3.338,7.798,0.196,0.000,-0.154,4,27.767,1.596,0.982,""
0.220,151.329,831.188,101.181,-117.671,15.602,13.019,3.655,7.820,0.197,0.000,-0.153,4,25.749,1.288,0.980,""
0.240,151.639,831.445,101.260,-117.515,15.597,12.927,3.925,7.852,0.199,0.000,-0.152,4,23.441,0.998,0.980,""
0.260,152.010,831.701,101.342,-117.357,15.591,12.838,4.148,7.894,0.202,0.000,-0.150,4,20.984,0.785,0.979,""
0.280,152.319,831.955,101.429,-117.199,15.584,12.754,4.320,7.944,0.204,0.000,-0.148,4,18.440,0.620,0.978,""
0.300,152.629,832.208,101.517,-117.039,15.577,12.675,4.444,8.004,0.208,0.000,-0.146,4,15.991,0.445,0.978,""
0.320,152.939,832.460,101.608,-116.878,15.569,12.601,4.524,8.072,0.212,0.000,-0.144,4,13.683,0.328,0.978,""
0.340,153.250,832.710,101.699,-116.715,15.561,12.532,4.562,8.148,0.215,0.000,-0.142,4,11.575,0.249,0.977,""
0.360,153.611,832.960,101.790,-116.551,15.554,12.468,4.562,8.230,0.219,0.000,-0.139,4,9.649,0.203,0.977,""
0.380,153.921,833.208,101.881,-116.385,15.546,12.408,4.530,8.318,0.223,0.000,-0.137,4,8.003,0.126,0.977,""
0.400,154.231,833.455,101.970,-116.216,15.539,12.352,4.472,8.411,0.227,0.000,-0.135,4,6.650,0.077,0.977,""
0.420,154.541,833.701,102.058,-116.047,15.533,12.299,4.393,8.507,0.230,0.000,-0.132,4,5.557,0.098,0.977,""
0.440,154.851,833.946,102.144,-115.875,15.527,12.249,4.297,8.606,0.234,0.000,-0.129,4,4.673,0.039,0.977,""
0.460,155.205,834.190,102.228,-115.701,15.522,12.200,4.189,8.706,0.236,0.000,-0.126,4,4.110,0.013,0.977,""
0.480,155.515,834.433,102.309,-115.525,15.517,12.151,4.076,8.807,0.239,0.000,-0.123,4,3.785,0.040,0.977,""
0.500,155.825,834.676,102.388,-115.347,15.513,12.103,3.960,8.908,0.241,0.000,-0.120,4,3.637,0.004,0.977,""
0.520,156.135,834.917,102.465,-115.167,15.509,12.056,3.844,9.009,0.243,0.000,-0.117,4,3.619,0.031,0.977,""
0.540,156.445,835.157,102.540,-114.985,15.506,12.007,3.730,9.109,0.245,0.000,-0.114,4,3.757,0.066,0.977,""
0.560,156.755,835.397,102.612,-114.801,15.504,11.958,3.622,9.207,0.247,0.000,-0.110,4,4.041,0.090,0.977,""
0.580,157.097,835.635,102.683,-114.615,15.502,11.908,3.521,9.303,0.248,0.000,-0.107,4,4.421,0.117,0.977,""
0.600,157.407,835.873,102.751,-114.428,15.500,11.857,3.429,9.397,0.249,0.000,-0.104,4,4.828,0.101,0.977,""
0.620,157.717,836.109,102.818,-114.238,15.499,11.805,3.345,9.488,0.250,0.000,-0.100,4,5.296,0.125,0.978,""
0.640,158.026,836.345,102.884,-114.047,15.498,11.752,3.272,9.576,0.251,0.000,-0.097,4,5.799,0.135,0.978,""
0.660,158.336,836.579,102.948,-113.854,15.497,11.699,3.208,9.661,0.251,0.000,-0.093,4,6.316,0.128,0.978,""
0.680,158.672,836.812,103.011,-113.659,15.497,11.644,3.154,9.743,0.251,0.000,-0.090,4,6.800,0.116,0.978,""
0.700,158.982,837.044,103.073,-113.463,15.497,11.590,3.110,9.822,0.251,0.000,-0.086,4,7.294,0.126,0.978,""
0.720,159.292,837.275,103.135,-113.265,15.497,11.534,3.075,9.898,0.252,0.000,-0.083,4,7.776,0.128,0.978,""
0.740,159.602,837.505,103.196,-113.066,15.497,11.479,3.049,9.970,0.251,0.000,-0.079,4,8.226,0.135,0.978,""
0.760,159.912,837.734,103.256,-112.866,15.498,11.424,3.030,10.040,0.251,0.000,-0.076,4,8.619,0.129,0.978,""
0.780,160.222,837.962,103.317,-112.664,15.499,11.369,3.018,10.106,0.251,0.000,-0.072,4,8.954,0.130,0.978,""
0.800,160.553,838.188,103.377,-112.461,15.499,11.314,3.011,10.169,0.251,0.000,-0.069,4,9.251,0.137,0.978,""
0.820,160.863,838.414,103.437,-112.256,15.500,11.260,3.010,10.230,0.250,0.000,-0.065,4,9.521,0.132,0.978,""
0.840,161.173,838.638,103.498,-112.051,15.501,11.207,3.013,10.288,0.250,0.000,-0.062,4,9.729,0.114,0.978,""
0.860,161.483,838.862,103.558,-111.844,15.502,11.156,3.019,10.343,0.249,0.000,-0.058,4,9.883,0.116,0.978,""
0.880,161.793,839.084,103.619,-111.636,15.504,11.105,3.027,10.396,0.249,0.000,-0.055,4,10.004,0.117,0.978,""
0.900,162.104,839.305,103.679,-111.427,15.505,11.056,3.038,10.446,0.248,0.000,-0.051,4,10.109,0.111,0.978,""
0.920,162.428,839.526,103.740,-111.218,15.506,11.008,3.049,10.494,0.248,0.000,-0.048,4,10.177,0.109,0.978,""
0.940,162.738,839.745,103.802,-111.007,15.507,10.962,3.061,10.539,0.247,0.000,-0.045,4,10.218,0.105,0.979,""
0.960,163.048,839.964,103.863,-110.795,15.509,10.918,3.074,10.583,0.246,0.000,-0.041,4,10.232,0.099,0.979,""
0.980,163.359,840.182,103.925,-110.583,15.510,10.875,3.086,10.624,0.246,0.000,-0.038,4,10.226,0.099,0.979,""
1.000,163.669,840.398,103.987,-110.370,15.511,10.835,3.098,10.664,0.245,0.000,-0.034,4,10.207,0.096,0.979,""
1.020,163.989,840.614,104.049,-110.156,15.513,10.796,3.109,10.701,0.244,0.000,-0.031,4,10.156,0.080,0.979,""
1.040,164.299,840.830,104.111,-109.941,15.514,10.759,3.119,10.736,0.244,0.000,-0.028,4,10.094,0.075,0.979,""
1.060,164.610,841.045,104.174,-109.726,15.515,10.725,3.128,10.770,0.243,0.000,-0.025,4,10.032,0.071,0.979,""
1.080,164.920,841.259,104.237,-109.510,15.517,10.692,3.135,10.802,0.242,0.000,-0.022,4,9.972,0.067,0.979,""
1.100,165.230,841.472,104.300,-109.293,15.518,10.662,3.141,10.832,0.242,0.000,-0.018,4,9.922,0.065,0.979,""
1.120,165.541,841.685,104.362,-109.076,15.519,10.633,3.147,10.860,0.241,0.000,-0.015,4,9.882,0.051,0.979,""
1.140,165.856,841.897,104.425,-108.858,15.520,10.606,3.151,10.886,0.240,0.000,-0.012,4,9.831,0.048,0.979,""
1.160,166.167,842.109,104.489,-108.640,15.521,10.581,3.155,10.910,0.240,0.000,-0.009,4,9.784,0.046,0.979,""
1.180,166.477,842.320,104.552,-108.422,15.523,10.559,3.157,10.932,0.239,0.000,-0.006,4,9.740,0.043,0.979,""
