t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.102,1041.134,153.424,39.396,15.712,-5.488,0.413,14.717,0.000,0.000,-0.090,2,11.991,3.539,1.000,"Ground_Mountain_2_3:(0.049, 0.987, -0.152);Ground_Mountain_2_3:(0.049, 0.987, -0.152);Ground_Mountain_2_3:(0.049, 0.987, -0.152);Ground_Mountain_2_3:(0.049, 0.987, -0.152);"
0.040,472.401,1041.027,153.433,39.682,15.720,-5.496,0.350,14.732,0.144,0.000,-0.093,2,6.453,1.680,0.999,"Ground_Mountain_2_3:(0.049, 0.987, -0.152);Ground_Mountain_2_3:(0.049, 0.987, -0.152);Ground_Mountain_2_3:(0.049, 0.987, -0.152);Ground_Mountain_2_3:(0.049, 0.987, -0.152);"
0.060,472.844,1040.919,153.442,39.970,15.720,-5.500,0.488,14.733,0.140,0.000,-0.097,4,16.537,2.875,0.997,"Ground_Mountain_2_3:(0.053, 0.987, -0.151);Ground_Mountain_2_3:(0.053, 0.987, -0.151);Ground_Mountain_2_3:(0.053, 0.987, -0.151);Ground_Mountain_2_3:(0.053, 0.987, -0.151);Ground_Mountain_2_3:(0.053, 0.987, -0.151);Ground_Mountain_2_3:(0.053, 0.987, -0.151);"
0.080,473.150,1040.811,153.457,40.259,15.713,-5.499,0.718,14.718,0.140,0.000,-0.099,4,20.578,2.741,0.996,"Ground_Mountain_2_3:(0.044, 0.987, -0.157);Ground_Mountain_2_3:(0.044, 0.987, -0.157);Ground_Mountain_2_3:(0.044, 0.987, -0.157);Ground_Mountain_2_3:(0.044, 0.987, -0.157);Ground_Mountain_2_3:(0.044, 0.987, -0.157);Ground_Mountain_2_3:(0.044, 0.987, -0.157);"
0.100,473.456,1040.702,153.476,40.548,15.704,-5.498,1.004,14.690,0.144,0.000,-0.101,4,23.271,2.592,0.995,"Ground_Mountain_2_3:(0.046, 0.986, -0.159);Ground_Mountain_2_3:(0.046, 0.986, -0.159);Ground_Mountain_2_3:(0.046, 0.986, -0.159);Ground_Mountain_2_3:(0.046, 0.986, -0.159);Ground_Mountain_2_3:(0.046, 0.986, -0.159);"
0.120,473.764,1040.593,153.502,40.837,15.698,-5.501,1.314,14.653,0.148,0.000,-0.103,4,24.795,2.326,0.993,"Ground_Mountain_2_3:(0.048, 0.986, -0.161);Ground_Mountain_2_3:(0.048, 0.986, -0.161);Ground_Mountain_2_3:(0.048, 0.986, -0.161);Ground_Mountain_2_3:(0.048, 0.986, -0.161);"
0.140,474.074,1040.484,153.534,41.126,15.695,-5.509,1.626,14.611,0.151,0.000,-0.105,4,25.421,1.951,0.992,"Ground_Mountain_2_3:(0.057, 0.987, -0.151);Ground_Mountain_2_3:(0.057, 0.987, -0.151);Ground_Mountain_2_3:(0.057, 0.987, -0.151);Ground_Mountain_2_3:(0.057, 0.987, -0.151);Ground_Mountain_2_3:(0.057, 0.987, -0.151);Ground_Mountain_2_3:(0.057, 0.987, -0.151);"
0.160,474.384,1040.375,153.573,41.414,15.692,-5.519,1.938,14.562,0.153,0.000,-0.106,4,25.402,1.453,0.991,"Ground_Mountain_2_3:(0.055, 0.986, -0.154);Ground_Mountain_2_3:(0.055, 0.986, -0.154);Ground_Mountain_2_3:(0.055, 0.986, -0.154);Ground_Mountain_2_3:(0.055, 0.986, -0.154);"
0.180,474.826,1040.265,153.617,41.703,15.688,-5.532,2.236,14.511,0.154,0.000,-0.107,4,24.769,1.132,0.990,"Ground_Mountain_2_3:(0.049, 0.986, -0.161);Ground_Mountain_2_3:(0.049, 0.986, -0.161);"
0.200,475.137,1040.154,153.667,41.990,15.685,-5.549,2.512,14.458,0.156,0.000,-0.108,4,23.634,0.993,0.990,"Ground_Mountain_2_3:(0.049, 0.986, -0.161);Ground_Mountain_2_3:(0.049, 0.986, -0.161);"
0.220,475.449,1040.043,153.722,42.277,15.681,-5.571,2.756,14.406,0.157,0.000,-0.108,4,22.085,0.787,0.989,""
0.240,475.761,1039.932,153.781,42.563,15.677,-5.597,2.966,14.357,0.159,0.000,-0.108,4,20.338,0.691,0.989,""
0.260,476.074,1039.820,153.844,42.849,15.673,-5.627,3.137,14.310,0.161,0.000,-0.108,4,18.428,0.563,0.988,""
0.280,476.386,1039.707,153.909,43.134,15.668,-5.661,3.271,14.268,0.164,0.000,-0.108,4,16.515,0.461,0.988,""
0.300,476.822,1039.594,153.976,43.418,15.663,-5.700,3.367,14.229,0.166,0.000,-0.108,4,14.646,0.408,0.988,""
0.320,477.134,1039.479,154.045,43.701,15.658,-5.743,3.429,14.195,0.168,0.000,-0.107,4,12.886,0.343,0.988,""
0.340,477.447,1039.364,154.114,43.984,15.653,-5.791,3.459,14.164,0.171,0.000,-0.107,4,11.309,0.217,0.987,""
0.360,477.759,1039.247,154.183,44.267,15.648,-5.842,3.464,14.136,0.174,0.000,-0.106,4,9.989,0.249,0.987,""
0.380,478.072,1039.129,154.252,44.549,15.642,-5.896,3.445,14.111,0.176,0.000,-0.106,4,8.836,0.223,0.987,""
0.400,478.499,1039.010,154.320,44.831,15.637,-5.952,3.407,14.088,0.179,0.000,-0.104,4,7.852,0.186,0.987,""
0.420,478.811,1038.890,154.387,45.112,15.633,-6.011,3.354,14.067,0.181,0.000,-0.104,4,7.045,0.178,0.987,""
0.440,479.123,1038.769,154.453,45.393,15.628,-6.071,3.288,14.048,0.184,0.000,-0.103,4,6.418,0.063,0.987,""
0.460,479.436,1038.647,154.517,45.674,15.624,-6.132,3.214,14.030,0.186,0.000,-0.102,4,5.980,0.080,0.987,""
0.480,479.748,1038.523,154.580,45.954,15.620,-6.195,3.134,14.013,0.188,0.000,-0.101,4,5.705,0.112,0.987,""
0.500,480.060,1038.398,154.641,46.234,15.617,-6.257,3.053,13.996,0.190,0.000,-0.100,4,5.570,0.059,0.987,""
0.520,480.481,1038.272,154.700,46.514,15.614,-6.321,2.970,13.979,0.191,0.000,-0.098,4,5.523,0.028,0.987,""
0.540,480.793,1038.145,154.758,46.793,15.611,-6.385,2.889,13.961,0.193,0.000,-0.097,4,5.591,0.058,0.987,""
0.560,481.105,1038.016,154.814,47.072,15.609,-6.450,2.810,13.942,0.194,0.000,-0.096,4,5.746,0.149,0.987,""
0.580,481.417,1037.886,154.869,47.351,15.606,-6.514,2.736,13.923,0.196,0.000,-0.095,4,5.963,0.173,0.987,""
0.600,481.729,1037.755,154.923,47.629,15.604,-6.578,2.668,13.903,0.197,0.000,-0.093,4,6.238,0.136,0.987,""
0.620,482.041,1037.622,154.975,47.906,15.602,-6.642,2.606,13.881,0.198,0.000,-0.092,4,6.580,0.206,0.987,""
0.640,482.454,1037.489,155.026,48.184,15.600,-6.704,2.554,13.859,0.199,0.000,-0.090,4,7.047,0.188,0.987,""
0.660,482.766,1037.354,155.076,48.460,15.599,-6.766,2.510,13.835,0.200,0.000,-0.089,4,7.492,0.301,0.987,""
0.680,483.078,1037.217,155.125,48.737,15.597,-6.827,2.474,13.810,0.201,0.000,-0.088,4,7.858,0.142,0.987,""
0.700,483.390,1037.080,155.174,49.013,15.596,-6.888,2.443,13.784,0.201,0.000,-0.086,4,8.143,0.144,0.987,""
0.720,483.702,1036.941,155.223,49.288,15.595,-6.947,2.417,13.757,0.202,0.000,-0.085,4,8.410,0.148,0.987,""
0.740,484.014,1036.801,155.271,49.563,15.594,-7.006,2.398,13.730,0.203,0.000,-0.084,4,8.725,0.201,0.987,""
0.760,484.422,1036.660,155.318,49.837,15.593,-7.063,2.385,13.702,0.203,0.000,-0.081,4,9.016,0.205,0.987,""
0.780,484.734,1036.518,155.366,50.111,15.593,-7.120,2.376,13.673,0.203,0.000,-0.080,4,9.274,0.202,0.987,""
0.800,485.046,1036.375,155.413,50.384,15.592,-7.175,2.373,13.644,0.204,0.000,-0.079,4,9.497,0.035,0.987,""
0.820,485.358,1036.230,155.461,50.656,15.592,-7.230,2.373,13.615,0.204,0.000,-0.078,4,9.674,0.037,0.987,""
0.840,485.670,1036.085,155.508,50.928,15.591,-7.284,2.375,13.585,0.204,0.000,-0.076,4,9.818,0.059,0.987,""
0.860,485.982,1035.938,155.556,51.199,15.591,-7.336,2.380,13.555,0.204,0.000,-0.075,4,9.922,0.175,0.987,""
0.880,486.384,1035.791,155.604,51.470,15.591,-7.388,2.385,13.526,0.204,0.000,-0.073,4,9.945,0.182,0.987,""
0.900,486.696,1035.642,155.651,51.740,15.591,-7.439,2.389,13.497,0.204,0.000,-0.072,4,9.948,0.172,0.987,""
