course,vehicle,lip,direction,target,line,completed,minUp,recovered,awards
StreetLoopGreybox,original,213,1,16,0,True,0.932,True,1
StreetLoopGreybox,original,213,1,16,-2,True,0.935,True,1
StreetLoopGreybox,original,213,1,16,2,True,0.929,True,1
StreetLoopGreybox,original,213,1,16,-15.075,False,0.876,True,0
StreetLoopGreybox,original,213,1,16,15.075,False,0.398,True,0
StreetLoopGreybox,original,213,1,24,0,True,0.935,True,1
StreetLoopGreybox,original,213,1,24,-2,True,0.937,True,1
StreetLoopGreybox,original,213,1,24,2,True,0.931,True,1
StreetLoopGreybox,original,213,1,24,-15.075,False,0.899,True,0
StreetLoopGreybox,original,213,1,24,15.075,False,0.798,True,0
StreetLoopGreybox,original,213,1,32,0,True,0.937,True,1
StreetLoopGreybox,original,213,1,32,-2,True,0.939,True,0
StreetLoopGreybox,original,213,1,32,2,True,0.934,True,1
StreetLoopGreybox,original,213,1,32,-15.075,True,0.466,True,0
StreetLoopGreybox,original,213,1,32,15.075,False,0.289,True,0
StreetLoopGreybox,original,537,1,16,0,True,0.953,True,1
StreetLoopGreybox,original,537,1,16,-2,True,0.952,True,1
StreetLoopGreybox,original,537,1,16,2,True,0.953,True,1
StreetLoopGreybox,original,537,1,16,-6.075,True,0.952,True,1
StreetLoopGreybox,original,537,1,16,6.075,True,0.955,True,1
StreetLoopGreybox,original,537,1,24,0,True,0.955,True,1
StreetLoopGreybox,original,537,1,24,-2,True,0.954,True,1
StreetLoopGreybox,original,537,1,24,2,True,0.955,True,1
StreetLoopGreybox,original,537,1,24,-6.075,True,0.953,True,1
StreetLoopGreybox,original,537,1,24,6.075,True,0.956,True,1
StreetLoopGreybox,original,537,1,32,0,False,0.944,True,1
StreetLoopGreybox,original,537,1,32,-2,True,0.955,True,1
StreetLoopGreybox,original,537,1,32,2,True,0.515,True,1
StreetLoopGreybox,original,537,1,32,-6.075,True,0.955,True,1
StreetLoopGreybox,original,537,1,32,6.075,False,-0.033,True,0
StreetLoopGreybox,tourer,213,1,16,0,True,0.933,True,1
StreetLoopGreybox,tourer,213,1,16,-2,True,0.935,True,1
StreetLoopGreybox,tourer,213,1,16,2,True,0.929,True,1
StreetLoopGreybox,tourer,213,1,16,-15,False,0.339,True,0
StreetLoopGreybox,tourer,213,1,16,15,False,0.462,True,0
StreetLoopGreybox,tourer,213,1,24,0,True,0.935,True,1
StreetLoopGreybox,tourer,213,1,24,-2,True,0.937,True,1
StreetLoopGreybox,tourer,213,1,24,2,True,0.932,True,1
StreetLoopGreybox,tourer,213,1,24,-15,False,0.590,True,0
StreetLoopGreybox,tourer,213,1,24,15,False,0.580,True,0
StreetLoopGreybox,tourer,213,1,32,0,True,0.937,True,1
StreetLoopGreybox,tourer,213,1,32,-2,True,0.940,True,1
StreetLoopGreybox,tourer,213,1,32,2,True,0.935,True,1
StreetLoopGreybox,tourer,213,1,32,-15,False,0.658,True,0
StreetLoopGreybox,tourer,213,1,32,15,False,0.425,True,0
StreetLoopGreybox,tourer,537,1,16,0,True,0.953,True,1
StreetLoopGreybox,tourer,537,1,16,-2,True,0.953,True,1
StreetLoopGreybox,tourer,537,1,16,2,True,0.954,True,1
StreetLoopGreybox,tourer,537,1,16,-6,True,0.952,True,1
StreetLoopGreybox,tourer,537,1,16,6,True,0.955,True,1
StreetLoopGreybox,tourer,537,1,24,0,True,0.955,True,1
StreetLoopGreybox,tourer,537,1,24,-2,True,0.954,True,1
StreetLoopGreybox,tourer,537,1,24,2,True,0.955,True,1
StreetLoopGreybox,tourer,537,1,24,-6,True,0.954,True,1
StreetLoopGreybox,tourer,537,1,24,6,True,0.956,True,1
StreetLoopGreybox,tourer,537,1,32,0,True,0.426,True,1
StreetLoopGreybox,tourer,537,1,32,-2,True,0.955,True,1
StreetLoopGreybox,tourer,537,1,32,2,False,0.651,True,1
StreetLoopGreybox,tourer,537,1,32,-6,True,0.955,True,1
StreetLoopGreybox,tourer,537,1,32,6,False,0.528,True,0
StreetLoopGreybox,moto,213,1,16,0,True,0.887,True,1
StreetLoopGreybox,moto,213,1,16,-2,True,0.915,True,1
StreetLoopGreybox,moto,213,1,16,2,True,0.908,True,1
StreetLoopGreybox,moto,213,1,16,-15.675,False,-0.257,True,0
StreetLoopGreybox,moto,213,1,16,15.675,False,0.260,True,0
StreetLoopGreybox,moto,213,1,24,0,True,0.932,True,1
StreetLoopGreybox,moto,213,1,24,-2,True,0.910,True,1
StreetLoopGreybox,moto,213,1,24,2,True,0.909,True,1
StreetLoopGreybox,moto,213,1,24,-15.675,False,0.978,True,0
StreetLoopGreybox,moto,213,1,24,15.675,False,0.975,True,0
StreetLoopGreybox,moto,213,1,32,0,True,0.934,True,1
StreetLoopGreybox,moto,213,1,32,-2,True,0.878,True,1
StreetLoopGreybox,moto,213,1,32,2,True,0.929,True,1
StreetLoopGreybox,moto,213,1,32,-15.675,False,0.845,True,0
StreetLoopGreybox,moto,213,1,32,15.675,True,0.358,True,0
StreetLoopGreybox,moto,537,1,16,0,True,0.836,True,1
StreetLoopGreybox,moto,537,1,16,-2,True,0.929,True,1
StreetLoopGreybox,moto,537,1,16,2,True,0.888,True,1
StreetLoopGreybox,moto,537,1,16,-6.675,True,0.840,True,1
StreetLoopGreybox,moto,537,1,16,6.675,True,0.875,True,1
StreetLoopGreybox,moto,537,1,24,0,True,0.914,True,1
StreetLoopGreybox,moto,537,1,24,-2,True,0.941,True,1
