t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.138,830.554,100.785,-122.669,15.611,13.535,0.663,7.752,0.000,0.000,-0.152,2,13.717,4.275,0.998,"Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);"
0.040,148.338,830.816,100.799,-122.521,15.615,13.552,0.578,7.771,0.195,0.000,-0.158,2,5.146,3.856,0.996,"Ground_Mountain_0_1:(-0.164, 0.980, -0.113);Ground_Mountain_0_1:(-0.164, 0.980, -0.113);Ground_Mountain_0_1:(-0.164, 0.980, -0.113);Ground_Mountain_0_1:(-0.164, 0.980, -0.113);"
0.060,148.635,831.081,100.814,-122.371,15.602,13.543,0.784,7.761,0.193,0.000,-0.164,4,18.499,4.678,0.994,"Ground_Mountain_0_1:(-0.161, 0.981, -0.111);Ground_Mountain_0_1:(-0.161, 0.981, -0.111);Ground_Mountain_0_1:(-0.161, 0.981, -0.111);"
0.080,148.936,831.346,100.835,-122.220,15.589,13.518,1.075,7.744,0.199,0.000,-0.168,4,22.770,3.878,0.992,"Ground_Mountain_0_1:(-0.162, 0.980, -0.112);Ground_Mountain_0_1:(-0.162, 0.980, -0.112);Ground_Mountain_0_1:(-0.162, 0.980, -0.112);Ground_Mountain_0_1:(-0.162, 0.980, -0.112);"
0.100,149.238,831.611,100.862,-122.069,15.583,13.483,1.401,7.732,0.205,0.000,-0.171,4,25.453,3.280,0.990,"Ground_Mountain_0_1:(-0.162, 0.981, -0.110);Ground_Mountain_0_1:(-0.162, 0.981, -0.110);Ground_Mountain_0_1:(-0.162, 0.981, -0.110);Ground_Mountain_0_1:(-0.162, 0.981, -0.110);"
0.120,149.542,831.876,100.897,-121.916,15.581,13.437,1.745,7.723,0.208,0.000,-0.174,4,26.936,2.645,0.988,"Ground_Mountain_0_1:(-0.157, 0.981, -0.111);Ground_Mountain_0_1:(-0.157, 0.981, -0.111);Ground_Mountain_0_1:(-0.157, 0.981, -0.111);Ground_Mountain_0_1:(-0.157, 0.981, -0.111);Ground_Mountain_0_1:(-0.157, 0.981, -0.111);"
0.140,149.849,832.141,100.938,-121.764,15.580,13.382,2.097,7.715,0.210,0.000,-0.175,4,27.383,2.108,0.986,"Ground_Mountain_0_1:(-0.157, 0.981, -0.115);Ground_Mountain_0_1:(-0.157, 0.981, -0.115);Ground_Mountain_0_1:(-0.157, 0.981, -0.115);Ground_Mountain_0_1:(-0.157, 0.981, -0.115);Ground_Mountain_0_1:(-0.157, 0.981, -0.115);"
0.160,150.079,832.405,100.986,-121.610,15.578,13.319,2.440,7.713,0.210,0.000,-0.177,4,26.987,1.581,0.985,"Ground_Mountain_0_1:(-0.158, 0.981, -0.116);Ground_Mountain_0_1:(-0.158, 0.981, -0.116);Ground_Mountain_0_1:(-0.158, 0.981, -0.116);Ground_Mountain_0_1:(-0.158, 0.981, -0.116);"
0.180,150.387,832.668,101.041,-121.457,15.577,13.250,2.763,7.718,0.211,0.000,-0.177,4,25.969,1.280,0.984,"Ground_Mountain_0_1:(-0.160, 0.980, -0.117);Ground_Mountain_0_1:(-0.160, 0.980, -0.117);Ground_Mountain_0_1:(-0.160, 0.980, -0.117);Ground_Mountain_0_1:(-0.160, 0.980, -0.117);"
0.200,150.695,832.930,101.102,-121.303,15.576,13.180,3.056,7.731,0.211,0.000,-0.178,4,24.495,0.967,0.983,""
