t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.138,830.817,100.801,-122.518,31.117,26.975,1.496,15.462,0.000,0.000,-0.178,2,13.717,4.275,0.997,"Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);Ground_Mountain_0_1:(-0.164, 0.980, -0.112);"
0.040,148.638,831.341,100.837,-122.219,31.030,26.951,1.676,15.428,0.442,0.000,-0.183,3,11.694,9.005,0.993,"Ground_Mountain_0_1:(-0.161, 0.981, -0.113);Ground_Mountain_0_1:(-0.161, 0.981, -0.113);Ground_Mountain_0_1:(-0.161, 0.981, -0.113);Ground_Mountain_0_1:(-0.161, 0.981, -0.113);"
0.060,149.236,831.869,100.882,-121.918,30.927,26.868,2.299,15.346,0.485,0.000,-0.191,4,31.536,8.361,0.988,"Ground_Mountain_0_1:(-0.162, 0.981, -0.109);Ground_Mountain_0_1:(-0.162, 0.981, -0.109);Ground_Mountain_0_1:(-0.162, 0.981, -0.109);Ground_Mountain_0_1:(-0.162, 0.981, -0.109);"
0.080,149.838,832.395,100.940,-121.618,30.850,26.774,2.933,15.290,0.537,0.000,-0.197,4,36.141,7.391,0.983,"Ground_Mountain_0_1:(-0.158, 0.981, -0.114);Ground_Mountain_0_1:(-0.158, 0.981, -0.114);Ground_Mountain_0_1:(-0.158, 0.981, -0.114);Ground_Mountain_0_1:(-0.158, 0.981, -0.114);Ground_Mountain_0_1:(-0.158, 0.981, -0.114);Ground_Mountain_0_1:(-0.158, 0.981, -0.114);"
0.100,150.365,832.918,101.017,-121.319,30.708,26.567,3.958,15.096,0.575,0.000,-0.202,4,39.419,6.549,0.978,"Ground_Mountain_0_1:(-0.161, 0.980, -0.116);Ground_Mountain_0_1:(-0.161, 0.980, -0.116);Ground_Mountain_0_1:(-0.161, 0.980, -0.116);Ground_Mountain_0_1:(-0.161, 0.980, -0.116);Ground_Mountain_0_1:(-0.161, 0.980, -0.116);Ground_Mountain_0_1:(-0.161, 0.980, -0.116);"
0.120,150.968,833.435,101.149,-121.025,30.386,25.839,6.232,14.730,0.646,0.000,-0.208,4,38.753,7.066,0.980,"Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);"
0.140,151.575,833.951,101.281,-120.731,30.424,25.781,6.599,14.759,0.807,0.000,-0.216,4,27.909,0.620,0.979,"Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);Ground_Mountain_0_1:(-0.163, 0.980, -0.111);"
0.160,152.101,834.466,101.419,-120.435,30.459,25.732,6.895,14.795,0.788,0.000,-0.223,4,24.331,0.368,0.979,"Ground_Mountain_0_1:(-0.161, 0.981, -0.112);Ground_Mountain_0_1:(-0.161, 0.981, -0.112);Ground_Mountain_0_1:(-0.161, 0.981, -0.112);Ground_Mountain_0_1:(-0.161, 0.981, -0.112);Ground_Mountain_0_1:(-0.161, 0.981, -0.112);Ground_Mountain_0_1:(-0.161, 0.981, -0.112);"
0.180,152.707,834.980,101.561,-120.138,30.490,25.688,7.119,14.847,0.770,0.000,-0.227,4,20.689,0.230,0.979,"Ground_Mountain_0_1:(-0.161, 0.981, -0.108);"
0.200,153.313,835.493,101.706,-119.840,30.518,25.645,7.274,14.921,0.755,0.000,-0.229,4,17.192,0.129,0.980,""
0.220,153.843,836.006,101.854,-119.540,30.542,25.600,7.368,15.019,0.741,0.000,-0.231,4,13.995,0.134,0.980,""
0.240,154.449,836.517,102.002,-119.238,30.562,25.549,7.409,15.142,0.729,0.000,-0.230,4,11.294,0.211,0.980,""
0.260,155.055,837.027,102.150,-118.932,30.580,25.489,7.406,15.290,0.719,0.000,-0.228,4,8.994,0.151,0.980,""
0.280,155.590,837.536,102.298,-118.623,30.594,25.420,7.363,15.464,0.710,0.000,-0.227,4,6.998,0.115,0.980,""
0.300,156.196,838.043,102.443,-118.310,30.606,25.339,7.290,15.660,0.703,0.000,-0.222,4,5.435,0.110,0.980,""
0.320,156.803,838.549,102.587,-117.993,30.615,25.246,7.194,15.877,0.697,0.000,-0.217,4,4.230,0.128,0.980,""
0.340,157.341,839.052,102.729,-117.672,30.622,25.139,7.084,16.111,0.692,0.000,-0.213,4,3.515,0.154,0.980,""
0.360,157.948,839.552,102.868,-117.345,30.627,25.020,6.964,16.362,0.689,0.000,-0.207,4,2.999,0.118,0.980,""
