t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.141,828.697,100.787,-119.119,23.324,20.206,1.143,11.596,0.000,0.000,-0.148,2,13.210,2.581,0.999,"Ground_Mountain_0_1:(-0.177, 0.977, -0.117);Ground_Mountain_0_1:(-0.177, 0.977, -0.117);Ground_Mountain_0_1:(-0.177, 0.977, -0.117);Ground_Mountain_0_1:(-0.177, 0.977, -0.117);"
0.040,148.668,829.089,100.809,-118.897,23.307,20.210,1.107,11.588,0.338,0.000,-0.153,2,3.007,5.933,0.996,"Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);Ground_Mountain_0_1:(-0.176, 0.977, -0.119);"
0.060,149.113,829.483,100.838,-118.673,23.268,20.178,1.514,11.560,0.347,0.000,-0.158,4,24.811,6.657,0.993,"Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);Ground_Mountain_0_1:(-0.173, 0.978, -0.118);"
0.080,149.562,829.876,100.878,-118.448,23.229,20.114,2.077,11.523,0.366,0.000,-0.162,4,32.976,6.058,0.989,"Ground_Mountain_0_1:(-0.173, 0.978, -0.120);Ground_Mountain_0_1:(-0.173, 0.978, -0.120);Ground_Mountain_0_1:(-0.173, 0.978, -0.120);"
0.100,150.088,830.269,100.930,-118.222,23.208,20.035,2.645,11.508,0.386,0.000,-0.165,4,36.182,5.368,0.984,"Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);"
0.120,150.541,830.662,100.993,-117.995,23.202,19.938,3.212,11.507,0.396,0.000,-0.167,4,38.117,4.482,0.981,"Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);"
0.140,150.996,831.054,101.068,-117.767,23.199,19.816,3.800,11.510,0.399,0.000,-0.168,4,39.345,3.684,0.978,"Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);Ground_Mountain_0_1:(-0.169, 0.978, -0.122);"
0.160,151.454,831.443,101.158,-117.537,23.170,19.617,4.552,11.482,0.400,0.000,-0.169,4,39.598,2.968,0.977,"Ground_Mountain_0_1:(-0.168, 0.978, -0.122);Ground_Mountain_0_1:(-0.168, 0.978, -0.122);Ground_Mountain_0_1:(-0.168, 0.978, -0.122);Ground_Mountain_0_1:(-0.168, 0.978, -0.122);Ground_Mountain_0_1:(-0.168, 0.978, -0.122);Ground_Mountain_0_1:(-0.168, 0.978, -0.122);"
0.180,151.974,831.832,101.262,-117.308,23.164,19.450,5.158,11.497,0.415,0.000,-0.169,4,37.189,1.852,0.976,"Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);Ground_Mountain_0_1:(-0.175, 0.977, -0.120);"
0.200,152.434,832.217,101.374,-117.077,23.172,19.317,5.600,11.547,0.418,0.000,-0.169,4,32.039,0.815,0.976,"Ground_Mountain_0_1:(-0.179, 0.977, -0.120);Ground_Mountain_0_1:(-0.179, 0.977, -0.120);Ground_Mountain_0_1:(-0.179, 0.977, -0.120);Ground_Mountain_0_1:(-0.179, 0.977, -0.120);Ground_Mountain_0_1:(-0.179, 0.977, -0.120);Ground_Mountain_0_1:(-0.179, 0.977, -0.120);"
