t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.101,1052.371,153.406,43.604,15.726,-5.480,0.361,14.736,0.000,0.000,-0.078,2,10.740,3.269,1.000,"Ground_Mountain_2_3:(0.052, 0.989, -0.137);Ground_Mountain_2_3:(0.052, 0.989, -0.137);Ground_Mountain_2_3:(0.052, 0.989, -0.137);Ground_Mountain_2_3:(0.000, 1.000, 0.000);Ground_Mountain_2_3:(0.000, 1.000, 0.000);"
0.040,472.407,1052.263,153.411,43.893,15.740,-5.490,0.287,14.751,0.137,0.000,-0.081,2,5.910,2.263,0.999,"Ground_Mountain_2_3:(0.054, 0.989, -0.138);Ground_Mountain_2_3:(0.054, 0.989, -0.138);Ground_Mountain_2_3:(0.054, 0.989, -0.138);Ground_Mountain_2_3:(0.054, 0.989, -0.138);Ground_Mountain_2_3:(0.005, 1.000, -0.016);"
0.060,472.665,1052.156,153.419,44.182,15.746,-5.500,0.390,14.756,0.130,0.000,-0.083,4,14.806,2.850,0.999,"Ground_Mountain_2_3:(0.051, 0.990, -0.134);Ground_Mountain_2_3:(0.051, 0.990, -0.134);Ground_Mountain_2_3:(0.051, 0.990, -0.134);Ground_Mountain_2_3:(0.051, 0.990, -0.134);Ground_Mountain_2_3:(0.011, 0.999, -0.034);"
0.080,472.880,1052.047,153.430,44.472,15.747,-5.508,0.563,14.750,0.127,0.000,-0.086,4,18.353,2.677,0.998,"Ground_Mountain_2_3:(0.051, 0.990, -0.132);Ground_Mountain_2_3:(0.051, 0.990, -0.132);Ground_Mountain_2_3:(0.051, 0.990, -0.132);Ground_Mountain_2_3:(0.051, 0.990, -0.132);"
0.100,473.188,1051.939,153.445,44.763,15.746,-5.516,0.790,14.735,0.126,0.000,-0.088,4,21.053,2.089,0.997,"Ground_Mountain_2_3:(0.051, 0.990, -0.129);Ground_Mountain_2_3:(0.051, 0.990, -0.129);Ground_Mountain_2_3:(0.051, 0.990, -0.129);"
0.120,473.496,1051.830,153.466,45.054,15.744,-5.523,1.053,14.712,0.127,0.000,-0.090,4,22.843,1.861,0.996,"Ground_Mountain_2_3:(0.073, 0.989, -0.128);Ground_Mountain_2_3:(0.073, 0.989, -0.128);Ground_Mountain_2_3:(0.073, 0.989, -0.128);Ground_Mountain_2_3:(0.073, 0.989, -0.128);"
0.140,473.806,1051.721,153.492,45.344,15.742,-5.529,1.334,14.681,0.128,0.000,-0.091,4,23.768,1.526,0.995,"Ground_Mountain_2_3:(0.051, 0.990, -0.129);Ground_Mountain_2_3:(0.051, 0.990, -0.129);Ground_Mountain_2_3:(0.051, 0.990, -0.129);"
0.160,474.117,1051.612,153.525,45.635,15.739,-5.536,1.620,14.645,0.129,0.000,-0.092,4,24.098,1.345,0.994,"Ground_Mountain_2_3:(0.053, 0.990, -0.130);Ground_Mountain_2_3:(0.053, 0.990, -0.130);Ground_Mountain_2_3:(0.053, 0.990, -0.130);Ground_Mountain_2_3:(0.053, 0.990, -0.130);Ground_Mountain_2_3:(0.053, 0.990, -0.130);"
0.180,474.428,1051.502,153.562,45.925,15.736,-5.544,1.898,14.606,0.130,0.000,-0.092,4,23.674,1.354,0.993,""
0.200,474.609,1051.392,153.605,46.214,15.733,-5.555,2.157,14.564,0.132,0.000,-0.094,4,22.772,1.128,0.993,""
0.220,474.922,1051.281,153.653,46.503,15.729,-5.569,2.390,14.522,0.133,0.000,-0.094,4,21.515,0.883,0.992,""
0.240,475.235,1051.170,153.704,46.792,15.725,-5.586,2.592,14.481,0.135,0.000,-0.095,4,19.857,0.992,0.992,""
0.260,475.548,1051.059,153.759,47.080,15.720,-5.607,2.757,14.443,0.138,0.000,-0.095,4,18.045,0.839,0.991,""
0.280,475.861,1050.947,153.817,47.368,15.715,-5.631,2.886,14.408,0.140,0.000,-0.095,4,16.232,0.674,0.991,""
0.300,476.175,1050.834,153.877,47.655,15.710,-5.659,2.985,14.375,0.142,0.000,-0.095,4,14.658,0.562,0.991,""
0.320,476.452,1050.721,153.938,47.941,15.704,-5.691,3.053,14.345,0.145,0.000,-0.094,4,13.123,0.455,0.990,""
0.340,476.674,1050.607,153.999,48.228,15.698,-5.727,3.091,14.318,0.148,0.000,-0.095,4,11.628,0.370,0.990,""
0.360,476.988,1050.492,154.061,48.514,15.692,-5.770,3.101,14.293,0.151,0.000,-0.094,4,10.243,0.254,0.990,""
0.380,477.302,1050.376,154.123,48.799,15.686,-5.816,3.089,14.270,0.154,0.000,-0.094,4,9.083,0.249,0.990,""
0.400,477.615,1050.259,154.184,49.084,15.681,-5.865,3.057,14.250,0.157,0.000,-0.094,4,8.104,0.249,0.990,""
0.420,477.929,1050.141,154.245,49.369,15.676,-5.916,3.009,14.231,0.160,0.000,-0.093,4,7.332,0.230,0.990,""
0.440,478.243,1050.022,154.304,49.653,15.672,-5.969,2.952,14.213,0.162,0.000,-0.092,4,6.784,0.199,0.990,""
0.460,478.435,1049.902,154.361,49.937,15.668,-6.022,2.885,14.196,0.164,0.000,-0.092,4,6.291,0.287,0.990,""
0.480,478.748,1049.781,154.417,50.221,15.664,-6.076,2.812,14.180,0.166,0.000,-0.091,4,5.963,0.267,0.990,""
0.500,479.061,1049.658,154.472,50.504,15.661,-6.133,2.734,14.164,0.168,0.000,-0.090,4,5.768,0.162,0.990,""
0.520,479.374,1049.535,154.525,50.787,15.658,-6.190,2.655,14.148,0.169,0.000,-0.090,4,5.638,0.398,0.990,""
0.540,479.687,1049.410,154.577,51.070,15.655,-6.248,2.575,14.131,0.171,0.000,-0.089,4,5.621,0.381,0.990,""
0.560,480.000,1049.284,154.627,51.352,15.652,-6.307,2.500,14.114,0.172,0.000,-0.088,4,5.869,0.138,0.990,""
0.580,480.313,1049.157,154.675,51.634,15.650,-6.365,2.433,14.095,0.174,0.000,-0.087,4,6.241,0.125,0.990,""
0.600,480.508,1049.029,154.723,51.915,15.647,-6.423,2.373,14.075,0.175,0.000,-0.087,4,6.633,0.098,0.990,""
0.620,480.821,1048.900,154.769,52.196,15.644,-6.481,2.321,14.054,0.177,0.000,-0.085,4,7.022,0.057,0.990,""
0.640,481.134,1048.770,154.815,52.477,15.642,-6.538,2.277,14.032,0.178,0.000,-0.084,4,7.398,0.149,0.989,""
0.660,481.446,1048.638,154.859,52.758,15.640,-6.594,2.242,14.009,0.179,0.000,-0.084,4,7.872,0.181,0.989,""
0.680,481.759,1048.505,154.904,53.037,15.638,-6.650,2.215,13.985,0.180,0.000,-0.083,4,8.307,0.197,0.989,""
0.700,482.072,1048.372,154.948,53.317,15.636,-6.705,2.195,13.960,0.181,0.000,-0.081,4,8.600,0.044,0.990,""
0.720,482.309,1048.237,154.991,53.596,15.635,-6.759,2.179,13.935,0.182,0.000,-0.081,4,8.831,0.057,0.990,""
0.740,482.586,1048.101,155.035,53.874,15.634,-6.813,2.167,13.909,0.183,0.000,-0.080,4,9.055,0.066,0.989,""
0.760,482.899,1047.963,155.078,54.151,15.632,-6.866,2.160,13.882,0.183,0.000,-0.078,4,9.274,0.068,0.989,""
