t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.141,828.805,100.828,-119.059,31.089,26.951,1.474,15.481,0.000,0.000,-0.191,2,14.624,4.635,0.996,"Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);Ground_Mountain_0_1:(-0.180, 0.977, -0.118);"
0.040,148.797,829.328,100.868,-118.763,30.932,26.879,1.871,15.383,0.456,0.000,-0.195,3,15.287,9.959,0.990,"Ground_Mountain_0_1:(-0.173, 0.978, -0.119);Ground_Mountain_0_1:(-0.173, 0.978, -0.119);Ground_Mountain_0_1:(-0.173, 0.978, -0.119);Ground_Mountain_0_1:(-0.173, 0.978, -0.119);"
0.060,149.393,829.852,100.916,-118.463,30.813,26.792,2.490,15.299,0.534,0.000,-0.203,4,31.878,9.330,0.984,"Ground_Mountain_0_1:(-0.174, 0.978, -0.119);Ground_Mountain_0_1:(-0.174, 0.978, -0.119);Ground_Mountain_0_1:(-0.174, 0.978, -0.119);Ground_Mountain_0_1:(-0.174, 0.978, -0.119);Ground_Mountain_0_1:(-0.174, 0.978, -0.119);"
0.080,149.993,830.377,100.976,-118.164,30.737,26.705,3.078,15.259,0.594,0.000,-0.211,4,36.988,8.306,0.979,"Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);Ground_Mountain_0_1:(-0.167, 0.978, -0.122);"
0.100,150.670,830.885,101.085,-117.863,30.347,25.948,5.456,14.832,0.632,0.000,-0.216,4,41.223,7.142,0.974,"Ground_Mountain_0_1:(-0.170, 0.978, -0.122);Ground_Mountain_0_1:(-0.170, 0.978, -0.122);Ground_Mountain_0_1:(-0.170, 0.978, -0.122);Ground_Mountain_0_1:(-0.170, 0.978, -0.122);Ground_Mountain_0_1:(-0.170, 0.978, -0.122);Ground_Mountain_0_1:(-0.170, 0.978, -0.122);"
0.120,151.268,831.400,101.224,-117.573,30.274,25.640,6.527,14.713,0.826,0.000,-0.225,4,35.446,9.714,0.976,"Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);Ground_Mountain_0_1:(-0.178, 0.977, -0.117);"
0.140,151.933,831.912,101.362,-117.278,30.316,25.592,6.910,14.715,0.863,0.000,-0.233,4,28.734,0.852,0.977,"Ground_Mountain_0_1:(-0.174, 0.978, -0.119);Ground_Mountain_0_1:(-0.174, 0.978, -0.119);Ground_Mountain_0_1:(-0.174, 0.978, -0.119);Ground_Mountain_0_1:(-0.174, 0.978, -0.119);Ground_Mountain_0_1:(-0.174, 0.978, -0.119);Ground_Mountain_0_1:(-0.174, 0.978, -0.119);"
0.160,152.535,832.423,101.506,-116.983,30.355,25.553,7.218,14.730,0.842,0.000,-0.239,4,24.890,0.733,0.977,"Ground_Mountain_0_1:(-0.180, 0.976, -0.121);Ground_Mountain_0_1:(-0.180, 0.976, -0.121);Ground_Mountain_0_1:(-0.180, 0.976, -0.121);Ground_Mountain_0_1:(-0.180, 0.976, -0.121);Ground_Mountain_0_1:(-0.180, 0.976, -0.121);Ground_Mountain_0_1:(-0.180, 0.976, -0.121);"
0.180,153.138,832.934,101.655,-116.688,30.390,25.517,7.453,14.767,0.823,0.000,-0.243,4,21.180,0.561,0.977,"Ground_Mountain_0_1:(-0.171, 0.977, -0.129);Ground_Mountain_0_1:(-0.171, 0.977, -0.129);Ground_Mountain_0_1:(-0.171, 0.977, -0.129);Ground_Mountain_0_1:(-0.171, 0.977, -0.129);Ground_Mountain_0_1:(-0.171, 0.977, -0.129);Ground_Mountain_0_1:(-0.171, 0.977, -0.129);"
0.200,153.790,833.443,101.808,-116.392,30.421,25.480,7.620,14.829,0.805,0.000,-0.245,4,17.729,0.430,0.977,""
