profile,route,attempt,road,finished,seconds,entry_mps,exit_mps,max_lateral,min_up,air_seconds,misses,penalty,branch_exits,recoveries
original,Existing Southwest Cut,0,False,True,10.497,21.823,23.883,5.986,0.999,0.000,0,0.000,1,0
original,Existing Southwest Cut,1,False,True,9.784,21.738,25.863,5.615,1.000,0.000,0,0.000,1,0
original,Existing Southwest Cut,2,False,True,12.310,21.798,23.883,5.839,1.000,0.000,0,0.000,1,1
original,Existing Southwest Cut,3,False,True,13.481,21.784,23.883,5.837,1.000,0.000,0,0.000,1,1
original,Existing Southwest Cut,0,True,True,10.000,26.808,41.348,0.000,1.000,0.000,0,0.000,0,0
original,Existing Southwest Cut,1,True,True,9.980,26.808,41.382,0.000,1.000,0.000,0,0.000,0,0
original,Pine Ridge,0,False,True,21.656,35.338,37.886,5.710,0.984,3.130,0,0.000,1,0
original,Pine Ridge,1,False,True,21.303,36.456,37.819,5.640,0.984,3.083,0,0.000,1,0
original,Pine Ridge,2,False,True,23.825,35.338,37.745,5.710,0.985,0.814,0,0.000,1,1
original,Pine Ridge,3,False,True,24.188,35.830,37.860,5.712,0.989,0.775,0,0.000,1,1
original,Pine Ridge,0,True,True,26.218,40.182,44.763,0.000,0.982,0.000,0,0.000,0,0
original,Pine Ridge,1,True,True,26.201,40.182,44.773,0.000,0.982,0.000,0,0.000,0,0
original,Fox Gully,0,False,True,26.237,23.694,29.910,6.002,0.973,1.675,0,0.000,1,0
original,Fox Gully,1,False,True,25.458,24.853,31.756,5.932,0.973,1.505,0,0.000,1,0
original,Fox Gully,2,False,True,29.281,23.704,29.700,6.000,0.957,1.375,0,0.000,1,1
original,Fox Gully,3,False,True,29.562,23.704,29.737,6.000,0.972,1.887,0,0.000,1,1
original,Fox Gully,0,True,True,25.974,30.130,28.854,0.000,0.963,0.000,0,0.000,0,0
original,Fox Gully,1,True,True,26.001,30.131,28.776,0.000,0.964,0.000,0,0.000,0,0
original,Creek Leap,0,False,True,21.563,33.443,33.123,7.811,0.950,2.183,0,0.000,1,0
original,Creek Leap,1,False,True,21.340,33.315,33.377,8.878,0.950,2.180,0,0.000,1,0
original,Creek Leap,2,False,True,24.336,33.442,33.092,5.783,0.950,2.039,0,0.000,1,1
original,Creek Leap,3,False,True,25.577,33.432,33.093,5.988,0.950,2.064,0,0.000,1,1
original,Creek Leap,0,True,True,29.665,29.183,28.550,0.000,0.950,0.000,0,0.000,0,0
original,Creek Leap,1,True,True,29.674,29.038,28.560,0.000,0.950,0.000,0,0.000,0,0
tourer,Existing Southwest Cut,0,False,True,10.477,21.408,23.880,5.802,1.000,0.000,0,0.000,1,0
tourer,Existing Southwest Cut,1,False,True,9.765,21.562,25.862,5.621,1.000,0.000,0,0.000,1,0
tourer,Existing Southwest Cut,2,False,True,12.362,21.344,23.880,5.873,1.000,0.000,0,0.000,1,1
tourer,Existing Southwest Cut,3,False,True,13.512,21.385,23.880,5.837,1.000,0.000,0,0.000,1,1
tourer,Existing Southwest Cut,0,True,True,10.039,26.773,42.161,0.000,1.000,0.000,0,0.000,0,0
tourer,Existing Southwest Cut,1,True,True,10.041,26.773,42.173,0.000,1.000,0.000,0,0.000,0,0
