seconds,x,y,z,speed,next,up,wheels
0.02000046,838.1522,95.33524,-200.9518,0.6356413,1,0.9999989,4
0.04000092,838.1321,95.33577,-200.9472,0.9906951,1,0.9999922,4
0.06000137,838.1074,95.33583,-200.9372,1.343011,1,0.9999741,4
0.08000183,838.0778,95.33556,-200.9222,1.692448,1,0.9999402,4
0.1000023,838.0433,95.33509,-200.9024,2.03893,1,0.9998882,4
0.1199989,838.0035,95.33456,-200.878,2.382434,1,0.9998179,4
0.1399994,837.9586,95.33411,-200.8492,2.722973,1,0.9997309,4
0.1599998,837.9084,95.33388,-200.8161,3.060588,1,0.99963,4
0.1800003,837.8528,95.33398,-200.7787,3.395335,1,0.999519,4
0.2000008,837.7923,95.33453,-200.7374,3.714641,1,0.9994017,4
0.2200012,837.7276,95.33553,-200.693,3.96664,1,0.9992827,4
0.2400017,837.6597,95.33701,-200.6461,4.165942,1,0.9991658,4
0.2600021,837.5893,95.33898,-200.5972,4.323815,1,0.9990539,4
0.2799988,837.5168,95.34147,-200.5467,4.449021,1,0.9989491,4
0.2999992,837.4428,95.34446,-200.4949,4.548404,1,0.9988531,4
0.3199997,837.3675,95.34796,-200.4422,4.627337,1,0.9987668,4
0.3400002,837.2911,95.35194,-200.3886,4.690048,1,0.9986907,4
0.3600006,837.2139,95.35638,-200.3343,4.739883,1,0.9986246,4
0.3800011,837.1361,95.36124,-200.2795,4.77949,1,0.9985684,4
0.4000015,837.0578,95.36646,-200.2243,4.810967,1,0.998521,4
0.420002,836.979,95.37202,-200.1688,4.835982,1,0.9984806,4
0.4400024,836.9,95.37788,-200.113,4.855859,1,0.9984466,4
0.4599991,836.8207,95.38399,-200.0569,4.871647,1,0.9984185,4
0.4799995,836.7412,95.39029,-200.0007,4.884187,1,0.9983956,4
0.5,836.6616,95.39676,-199.9442,4.894144,1,0.9983774,4
0.5200005,836.5818,95.40334,-199.8877,4.902051,1,0.9983632,4
0.5400009,836.502,95.41001,-199.831,4.90833,1,0.9983525,4
0.5600014,836.4221,95.41672,-199.7742,4.913319,2,0.9983447,4
0.5800018,836.3422,95.42344,-199.7174,4.917282,2,0.9983408,4
0.6000023,836.2629,95.43008,-199.661,4.876204,2,0.9983401,4
0.6199989,836.1835,95.43668,-199.6044,4.887545,2,0.9983419,4
0.6399994,836.1039,95.44321,-199.5476,4.896628,2,0.9983454,4
0.6599998,836.0243,95.44965,-199.4907,4.903912,2,0.9983501,4
0.6800003,835.9445,95.45597,-199.4337,4.909759,2,0.9983557,4
0.7000008,835.8647,95.46218,-199.3765,4.914461,2,0.9983618,4
0.7200012,835.7849,95.46827,-199.3193,4.918247,2,0.998368,4
0.7400017,835.7058,95.47419,-199.2625,4.877054,2,0.9983728,4
0.7600021,835.6266,95.48003,-199.2056,4.888337,2,0.998376,4
0.7799988,835.5472,95.48577,-199.1485,4.897382,2,0.9983777,4
0.7999992,835.4678,95.49145,-199.0912,4.904629,2,0.9983782,4
0.8199997,835.3882,95.49706,-199.0338,4.910435,2,0.9983779,4
0.8400002,835.3087,95.50263,-198.9763,4.915083,2,0.9983768,4
0.8600006,835.2291,95.50817,-198.9188,4.918801,2,0.9983751,4
0.8800011,835.1503,95.51363,-198.8616,4.877522,2,0.998373,4
0.9000015,835.0712,95.5191,-198.8043,4.888716,2,0.9983723,4
0.920002,834.992,95.52456,-198.7469,4.897676,2,0.9983727,4
0.9399986,834.9128,95.53001,-198.6893,4.90485,2,0.9983739,4
0.9599991,834.8335,95.53547,-198.6316,4.910599,2,0.9983755,4
0.9799995,834.7542,95.54091,-198.5738,4.915209,2,0.9983776,4
1,834.6748,95.54634,-198.516,4.918908,2,0.9983799,4
1.02,834.5961,95.55172,-198.4585,4.877625,2,0.9983823,4
1.040001,834.5172,95.5571,-198.401,4.888833,2,0.9983847,4
1.060001,834.4382,95.56248,-198.3432,4.897813,2,0.998386,4
1.080002,834.3592,95.56787,-198.2854,4.905008,2,0.9983854,4
1.099998,834.2801,95.57329,-198.2275,4.910767,2,0.9983835,4
