course,vehicle,speed,line,seconds,travel,air,minUp,recovered,outcome,scoredDistance,scoredAirtime,awards
Forest Loop Reverse,moto,12,-1.5,13.540,150.197,1.320,0.911,True,completed,14.936,1.320,0
Forest Loop Reverse,moto,12,-3,13.520,150.107,1.280,0.932,True,completed,14.527,1.280,0
Forest Loop Reverse,moto,12,0,13.480,150.073,1.380,0.888,True,completed,15.432,1.380,0
Forest Loop Reverse,moto,12,-4.7,13.620,150.177,1.440,0.285,True,completed,0.000,0.000,0
Forest Loop Reverse,moto,12,1.7,16.500,150.221,2.360,0.159,True,completed,3.796,0.300,0
Forest Loop Reverse,moto,24,-1.5,7.780,150.021,2.020,0.943,True,completed,44.889,2.020,0
Forest Loop Reverse,moto,24,-3,7.440,150.205,2.060,0.933,True,completed,45.568,2.060,0
Forest Loop Reverse,moto,24,0,8.440,150.190,2.020,0.944,True,completed,44.856,2.020,0
Forest Loop Reverse,moto,24,-4.7,9.420,150.014,2.000,-0.953,True,completed,0.000,0.000,0
Forest Loop Reverse,moto,24,1.7,7.340,150.289,2.460,0.792,True,completed,13.814,0.400,0
Forest Loop Reverse,moto,36,-1.5,5.480,165.714,2.540,0.958,True,completed,84.004,2.540,0
Forest Loop Reverse,moto,36,-3,5.480,165.710,2.540,0.958,True,completed,84.001,2.540,0
Forest Loop Reverse,moto,36,0,5.480,165.720,2.540,0.958,True,completed,84.005,2.540,0
Forest Loop Reverse,moto,36,-4.7,5.220,150.255,2.380,-0.887,True,completed,0.000,0.000,0
Forest Loop Reverse,moto,36,1.7,8.340,150.704,2.680,-0.956,True,completed,0.000,0.000,0
Forest Loop Reverse,atv,12,-1.5,13.680,150.114,1.380,0.935,True,completed,14.241,1.260,0
Forest Loop Reverse,atv,12,-3,13.540,150.091,1.460,0.907,True,completed,14.863,1.320,0
Forest Loop Reverse,atv,12,0,13.580,150.213,1.280,0.924,True,completed,14.417,1.280,0
Forest Loop Reverse,atv,12,-4.7,13.520,150.130,1.620,0.280,True,completed,0.000,0.000,0
Forest Loop Reverse,atv,12,1.7,13.620,150.099,1.680,0.313,True,completed,0.000,0.000,0
Forest Loop Reverse,atv,24,-1.5,8.500,150.324,2.040,0.937,True,completed,45.054,2.040,0
Forest Loop Reverse,atv,24,-3,8.480,150.315,2.040,0.937,True,completed,45.037,2.040,0
Forest Loop Reverse,atv,24,0,7.260,150.254,2.040,0.937,True,completed,45.039,2.040,0
Forest Loop Reverse,atv,24,-4.7,7.620,150.273,2.100,-0.178,True,completed,0.000,0.000,0
Forest Loop Reverse,atv,24,1.7,7.300,150.292,2.160,-0.855,True,completed,0.000,0.000,0
Forest Loop Reverse,atv,36,-1.5,5.480,165.216,2.540,0.961,True,completed,83.658,2.540,0
Forest Loop Reverse,atv,36,-3,5.480,165.221,2.540,0.962,True,completed,83.660,2.540,0
Forest Loop Reverse,atv,36,0,5.480,165.215,2.540,0.961,True,completed,83.658,2.540,0
Forest Loop Reverse,atv,36,-4.7,5.300,150.740,2.740,-0.969,True,completed,82.271,2.740,0
Forest Loop Reverse,atv,36,1.7,8.040,150.189,1.980,-0.315,True,completed,65.591,1.980,0
