t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.140,384.831,100.763,-120.815,5.813,-0.179,0.044,11.902,0.000,0.000,-0.170,2,14.167,4.527,1.000,"Ground_560_400:(0.045, 0.995, -0.087);Ground_560_400:(0.045, 0.995, -0.087);Ground_560_400:(0.045, 0.995, -0.087);Ground_560_400:(0.045, 0.995, -0.087);Ground_560_400:(0.049, 0.995, -0.084);Ground_560_400:(0.049, 0.995, -0.084);Ground_560_400:(0.049, 0.995, -0.084);Ground_560_400:(0.049, 0.995, -0.084);Ground_560_400:(0.049, 0.995, -0.084);Ground_560_400:(0.049, 0.995, -0.085);Ground_560_400:(0.049, 0.995, -0.085);"
0.040,0.000,384.825,100.760,-120.578,5.818,-0.179,-0.152,11.897,1.000,0.000,0.017,0,0.000,0.503,1.000,""
0.060,0.000,384.818,100.753,-120.342,5.819,-0.179,-0.348,11.892,1.000,0.000,0.017,0,0.000,0.532,1.000,""
0.080,0.000,384.812,100.742,-120.106,5.816,-0.179,-0.544,11.887,1.000,0.000,0.017,0,0.000,0.560,0.999,""
0.100,0.000,384.806,100.727,-119.870,5.809,-0.179,-0.740,11.883,1.000,0.000,0.017,0,0.000,0.586,0.999,""
0.120,0.000,384.799,100.708,-119.634,5.798,-0.179,-0.936,11.878,1.000,0.000,0.017,0,0.000,0.610,0.998,""
0.140,0.000,384.793,100.685,-119.398,5.783,-0.179,-1.132,11.873,1.000,0.000,0.017,0,0.000,0.633,0.998,""
0.160,0.000,384.787,100.659,-119.162,5.765,-0.179,-1.328,11.868,1.000,0.000,0.017,0,0.000,0.654,0.997,""
0.180,0.000,384.781,100.628,-118.926,5.744,-0.179,-1.523,11.864,1.000,0.000,0.018,0,0.000,0.674,0.997,""
0.200,0.000,384.775,100.593,-118.691,5.719,-0.179,-1.719,11.859,1.000,0.000,0.018,0,0.000,0.692,0.996,""
