t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.080,384.672,153.249,41.608,23.779,-8.324,-0.069,22.275,0.000,0.000,-0.051,2,7.963,2.846,1.000,"Ground_560_320:(-0.102, 0.990, -0.098);Ground_560_320:(-0.102, 0.990, -0.098);Ground_560_320:(-0.102, 0.990, -0.098);Ground_560_320:(-0.102, 0.990, -0.098);Ground_560_320:(-0.102, 0.990, -0.098);Ground_560_320:(-0.102, 0.990, -0.098);Ground_560_320:(-0.102, 0.990, -0.098);Ground_560_320:(-0.102, 0.990, -0.098);Ground_560_320:(-0.102, 0.990, -0.098);Ground_560_320:(-0.102, 0.990, -0.098);Ground_560_320:(-0.102, 0.990, -0.098);Ground_560_320:(-0.102, 0.990, -0.098);Ground_560_320:(-0.101, 0.990, -0.096);Ground_560_320:(-0.101, 0.990, -0.096);Ground_560_320:(-0.101, 0.990, -0.096);Ground_560_320:(-0.101, 0.990, -0.096);Ground_560_320:(-0.101, 0.990, -0.096);Ground_560_320:(-0.101, 0.990, -0.096);Ground_560_320:(-0.101, 0.990, -0.096);Ground_560_320:(-0.101, 0.990, -0.096);Ground_560_320:(-0.101, 0.990, -0.096);Ground_560_320:(-0.101, 0.990, -0.096);Ground_560_320:(-0.101, 0.990, -0.096);Ground_560_320:(-0.101, 0.990, -0.096);Ground_560_320:(-0.100, 0.990, -0.095);Ground_560_320:(-0.100, 0.990, -0.095);Ground_560_320:(-0.100, 0.990, -0.095);Ground_560_320:(-0.100, 0.990, -0.095);Ground_560_320:(-0.100, 0.990, -0.095);Ground_560_320:(-0.100, 0.990, -0.095);Ground_560_320:(-0.103, 0.990, -0.095);Ground_560_320:(-0.103, 0.990, -0.095);Ground_560_320:(-0.103, 0.990, -0.095);Ground_560_320:(-0.103, 0.990, -0.095);Ground_560_320:(-0.103, 0.990, -0.095);Ground_560_320:(-0.103, 0.990, -0.095);Ground_560_320:(-0.101, 0.991, -0.092);Ground_560_320:(-0.101, 0.991, -0.092);Ground_560_320:(-0.101, 0.991, -0.092);Ground_560_320:(-0.101, 0.991, -0.092);Ground_560_320:(-0.101, 0.991, -0.092);Ground_560_320:(-0.101, 0.991, -0.092);Ground_560_320:(-0.101, 0.991, -0.092);Ground_560_320:(-0.101, 0.991, -0.092);Ground_560_320:(-0.101, 0.991, -0.092);Ground_560_320:(-0.101, 0.991, -0.092);Ground_560_320:(-0.101, 0.991, -0.092);Ground_560_320:(-0.101, 0.991, -0.092);Ground_560_320:(-0.100, 0.991, -0.091);Ground_560_320:(-0.100, 0.991, -0.091);Ground_560_320:(-0.100, 0.991, -0.091);Ground_560_320:(-0.100, 0.991, -0.091);Ground_560_320:(-0.100, 0.991, -0.091);Ground_560_320:(-0.100, 0.991, -0.091);Ground_560_320:(-0.101, 0.991, -0.091);Ground_560_320:(-0.101, 0.991, -0.091);Ground_560_320:(-0.101, 0.991, -0.091);Ground_560_320:(-0.101, 0.991, -0.091);Ground_560_320:(-0.101, 0.991, -0.091);Ground_560_320:(-0.101, 0.991, -0.091);Ground_560_320:(-0.101, 0.991, -0.089);Ground_560_320:(-0.101, 0.991, -0.089);Ground_560_320:(-0.101, 0.991, -0.089);Ground_560_320:(-0.101, 0.991, -0.089);Ground_560_320:(-0.101, 0.991, -0.089);Ground_560_320:(-0.101, 0.991, -0.089);Ground_560_320:(-0.101, 0.991, -0.088);Ground_560_320:(-0.101, 0.991, -0.088);Ground_560_320:(-0.101, 0.991, -0.088);Ground_560_320:(-0.101, 0.991, -0.088);Ground_560_320:(-0.101, 0.991, -0.088);Ground_560_320:(-0.101, 0.991, -0.088);Ground_560_320:(-0.102, 0.991, -0.087);Ground_560_320:(-0.102, 0.991, -0.087);Ground_560_320:(-0.102, 0.991, -0.087);Ground_560_320:(-0.102, 0.991, -0.087);Ground_560_320:(-0.102, 0.991, -0.087);Ground_560_320:(-0.102, 0.991, -0.087);Ground_560_320:(-0.103, 0.991, -0.087);Ground_560_320:(-0.103, 0.991, -0.087);Ground_560_320:(-0.103, 0.991, -0.087);Ground_560_320:(-0.103, 0.991, -0.087);Ground_560_320:(-0.103, 0.991, -0.087);Ground_560_320:(-0.103, 0.991, -0.087);Ground_560_320:(-0.102, 0.991, -0.085);Ground_560_320:(-0.102, 0.991, -0.085);Ground_560_320:(-0.102, 0.991, -0.085);Ground_560_320:(-0.102, 0.991, -0.085);Ground_560_320:(-0.102, 0.991, -0.085);Ground_560_320:(-0.102, 0.991, -0.085);Ground_560_320:(-0.102, 0.991, -0.085);Ground_560_320:(-0.102, 0.991, -0.085);Ground_560_320:(-0.102, 0.991, -0.085);Ground_560_320:(-0.102, 0.991, -0.085);Ground_560_320:(-0.102, 0.991, -0.085);Ground_560_320:(-0.102, 0.991, -0.085);Ground_560_320:(-0.102, 0.991, -0.084);Ground_560_320:(-0.102, 0.991, -0.084);Ground_560_320:(-0.102, 0.991, -0.084);Ground_560_320:(-0.102, 0.991, -0.084);Ground_560_320:(-0.102, 0.991, -0.084);Ground_560_320:(-0.102, 0.991, -0.084);Ground_560_320:(-0.102, 0.991, -0.084);Ground_560_320:(-0.102, 0.991, -0.084);Ground_560_320:(-0.102, 0.991, -0.084);Ground_560_320:(-0.102, 0.991, -0.084);Ground_560_320:(-0.102, 0.991, -0.084);Ground_560_320:(-0.102, 0.991, -0.084);Ground_560_320:(-0.099, 0.992, -0.080);Ground_560_320:(-0.099, 0.992, -0.080);Ground_560_320:(-0.099, 0.992, -0.080);Ground_560_320:(-0.099, 0.992, -0.080);Ground_560_320:(-0.099, 0.992, -0.080);Ground_560_320:(-0.099, 0.992, -0.080);Ground_560_320:(-0.100, 0.992, -0.079);Ground_560_320:(-0.100, 0.992, -0.079);Ground_560_320:(-0.100, 0.992, -0.079);Ground_560_320:(-0.100, 0.992, -0.079);Ground_560_320:(-0.100, 0.992, -0.079);Ground_560_320:(-0.100, 0.992, -0.079);"
0.040,969.540,384.506,153.243,42.053,23.767,-8.320,-0.265,22.266,0.111,0.000,0.026,0,0.000,0.120,1.000,""
0.060,969.540,384.340,153.234,42.497,23.754,-8.317,-0.461,22.257,0.116,0.000,0.026,0,0.000,0.125,1.000,""
0.080,969.540,384.174,153.221,42.941,23.738,-8.314,-0.657,22.248,0.123,0.000,0.026,0,0.000,0.130,1.000,""
0.100,969.540,384.008,153.204,43.385,23.722,-8.310,-0.853,22.239,0.131,0.000,0.025,0,0.000,0.135,1.000,""
0.120,969.277,383.842,153.183,43.828,23.703,-8.307,-1.049,22.230,0.139,0.000,0.025,0,0.000,0.139,1.000,""
0.140,968.848,383.676,153.158,44.272,23.683,-8.304,-1.244,22.222,0.148,0.000,0.025,0,0.000,0.144,1.000,""
0.160,968.420,383.511,153.129,44.715,23.662,-8.300,-1.440,22.213,0.158,0.000,0.025,0,0.000,0.148,1.000,""
0.180,967.992,383.345,153.096,45.158,23.639,-8.297,-1.635,22.204,0.169,0.000,0.025,0,0.000,0.152,1.000,""
0.200,967.500,383.179,153.060,45.601,23.615,-8.294,-1.831,22.195,0.180,0.000,0.025,0,0.000,0.156,0.999,""
