time,car,direction,station,lateral,lane_error,speed,target,grounded
2.21,1,-1,79.29,-2.60,0.00,15.97,16.15,4
2.21,2,1,3585.88,2.57,0.03,16.83,17.00,4
2.21,3,-1,118.38,-2.59,0.01,16.81,17.00,4
2.41,0,1,3628.54,2.52,0.08,16.02,16.15,4
2.41,1,-1,76.07,-2.60,0.00,16.10,16.15,4
2.41,2,1,3589.28,2.57,0.03,16.90,17.00,4
2.41,3,-1,114.98,-2.59,0.01,16.93,17.00,4
2.61,0,1,3631.79,2.51,0.09,15.98,16.15,4
2.61,1,-1,72.85,-2.60,0.00,16.06,16.15,4
2.61,2,1,3592.68,2.56,0.04,16.85,17.00,4
2.61,3,-1,111.58,-2.59,0.01,16.90,17.00,4
2.81,0,1,3635.03,2.51,0.09,16.05,16.15,4
2.81,1,-1,69.63,-2.61,0.01,16.03,16.15,4
2.81,2,1,3596.07,2.56,0.04,16.75,17.00,4
2.81,3,-1,108.20,-2.59,0.01,16.85,17.00,4
3.01,0,1,3638.24,2.51,0.09,16.03,16.15,4
3.01,1,-1,66.42,-2.62,0.02,15.98,16.15,4
3.01,2,1,3599.45,2.56,0.04,16.87,17.00,4
3.01,3,-1,104.82,-2.59,0.01,16.81,17.00,4
3.21,0,1,3641.49,2.51,0.09,15.99,16.15,4
3.21,1,-1,63.19,-2.63,0.03,16.08,16.15,4
3.21,2,1,3602.86,2.56,0.04,16.79,17.00,4
3.21,3,-1,101.43,-2.59,0.01,16.93,17.00,4
3.41,0,1,3644.73,2.51,0.09,15.95,16.15,4
3.41,1,-1,59.96,-2.62,0.02,16.07,16.15,4
3.41,2,1,3606.26,2.56,0.04,16.89,17.00,4
3.41,3,-1,98.04,-2.59,0.01,16.95,17.00,4
3.61,0,1,3647.98,2.51,0.09,16.05,16.15,4
3.61,1,-1,56.71,-2.61,0.01,16.00,16.15,4
3.61,2,1,3609.66,2.56,0.04,16.82,17.00,4
3.61,3,-1,94.65,-2.60,0.00,16.90,17.00,4
3.81,0,1,3651.20,2.50,0.10,16.02,16.15,4
3.81,1,-1,53.49,-2.60,0.00,16.08,16.15,4
3.81,2,1,3613.08,2.56,0.04,16.90,17.00,4
3.81,3,-1,91.26,-2.60,0.00,16.87,17.00,4
4.01,0,1,3654.45,2.50,0.10,15.98,16.15,4
4.01,1,-1,50.26,-2.58,0.02,15.99,16.15,4
4.01,2,1,3616.48,2.55,0.05,16.85,17.00,4
4.01,3,-1,87.87,-2.60,0.00,16.81,17.00,4
4.21,0,1,3657.68,2.50,0.10,15.93,16.15,4
4.21,1,-1,47.03,-2.57,0.03,16.04,16.15,4
4.21,2,1,3619.88,2.54,0.06,16.75,17.00,4
4.21,3,-1,84.49,-2.60,0.00,16.92,17.00,4
4.41,0,1,3660.91,2.50,0.10,16.04,16.15,4
4.41,1,-1,43.81,-2.56,0.04,16.09,16.15,4
4.41,2,1,3623.27,2.53,0.07,16.87,17.00,4
4.41,3,-1,81.11,-2.60,0.00,16.87,17.00,4
4.61,0,1,3664.15,2.50,0.10,16.02,16.15,4
4.61,1,-1,40.59,-2.55,0.05,15.98,16.15,4
4.61,2,1,3626.69,2.53,0.07,16.80,17.00,4
