lip,station,lateral,x,y,z,nx,ny,nz,collider
213,133,-16,812.591,94.301,-110.271,-0.559,0.791,0.249,Ground_Mountain_0_1
213,133,-7,814.263,96.919,-119.114,-0.251,0.968,-0.002,Ground_Mountain_0_1
213,133,0,815.564,97.009,-125.992,-0.237,0.971,-0.031,Ground_Mountain_0_1
213,133,7,816.864,97.034,-132.871,-0.194,0.980,-0.036,Ground_Mountain_0_1
213,133,16,818.536,94.653,-141.714,-0.177,0.866,-0.468,Ground_Mountain_0_1
213,135,-16,814.074,95.245,-109.968,-0.523,0.711,0.471,Ground_Mountain_0_1
213,135,-7,815.986,97.400,-118.762,-0.276,0.961,-0.029,Ground_Mountain_0_1
213,135,0,817.472,97.455,-125.603,-0.216,0.976,-0.036,Ground_Mountain_0_1
213,135,7,818.959,97.457,-132.443,-0.178,0.982,-0.058,Ground_Mountain_0_1
213,135,16,820.870,95.394,-141.238,-0.141,0.851,-0.506,Ground_Mountain_0_1
213,137,-16,815.533,96.091,-109.623,-0.523,0.711,0.471,Ground_Mountain_0_1
213,137,-7,817.695,97.837,-118.359,-0.243,0.969,-0.044,Ground_Mountain_0_1
213,137,0,819.376,97.869,-125.154,-0.199,0.979,-0.050,Ground_Mountain_0_1
213,137,7,821.057,97.847,-131.950,-0.161,0.986,-0.046,Ground_Mountain_0_1
213,137,16,823.219,96.172,-140.686,-0.163,0.792,-0.588,Ground_Mountain_0_1
213,139,-16,816.806,96.795,-109.267,-0.452,0.810,0.374,Ground_Mountain_0_1
213,139,-7,819.315,98.280,-117.910,-0.254,0.966,-0.046,Ground_Mountain_0_1
213,139,0,821.266,98.263,-124.633,-0.189,0.980,-0.057,Ground_Mountain_0_1
213,139,7,823.217,98.251,-131.355,-0.176,0.983,-0.052,Ground_Mountain_0_1
213,139,16,825.726,97.061,-139.998,-0.120,0.945,-0.306,Ground_Mountain_0_1
213,141,-16,817.896,97.471,-108.895,-0.614,0.770,0.173,Ground_Mountain_0_1
213,141,-7,820.839,98.674,-117.401,-0.217,0.975,-0.053,Ground_Mountain_0_1
213,141,0,823.128,98.654,-124.016,-0.186,0.980,-0.064,Ground_Mountain_0_1
213,141,7,825.416,98.623,-130.631,-0.155,0.987,-0.042,Ground_Mountain_0_1
213,141,16,828.359,97.664,-139.137,0.094,0.939,-0.330,Ground_Mountain_0_1
213,143,-16,818.970,98.130,-108.459,-0.641,0.765,-0.059,Ground_Mountain_0_1
213,143,-7,822.335,99.109,-116.806,-0.211,0.971,-0.111,Ground_Mountain_0_1
213,143,0,824.952,99.050,-123.299,-0.181,0.981,-0.075,Ground_Mountain_0_1
213,143,7,827.569,99.023,-129.791,-0.167,0.983,-0.075,Ground_Mountain_0_1
213,143,16,830.934,98.377,-138.139,-0.028,0.739,-0.673,Ground_Mountain_0_1
213,145,-16,819.353,98.465,-108.282,-0.641,0.765,-0.059,Ground_Mountain_0_1
213,145,-7,823.503,99.433,-116.268,-0.218,0.969,-0.118,Ground_Mountain_0_1
213,145,0,826.731,99.455,-122.479,-0.184,0.978,-0.094,Ground_Mountain_0_1
213,145,7,829.958,99.486,-128.691,-0.155,0.986,-0.059,Ground_Mountain_0_1
213,145,16,834.108,98.939,-136.677,0.245,0.852,-0.462,Ground_Mountain_0_1
213,147,-16,820.452,99.101,-107.710,-0.363,0.863,0.351,Ground_Mountain_0_1
213,147,-7,824.956,99.846,-115.502,-0.207,0.970,-0.125,Ground_Mountain_0_1
213,147,0,828.459,99.868,-121.562,-0.177,0.979,-0.102,Ground_Mountain_0_1
213,147,7,831.962,99.868,-127.623,-0.157,0.982,-0.103,Ground_Mountain_0_1
213,147,16,836.465,99.308,-135.415,0.194,0.947,-0.257,Ground_Mountain_0_1
213,149,-16,821.558,99.441,-107.055,-0.570,0.815,0.104,Ground_Mountain_0_1
213,149,-7,826.385,100.269,-114.651,-0.198,0.971,-0.134,Ground_Mountain_0_1
213,149,0,830.139,100.280,-120.559,-0.169,0.980,-0.105,Ground_Mountain_0_1
213,149,7,833.894,100.284,-126.468,-0.150,0.983,-0.103,Ground_Mountain_0_1
213,149,16,838.721,99.762,-134.064,0.098,0.729,-0.677,Ground_Mountain_0_1
213,151,-16,822.674,99.922,-106.317,-0.450,0.887,-0.099,Ground_Mountain_0_1
213,151,-7,827.791,100.688,-113.721,-0.208,0.968,-0.141,Ground_Mountain_0_1
213,151,0,831.771,100.690,-119.479,-0.173,0.977,-0.121,Ground_Mountain_0_1
213,151,7,835.751,100.677,-125.238,-0.152,0.983,-0.101,Ground_Mountain_0_1
213,151,16,840.869,99.951,-132.642,0.040,0.809,-0.586,Ground_Mountain_0_1
213,153,-16,823.802,100.360,-105.498,-0.648,0.748,0.145,Ground_Mountain_0_1
213,153,-7,829.176,101.108,-112.717,-0.191,0.971,-0.144,Ground_Mountain_0_1
213,153,0,833.356,101.100,-118.331,-0.165,0.979,-0.122,Ground_Mountain_0_1
213,153,7,837.536,101.102,-123.946,-0.161,0.980,-0.119,Ground_Mountain_0_1
213,153,16,842.911,100.293,-131.165,0.276,0.934,-0.227,Ground_Mountain_0_1
213,155,-16,824.945,100.742,-104.597,-0.481,0.876,-0.028,Ground_Mountain_0_1
213,155,-7,830.543,101.528,-111.644,-0.176,0.974,-0.144,Ground_Mountain_0_1
213,155,0,834.898,101.509,-117.124,-0.157,0.979,-0.128,Ground_Mountain_0_1
213,155,7,839.252,101.495,-122.605,-0.142,0.983,-0.115,Ground_Mountain_0_1
213,155,16,844.850,100.813,-129.652,0.257,0.950,-0.179,Ground_Mountain_0_1
213,157,-16,825.821,101.137,-103.861,-0.402,0.732,0.550,Ground_Mountain_0_1
213,157,-7,831.770,101.907,-110.614,-0.180,0.972,-0.148,Ground_Mountain_0_1
213,157,0,836.397,101.922,-115.867,-0.154,0.979,-0.136,Ground_Mountain_0_1
213,157,7,841.024,101.919,-121.120,-0.133,0.984,-0.119,Ground_Mountain_0_1
213,157,16,846.973,101.318,-127.873,0.186,0.964,-0.189,Ground_Mountain_0_1
213,159,-16,827.055,101.425,-102.768,-0.532,0.847,-0.009,Ground_Mountain_0_1
213,159,-7,833.133,102.322,-109.405,-0.165,0.976,-0.144,Ground_Mountain_0_1
213,159,0,837.861,102.332,-114.567,-0.154,0.979,-0.136,Ground_Mountain_0_1
213,159,7,842.588,102.345,-119.730,-0.134,0.983,-0.125,Ground_Mountain_0_1
213,159,16,848.667,101.550,-126.367,0.121,0.724,-0.679,Ground_Mountain_0_1
213,161,-16,828.313,101.994,-101.605,-0.299,0.902,0.312,Ground_Mountain_0_1
213,161,-7,834.492,102.741,-108.149,-0.155,0.977,-0.146,Ground_Mountain_0_1
213,161,0,839.298,102.740,-113.238,-0.148,0.979,-0.140,Ground_Mountain_0_1
213,161,7,844.104,102.740,-118.327,-0.123,0.984,-0.132,Ground_Mountain_0_1
213,161,16,850.284,101.989,-124.871,0.501,0.792,-0.348,Ground_Mountain_0_1
213,163,-16,829.598,102.411,-100.380,-0.558,0.830,0.005,Ground_Mountain_0_1
213,163,-7,835.851,103.143,-106.852,-0.164,0.976,-0.140,Ground_Mountain_0_1
213,163,0,840.715,103.146,-111.886,-0.146,0.979,-0.141,Ground_Mountain_0_1
213,163,7,845.579,103.140,-116.921,-0.141,0.980,-0.139,Ground_Mountain_0_1
213,163,16,851.833,102.446,-123.393,-0.076,0.915,-0.395,Ground_Mountain_0_1
213,165,-16,830.915,102.619,-99.096,-0.282,0.896,0.344,Ground_Mountain_0_1
213,165,-7,837.217,103.545,-105.522,-0.151,0.979,-0.138,Ground_Mountain_0_1
213,165,0,842.118,103.553,-110.520,-0.144,0.979,-0.141,Ground_Mountain_0_1
213,165,7,847.019,103.549,-115.518,-0.142,0.980,-0.142,Ground_Mountain_0_1
213,165,16,853.321,102.867,-121.943,0.151,0.972,-0.179,Ground_Mountain_0_1
213,167,-16,832.267,103.283,-97.764,-0.277,0.886,0.371,Ground_Mountain_0_1
213,167,-7,838.593,103.956,-104.166,-0.145,0.979,-0.142,Ground_Mountain_0_1
213,167,0,843.513,103.957,-109.145,-0.144,0.979,-0.142,Ground_Mountain_0_1
213,167,7,848.433,103.954,-114.124,-0.141,0.978,-0.155,Ground_Mountain_0_1
213,167,16,854.759,103.014,-120.526,0.123,0.731,-0.671,Ground_Mountain_0_1
213,169,-16,833.659,103.641,-96.388,-0.576,0.817,0.021,Ground_Mountain_0_1
213,169,-7,839.985,104.358,-102.790,-0.151,0.979,-0.139,Ground_Mountain_0_1
213,169,0,844.906,104.362,-107.768,-0.144,0.979,-0.142,Ground_Mountain_0_1
213,169,7,849.826,104.362,-112.747,-0.146,0.978,-0.147,Ground_Mountain_0_1
213,169,16,856.153,103.576,-119.148,0.510,0.784,-0.355,Ground_Mountain_0_1
213,171,-16,835.094,103.804,-94.977,-0.583,0.812,0.032,Ground_Mountain_0_1
213,171,-7,841.399,104.760,-101.400,-0.145,0.981,-0.132,Ground_Mountain_0_1
213,171,0,846.303,104.767,-106.395,-0.144,0.979,-0.142,Ground_Mountain_0_1
213,171,7,851.207,104.763,-111.391,-0.142,0.980,-0.142,Ground_Mountain_0_1
213,171,16,857.511,103.985,-117.813,0.159,0.968,-0.194,Ground_Mountain_0_1
213,173,-16,836.577,104.374,-93.538,-0.275,0.864,0.423,Ground_Mountain_0_1
213,173,-7,842.839,105.165,-100.003,-0.140,0.981,-0.135,Ground_Mountain_0_1
213,173,0,847.709,105.171,-105.032,-0.145,0.979,-0.140,Ground_Mountain_0_1
213,173,7,852.579,105.173,-110.060,-0.150,0.975,-0.161,Ground_Mountain_0_1
213,173,16,858.840,104.173,-116.525,0.112,0.715,-0.691,Ground_Mountain_0_1
213,175,-16,838.112,104.935,-92.079,-0.322,0.942,-0.090,Ground_Mountain_0_1
213,175,-7,844.309,105.558,-98.606,-0.141,0.982,-0.128,Ground_Mountain_0_1
213,175,0,849.128,105.576,-103.682,-0.148,0.980,-0.137,Ground_Mountain_0_1
213,175,7,853.948,105.584,-108.759,-0.155,0.977,-0.150,Ground_Mountain_0_1
213,175,16,860.144,104.743,-115.286,0.489,0.790,-0.370,Ground_Mountain_0_1
213,177,-16,839.700,105.206,-90.606,-0.601,0.794,0.088,Ground_Mountain_0_1
213,177,-7,845.812,105.970,-97.213,-0.147,0.981,-0.124,Ground_Mountain_0_1
