time,x,y,z,speed,wheels,up,target
0.020,809.996,147.959,190.005,0.340,4,1.000,1
0.040,809.987,147.956,190.016,0.678,4,1.000,1
0.060,809.974,147.953,190.032,1.013,4,1.000,1
0.080,809.956,147.949,190.053,1.347,4,1.000,1
0.100,809.934,147.945,190.079,1.680,4,1.000,1
0.120,809.908,147.940,190.110,2.010,4,1.000,1
0.140,809.878,147.935,190.146,2.338,4,1.000,1
0.160,809.844,147.930,190.187,2.665,4,1.000,1
0.180,809.805,147.925,190.234,2.990,4,1.000,1
0.200,809.763,147.921,190.285,3.313,4,1.000,1
0.220,809.716,147.916,190.341,3.634,4,1.000,1
0.240,809.665,147.911,190.402,3.953,4,1.000,1
0.260,809.610,147.907,190.468,4.271,4,1.000,1
0.280,809.551,147.902,190.538,4.586,4,1.000,1
0.300,809.488,147.898,190.614,4.900,4,1.000,1
0.320,809.421,147.894,190.694,5.213,4,1.000,1
0.340,809.350,147.890,190.779,5.523,4,1.000,1
0.360,809.276,147.886,190.869,5.831,4,1.000,1
0.380,809.197,147.882,190.964,6.138,4,1.000,1
0.400,809.114,147.878,191.063,6.443,4,1.000,1
0.420,809.028,147.874,191.166,6.727,4,1.000,1
0.440,808.939,147.870,191.273,6.958,4,1.000,1
0.460,808.847,147.865,191.383,7.146,4,1.000,1
0.480,808.754,147.861,191.496,7.301,4,1.000,1
0.500,808.658,147.857,191.610,7.428,4,1.000,1
0.520,808.562,147.852,191.726,7.532,4,1.000,1
0.540,808.464,147.847,191.843,7.618,4,0.999,1
0.560,808.366,147.842,191.961,7.688,4,0.999,1
0.580,808.266,147.837,192.080,7.747,4,0.999,1
0.600,808.167,147.831,192.200,7.795,4,0.999,1
0.620,808.066,147.825,192.321,7.834,4,0.999,1
0.640,807.966,147.820,192.442,7.867,4,0.999,1
0.660,807.864,147.814,192.563,7.894,4,0.999,1
0.680,807.763,147.808,192.684,7.916,4,0.999,1
0.700,807.662,147.801,192.806,7.935,4,0.999,1
0.720,807.561,147.795,192.927,7.879,4,0.999,1
0.740,807.460,147.789,193.049,7.904,4,0.999,1
0.760,807.358,147.783,193.170,7.925,4,0.999,1
0.780,807.257,147.776,193.291,7.871,4,0.999,1
0.800,807.156,147.770,193.412,7.898,4,0.999,1
0.820,807.055,147.764,193.534,7.920,4,0.999,1
0.840,806.954,147.757,193.655,7.866,4,0.999,1
0.860,806.853,147.751,193.776,7.894,4,0.999,1
0.880,806.752,147.745,193.898,7.917,4,0.999,1
0.900,806.651,147.738,194.019,7.935,4,0.999,1
0.920,806.550,147.732,194.140,7.879,4,0.999,1
0.940,806.449,147.726,194.262,7.905,4,0.999,1
0.960,806.347,147.720,194.383,7.925,4,0.999,1
0.980,806.247,147.714,194.504,7.871,4,0.999,1
1.000,806.145,147.708,194.625,7.898,4,0.999,1
1.020,806.044,147.702,194.747,7.920,4,0.999,1
1.040,805.944,147.696,194.868,7.867,4,0.999,1
1.060,805.843,147.691,194.989,7.894,4,0.999,1
1.080,805.741,147.685,195.111,7.917,4,0.999,1
1.100,805.641,147.679,195.231,7.864,4,0.999,1
1.120,805.540,147.673,195.352,7.892,4,0.999,1
1.140,805.438,147.668,195.474,7.915,4,0.999,1
1.160,805.337,147.662,195.596,7.934,4,0.999,1
1.180,805.236,147.656,195.717,7.878,4,0.999,1
1.200,805.135,147.650,195.838,7.903,4,0.999,1
1.220,805.033,147.645,195.960,7.924,4,0.999,1
1.240,804.933,147.639,196.081,7.870,4,0.999,1
1.260,804.832,147.633,196.202,7.897,4,0.999,1
1.280,804.730,147.628,196.324,7.919,4,0.999,1
1.300,804.630,147.622,196.444,7.866,4,0.999,1
1.320,804.529,147.616,196.565,7.894,4,0.999,1
1.340,804.427,147.611,196.687,7.916,4,0.999,1
1.360,804.326,147.605,196.809,7.935,4,0.999,1
1.380,804.225,147.599,196.930,7.879,4,0.999,1
1.400,804.124,147.593,197.051,7.904,4,0.999,1
1.420,804.023,147.588,197.173,7.925,4,0.999,1
1.440,803.922,147.582,197.294,7.871,4,0.999,1
1.460,803.821,147.576,197.415,7.897,4,0.999,1
1.480,803.720,147.570,197.537,7.919,4,0.999,1
1.500,803.619,147.565,197.657,7.866,4,0.999,1
